run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	bam_ftp
ERR2985532	SAMEA5160200	ERX2988056	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2985532/ERR2985532.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2985532/ERR2985532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2985532/ERR2985532_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/002/ERR2985532/ERR2985532.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/002/ERR2985532/ERR2985532_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/002/ERR2985532/ERR2985532_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985532/i_RJFt_02A0222.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985532/i_RJFt_02A0222.recal.bam.bai	NA	NA
ERR2985534	SAMEA5160202	ERX2988058	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/004/ERR2985534/ERR2985534.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/004/ERR2985534/ERR2985534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/004/ERR2985534/ERR2985534_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/004/ERR2985534/ERR2985534.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/004/ERR2985534/ERR2985534_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/004/ERR2985534/ERR2985534_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985534/i_RJFt_02A0252.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985534/i_RJFt_02A0252.recal.bam.bai	NA	NA
ERR2985537	SAMEA5160205	ERX2988061	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2985537/ERR2985537.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2985537/ERR2985537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2985537/ERR2985537_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/007/ERR2985537/ERR2985537.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/007/ERR2985537/ERR2985537_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/007/ERR2985537/ERR2985537_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985537/i_RJFt_02C0322.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985537/i_RJFt_02C0322.recal.bam.bai	NA	NA
ERR2985539	SAMEA5160207	ERX2988063	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/009/ERR2985539/ERR2985539.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/009/ERR2985539/ERR2985539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/009/ERR2985539/ERR2985539_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/009/ERR2985539/ERR2985539.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/009/ERR2985539/ERR2985539_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/009/ERR2985539/ERR2985539_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985539/i_RJFt_02C0352.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985539/i_RJFt_02C0352.recal.bam.bai	NA	NA
ERR2985540	SAMEA5160208	ERX2988064	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/000/ERR2985540/ERR2985540.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/000/ERR2985540/ERR2985540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/000/ERR2985540/ERR2985540_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/000/ERR2985540/ERR2985540.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/000/ERR2985540/ERR2985540_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/000/ERR2985540/ERR2985540_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985540/i_RJFt_02C0372.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985540/i_RJFt_02C0372.recal.bam.bai	NA	NA
ERR2985557	SAMEA5160225	ERX2988081	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2985557/ERR2985557.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2985557/ERR2985557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/007/ERR2985557/ERR2985557_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/007/ERR2985557/ERR2985557.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/007/ERR2985557/ERR2985557_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/007/ERR2985557/ERR2985557_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985557/i_RJFi_332.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985557/i_RJFi_332.recal.bam.bai	NA	NA
ERR2985572	SAMEA5160240	ERX2988096	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2985572/ERR2985572.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2985572/ERR2985572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/002/ERR2985572/ERR2985572_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/002/ERR2985572/ERR2985572.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/002/ERR2985572/ERR2985572_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/002/ERR2985572/ERR2985572_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985572/i_BR_4001121.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985572/i_BR_4001121.recal.bam.bai	NA	NA
ERR2985573	SAMEA5160241	ERX2988097	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2985573/ERR2985573.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2985573/ERR2985573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/003/ERR2985573/ERR2985573_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/003/ERR2985573/ERR2985573.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/003/ERR2985573/ERR2985573_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/003/ERR2985573/ERR2985573_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985573/i_BR_4001131.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985573/i_BR_4001131.recal.bam.bai	NA	NA
ERR2985576	SAMEA5160244	ERX2988100	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2985576/ERR2985576.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2985576/ERR2985576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/006/ERR2985576/ERR2985576_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/006/ERR2985576/ERR2985576.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/006/ERR2985576/ERR2985576_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/006/ERR2985576/ERR2985576_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985576/i_BR_4001211.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985576/i_BR_4001211.recal.bam.bai	NA	NA
ERR2985579	SAMEA5160247	ERX2988103	PRJEB30270	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/009/ERR2985579/ERR2985579.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/009/ERR2985579/ERR2985579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/009/ERR2985579/ERR2985579_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/009/ERR2985579/ERR2985579.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/009/ERR2985579/ERR2985579_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR298/009/ERR2985579/ERR2985579_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985579/i_BR_4001272.recal.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR298/ERR2985579/i_BR_4001272.recal.bam.bai	NA	NA
