run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR15463832	SAMEA119567898	ERX14867764	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/032/ERR15463832/ERR15463832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/032/ERR15463832/ERR15463832_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463832/A01_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463832/A01_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/032/ERR15463832/ERR15463832.bam
ERR15463841	SAMEA119567900	ERX14867773	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/041/ERR15463841/ERR15463841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/041/ERR15463841/ERR15463841_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463841/A03_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463841/A03_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/041/ERR15463841/ERR15463841.bam
ERR15463848	SAMEA119567903	ERX14867780	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/048/ERR15463848/ERR15463848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/048/ERR15463848/ERR15463848_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463848/A06_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463848/A06_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/048/ERR15463848/ERR15463848.bam
ERR15463850	SAMEA119567903	ERX14867782	PRJEB89160	9031	Gallus gallus		ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463850/A06_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463850/A06_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/050/ERR15463850/ERR15463850.bam
ERR15463853	SAMEA119567904	ERX14867785	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/053/ERR15463853/ERR15463853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/053/ERR15463853/ERR15463853_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463853/A07_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463853/A07_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/053/ERR15463853/ERR15463853.bam
ERR15463857	SAMEA119567906	ERX14867789	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/057/ERR15463857/ERR15463857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/057/ERR15463857/ERR15463857_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463857/B02_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463857/B02_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/057/ERR15463857/ERR15463857.bam
ERR15463860	SAMEA119567906	ERX14867792	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/060/ERR15463860/ERR15463860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/060/ERR15463860/ERR15463860_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463860/B02_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463860/B02_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/060/ERR15463860/ERR15463860.bam
ERR15463888	SAMEA119567909	ERX14867820	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/088/ERR15463888/ERR15463888_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/088/ERR15463888/ERR15463888_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463888/B05_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463888/B05_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/088/ERR15463888/ERR15463888.bam
ERR15463916	SAMEA119567912	ERX14867848	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/016/ERR15463916/ERR15463916_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/016/ERR15463916/ERR15463916_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463916/C01_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463916/C01_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/016/ERR15463916/ERR15463916.bam
ERR15463920	SAMEA119567912	ERX14867852	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/020/ERR15463920/ERR15463920_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/020/ERR15463920/ERR15463920_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463920/C01_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463920/C01_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/020/ERR15463920/ERR15463920.bam
