Comparison,MEAN,SD,MIN,MAX
broiler line A vs broiler line B,0.0950311627606539,0.07121412034883458,-0.0322935,0.538561
broiler line A vs brown layer,0.30544114527068206,0.1484834651601272,-0.0227108,0.943079
broiler line A vs red junglefowl,0.18534731233247762,0.07910817925389983,-0.0126586,0.771352
broiler line A vs white layer,0.37269156641552176,0.15981594474912045,-0.0637755,0.98254
broiler line B vs brown layer,0.32509116662527143,0.1561768738456682,-0.0292616,0.99651
broiler line B vs red junglefowl,0.2053352415718979,0.08630705457147618,-0.0123397,0.795896
broiler line B vs white layer,0.3991925420068499,0.16937738496659654,-0.0246161,0.999726
brown layer vs red junglefowl,0.3080411201533342,0.11751125828365343,-0.0121757,0.835528
brown layer vs white layer,0.5307779766256095,0.1918937380680612,-0.240075,1
ixworth vs broiler line A,0.18314281582866707,0.10109267723787471,-0.0136803,0.854172
ixworth vs broiler line B,0.20099518598829522,0.10670407240505682,-0.016711,0.938732
ixworth vs brown layer,0.3124378974697791,0.13350282148307274,-0.016698,0.8738
ixworth vs red junglefowl,0.21567574155641614,0.08728232979458936,-0.00115574,0.780261
ixworth vs white layer,0.3661496567870378,0.14280821439732722,-0.0101926,0.995089
white layer vs red junglefowl,0.3887714039044991,0.12132933959813214,0.00609617,0.868444
