term_name,term_id,p_value,term_size,query_size,intersection_size,precision,recall,source,effective_domain_size,source_order,parents,evidence_codes,intersection
negative regulation of calcium-mediated signaling,GO:0050849,0.03487851870086339,12,23,2,0.08695652173913043,0.16666666666666666,GO:BP,12651,15368,"GO:0019722,GO:0050848,GO:1902532","IEA,IEA","ENSGALG00000011991,ENSGALG00000009901"
negative regulation of calcineurin-NFAT signaling cascade,GO:0070885,0.03487851870086339,10,23,2,0.08695652173913043,0.2,GO:BP,12651,19113,"GO:0033173,GO:0070884,GO:0106057","IEA,IEA","ENSGALG00000011991,ENSGALG00000009901"
negative regulation of calcineurin-mediated signaling,GO:0106057,0.03487851870086339,10,23,2,0.08695652173913043,0.2,GO:BP,12651,22520,"GO:0050849,GO:0097720,GO:0106056","IEA,IEA","ENSGALG00000011991,ENSGALG00000009901"
synaptic cleft,GO:0043083,0.011831904135285384,10,22,2,0.09090909090909091,0.2,GO:CC,12096,2102,GO:0005576,"IEA,IEA","ENSGALG00000012004,ENSGALG00000015001"
external encapsulating structure,GO:0030312,0.02098986194243417,244,22,4,0.18181818181818182,0.01639344262295082,GO:CC,12096,1093,"GO:0071944,GO:0110165","IEA,IBA,IEA,IBA","ENSGALG00000014965,ENSGALG00000016292,ENSGALG00000015001,ENSGALG00000053279"
extracellular matrix,GO:0031012,0.02098986194243417,244,22,4,0.18181818181818182,0.01639344262295082,GO:CC,12096,1197,GO:0030312,"IEA,IBA,IEA,IBA","ENSGALG00000014965,ENSGALG00000016292,ENSGALG00000015001,ENSGALG00000053279"
axon terminus,GO:0043679,0.02098986194243417,26,22,2,0.09090909090909091,0.07692307692307693,GO:CC,12096,2205,"GO:0044306,GO:0098793,GO:0150034","IEA,IEA","ENSGALG00000012004,ENSGALG00000011019"
collagen trimer,GO:0005581,0.021825396825396304,31,22,2,0.09090909090909091,0.06451612903225806,GO:CC,12096,244,GO:0032991,"IEA,IEA","ENSGALG00000014965,ENSGALG00000016292"
calcium- and calmodulin-dependent protein kinase complex,GO:0005954,0.021825396825396304,1,22,1,0.045454545454545456,1,GO:CC,12096,575,GO:0140535,IEA,ENSGALG00000001319
neuron projection terminus,GO:0044306,0.021825396825396304,34,22,2,0.09090909090909091,0.058823529411764705,GO:CC,12096,2311,"GO:0043005,GO:0110165","IEA,IEA","ENSGALG00000012004,ENSGALG00000011019"
Z disc,GO:0030018,0.037026686296219254,49,22,2,0.09090909090909091,0.04081632653061224,GO:CC,12096,1023,"GO:0031674,GO:0110165","IEA,IEA","ENSGALG00000011994,ENSGALG00000011991"
I band,GO:0031674,0.04276960998130069,56,22,2,0.09090909090909091,0.03571428571428571,GO:CC,12096,1410,"GO:0030017,GO:0110165","IEA,IEA","ENSGALG00000011994,ENSGALG00000011991"
