Component,Variance,Eigenvalue
PC1,7.94,12.706216632107923
PC2,5.35,8.562706828992239
PC3,4.74,7.590117733293236
PC4,4.54,7.259062951863961
PC5,3.99,6.3840715952533404
PC6,3.72,5.950630270100313
PC7,2.62,4.185831150372551
PC8,2.53,4.055798732731966
PC9,2.13,3.4013694071529157
PC10,1.83,2.9239369755049736
PC11,1.55,2.479253119711081
PC12,1.47,2.3574867008712963
PC13,1.31,2.0978162032703076
PC14,1.16,1.8550816871934022
PC15,1.12,1.78641890417096
PC16,1.1,1.7674997922826765
PC17,1.01,1.613736674138788
PC18,1.01,1.610656366529971
PC19,0.95,1.5155382893450466
PC20,0.92,1.4777083692149622
PC21,0.8,1.2783453790554804
PC22,0.79,1.2561219678095095
PC23,0.74,1.1833618965234483
PC24,0.71,1.1415171404807807
PC25,0.69,1.0994112379213823
PC26,0.66,1.049035784360686
PC27,0.64,1.023692984487125
PC28,0.64,1.020061454126718
PC29,0.62,0.9944276453889177
PC30,0.62,0.9845898371100753
PC31,0.61,0.9733999847805371
PC32,0.6,0.9629027519327145
