CHROM,Population,SD,MIN,MAX,MEAN
1,broiler line A,0.001566476747614581,3.58981e-5,0.00960957,0.0036027603607809155
1,broiler line B,0.0015327672005074299,2.93038e-5,0.00852605,0.0033946196975920824
1,brown layer,0.0012057477651146726,9.34971e-6,0.00739642,0.0022610511018983873
1,ixworth,0.001499970020491932,2.91694e-5,0.00924825,0.0033414775945750635
1,red junglefowl,0.0015896754225049512,1.18023e-5,0.0096027,0.004110113786841034
1,white layer,0.0011855716079507586,9.53128e-6,0.00675256,0.0018850165045225685
2,broiler line A,0.0015674143965934393,2.88174e-5,0.0132445,0.003441858828552261
2,broiler line B,0.0015358413529009908,4.17649e-5,0.00943573,0.003199697186120086
2,brown layer,0.0012260978239143957,1.12081e-5,0.00619246,0.0020091316194198895
2,ixworth,0.001548339939163824,3.1254e-5,0.0128057,0.0035068420024969797
2,red junglefowl,0.0016412710133102075,4.22311e-5,0.0109185,0.004206205440541991
2,white layer,0.0011687492405165602,1.04178e-5,0.00795003,0.001723589415508982
3,broiler line A,0.0013713183861533576,4.0969e-5,0.00823651,0.0036857647574437182
3,broiler line B,0.0014011707662129524,4.95196e-5,0.00810337,0.003471981128244275
3,brown layer,0.001147991228100176,1.18117e-5,0.00608927,0.002075940898398945
3,ixworth,0.0013787678388314786,3.53434e-5,0.00845386,0.0036716163686377652
3,red junglefowl,0.0014658767686767194,2.43742e-5,0.00884848,0.004242705081795104
3,white layer,0.0011052125340689,1.13697e-5,0.00629454,0.0017968112861297982
4,broiler line A,0.0014855281142415063,8.25463e-5,0.0122853,0.003537130221488331
4,broiler line B,0.0014598094782802887,7.82366e-5,0.0141361,0.003499344445222369
4,brown layer,0.001183047824526981,1.28504e-5,0.00835235,0.0021543849500691246
4,ixworth,0.0015116401766435454,1.37262e-4,0.0159493,0.003705394927785117
4,red junglefowl,0.0015112240795024181,9.90729e-5,0.0142501,0.004145532918956407
4,white layer,0.0012368790852679567,1.12368e-5,0.00783611,0.0019343949757834758
5,broiler line A,0.0015912697686080893,5.05803e-5,0.00828057,0.0034865060454974703
5,broiler line B,0.0015644520516075603,2.57708e-5,0.00838733,0.00323962826015705
5,brown layer,0.0012868853287706118,1.32856e-5,0.00714927,0.002564455842604618
5,ixworth,0.0015608892995026395,6.59952e-5,0.00857326,0.0033016068492748734
5,red junglefowl,0.0015899238612042362,7.07398e-5,0.00994555,0.004088047363115307
5,white layer,0.0011375776748364919,1.2367e-5,0.00844073,0.0015707854277498203
