sample	unit	platform	fq1	fq2
ix1	1	ILLUMINA	data/A01_L003_R1.fastq.gz	data/A01_L003_R2.fastq.gz
ix1	2	ILLUMINA	data/A01_L004_R1.fastq.gz	data/A01_L004_R2.fastq.gz
ix2	1	ILLUMINA	data/A02_L003_R1.fastq.gz	data/A02_L003_R2.fastq.gz
ix2	2	ILLUMINA	data/A02_L004_R1.fastq.gz	data/A02_L004_R2.fastq.gz
ix3	1	ILLUMINA	data/A03_L003_R1.fastq.gz	data/A03_L003_R2.fastq.gz
ix3	2	ILLUMINA	data/A03_L004_R1.fastq.gz	data/A03_L004_R2.fastq.gz
ix4	1	ILLUMINA	data/A04_L003_R1.fastq.gz	data/A04_L003_R2.fastq.gz
ix4	2	ILLUMINA	data/A04_L004_R1.fastq.gz	data/A04_L004_R2.fastq.gz
ix5	1	ILLUMINA	data/A05_L003_R1.fastq.gz	data/A05_L003_R2.fastq.gz
ix5	2	ILLUMINA	data/A05_L004_R1.fastq.gz	data/A05_L004_R2.fastq.gz
ix6	1	ILLUMINA	data/A06_L003_R1.fastq.gz	data/A06_L003_R2.fastq.gz
ix6	2	ILLUMINA	data/A06_L004_R1.fastq.gz	data/A06_L004_R2.fastq.gz
ix7	1	ILLUMINA	data/A07_L003_R1.fastq.gz	data/A07_L003_R2.fastq.gz
ix7	2	ILLUMINA	data/A07_L004_R1.fastq.gz	data/A07_L004_R2.fastq.gz
ix8	1	ILLUMINA	data/B01_L003_R1.fastq.gz	data/B01_L003_R2.fastq.gz
ix8	2	ILLUMINA	data/B01_L004_R1.fastq.gz	data/B01_L004_R2.fastq.gz
ix9	1	ILLUMINA	data/B02_L003_R1.fastq.gz	data/B02_L003_R2.fastq.gz
ix9	2	ILLUMINA	data/B02_L004_R1.fastq.gz	data/B02_L004_R2.fastq.gz
ix10	1	ILLUMINA	data/B03_L003_R1.fastq.gz	data/B03_L003_R2.fastq.gz
ix10	2	ILLUMINA	data/B03_L004_R1.fastq.gz	data/B03_L004_R2.fastq.gz
ix11	1	ILLUMINA	data/B04_L003_R1.fastq.gz	data/B04_L003_R2.fastq.gz
ix11	2	ILLUMINA	data/B04_L004_R1.fastq.gz	data/B04_L004_R2.fastq.gz
ix12	1	ILLUMINA	data/B05_L003_R1.fastq.gz	data/B05_L003_R2.fastq.gz
ix12	2	ILLUMINA	data/B05_L004_R1.fastq.gz	data/B05_L004_R2.fastq.gz
ix13	1	ILLUMINA	data/B06_L003_R1.fastq.gz	data/B06_L003_R2.fastq.gz
ix13	2	ILLUMINA	data/B06_L004_R1.fastq.gz	data/B06_L004_R2.fastq.gz
ix14	1	ILLUMINA	data/B07_L003_R1.fastq.gz	data/B07_L003_R2.fastq.gz
ix14	2	ILLUMINA	data/B07_L004_R1.fastq.gz	data/B07_L004_R2.fastq.gz
ix15	1	ILLUMINA	data/C01_L003_R1.fastq.gz	data/C01_L003_R2.fastq.gz
ix15	2	ILLUMINA	data/C01_L004_R1.fastq.gz	data/C01_L004_R2.fastq.gz
ix16	1	ILLUMINA	data/C02_L003_R1.fastq.gz	data/C02_L003_R2.fastq.gz
ix16	2	ILLUMINA	data/C02_L004_R1.fastq.gz	data/C02_L004_R2.fastq.gz
ix17	1	ILLUMINA	data/C03_L003_R1.fastq.gz	data/C03_L003_R2.fastq.gz
ix17	2	ILLUMINA	data/C03_L004_R1.fastq.gz	data/C03_L004_R2.fastq.gz
ix18	1	ILLUMINA	data/C04_L003_R1.fastq.gz	data/C04_L003_R2.fastq.gz
ix18	2	ILLUMINA	data/C04_L004_R1.fastq.gz	data/C04_L004_R2.fastq.gz
ix19	1	ILLUMINA	data/C05_L003_R1.fastq.gz	data/C05_L003_R2.fastq.gz
ix19	2	ILLUMINA	data/C05_L004_R1.fastq.gz	data/C05_L004_R2.fastq.gz
ix20	1	ILLUMINA	data/C06_L003_R1.fastq.gz	data/C06_L003_R2.fastq.gz
ix20	2	ILLUMINA	data/C06_L004_R1.fastq.gz	data/C06_L004_R2.fastq.gz
ix21	1	ILLUMINA	data/D01_L003_R1.fastq.gz	data/D01_L003_R2.fastq.gz
ix21	2	ILLUMINA	data/D01_L004_R1.fastq.gz	data/D01_L004_R2.fastq.gz
ix22	1	ILLUMINA	data/D02_L003_R1.fastq.gz	data/D02_L003_R2.fastq.gz
ix22	2	ILLUMINA	data/D02_L004_R1.fastq.gz	data/D02_L004_R2.fastq.gz
ix23	1	ILLUMINA	data/D03_L003_R1.fastq.gz	data/D03_L003_R2.fastq.gz
