CHROM,START,END,GENEID,GENE,N_VARIANTS,MEAN
1,24240001,24300000,"ENSGALG00000059880,ENSGALT00000151030,ENSGALT00000151789",", ",1039,0.6443395000000001
1,32600001,32660000,"ENSGALG00000065597,ENSGALT00000114268,",",",847,0.6375605
1,75680001,75720000,ENSGALG00000040184,RIMKLB,274,0.632677
1,94760001,94840000,ENSGALG00000043393,CADM2,1143,0.7047043333333334
1,95760001,95800000,,,205,0.657309
1,95820001,95900000,,,869,0.6374453333333333
1,97040001,97080000,"ENSGALG00000048469,ENSGALT00000135311,ENSGALT00000129585,ENSGALG00000062682,ENSGALT00000126209,ENSGALT00000133345",", ",437,0.723715
1,118580001,118640000,"ENSGALG00000059861,ENSGALT00000132031,ENSGALT00000119337,ENSGALT00000114331,ENSGALT00000154737,ENSGALG00000063004,ENSGALT00000123818,ENSGALG00000049170,ENSGALT00000100141,ENSGALG00000060889,ENSGALT00000096792,ENSGALT00000109350,ENSGALG00000061966,ENSGALT00000118772",", ,U1,U1-201",872,0.6911970000000001
14,14000001,14100000,"ENSGALG00000037837,ENSGALG00000059257,ENSGALT00000137640,ENSGALG00000058096,ENSGALT00000148658,ENSGALG00000009346,ENSGALG00000009341,ENSGALG00000062328,ENSGALT00000138449,ENSGALG00000009318",", ,IFT140",7101,0.659782
2,50540001,50620000,"ENSGALG00000061023,ENSGALT00000117391,ENSGALG00000066226,ENSGALT00000135566,ENSGALT00000110944,ENSGALG00000034616,ENSGALG00000059423,ENSGALT00000143874",", ,INHBA",491,0.6789266666666667
2,50640001,50720000,"ENSGALG00000063940,ENSGALT00000148201,ENSGALG00000050534,ENSGALT00000093257,ENSGALG00000040266",", ,GLI3",692,0.6958423333333333
2,81660001,81700000,"ENSGALG00000058429,ENSGALT00000152181,ENSGALG00000060913,ENSGALT00000136447",", ",383,0.627666
2,86560001,86600000,"ENSGALG00000064913,ENSGALT00000124061,ENSGALG00000056662,ENSGALT00000129239,ENSGALT00000150094,ENSGALT00000119596,ENSGALG00000063013,ENSGALT00000130331,ENSGALT00000151852",", ",321,0.630874
2,143320001,143420000,,,1452,0.67191325
4,32960001,33000000,ENSGALG00000010061,,608,0.627808
5,35800001,35840000,ENSGALG00000029022,,479,0.626512
5,35980001,36060000,"ENSGALG00000048439,ENSGALT00000138572,ENSGALT00000121828,ENSGALT00000105267",", ",1849,0.637879
5,36840001,36920000,"ENSGALG00000037632,ENSGALG00000010114,ENSGALG00000028483","NKX2-1,PAX9,",2050,0.67087
6,10840001,10880000,ENSGALG00000003805,PRKG1,607,0.661016
6,11260001,11320000,"ENSGALG00000003935,ENSGALG00000003947,ENSGALG00000039161,ENSGALG00000004037","PBLD,HNRNPH3,RUFY2,DNA2",1436,0.646737
6,16420001,16500000,ENSGALG00000005088,CAMK2G,1408,0.670856
8,14940001,15000000,"ENSGALG00000006091,ENSGALG00000067881,ENSGALT00000140795,ENSGALG00000057184,ENSGALT00000126319","HFM1, ,",1387,0.7077205
