cluster_id,CHROM,START,END,N_WINDOWS
35,2,24380001,25480000,45
36,2,25580001,26260000,31
97,4,27560001,28100000,24
77,3,1920001,2460000,22
27,11,60001,420000,17
34,13,18120001,18560000,17
116,8,680001,1040000,17
15,1,151180001,151580000,15
84,4,50380001,50760000,15
81,4,8440001,8700000,10
90,4,61320001,61600000,8
8,1,55340001,55600000,7
91,4,61800001,62040000,7
117,8,7200001,7400000,7
82,4,8780001,8920000,6
98,4,28420001,28560000,6
2,1,42600001,42720000,5
22,1,34020001,34160000,5
23,1,41900001,42020000,5
28,11,6320001,6440000,5
47,2,26420001,26580000,5
58,2,27140001,27260000,5
63,25,3140001,3320000,5
75,3,1480001,1600000,5
93,4,23120001,23240000,5
118,8,7560001,7680000,5
