CHROM,SWEEP_START,SWEEP_END,GENEID,GENE,QTL
1,33360000,33400000,"ENSGALG00000064504,ENSGALT00000151252,ENSGALT00000116764,ENSGALT00000122830,ENSGALT00000139767,ENSGALT00000117783,ENSGALG00000068486,ENSGALT00000137058,ENSGALT00000130700",", ",
1,171600000,171740000,"ENSGALG00000017022,ENSGALG00000017023,ENSGALG00000017024,ENSGALG00000017021,ENSGALG00000054675,ENSGALG00000064996,ENSGALT00000111152,ENSGALG00000054610,ENSGALT00000124201,ENSGALT00000092459,ENSGALT00000100205,ENSGALG00000017025,ENSGALG00000017026","ALG11, ,,TMEM272,CKAP2,VPS36","Body weight QTL (296557),Average daily gain QTL (296565),Carcass weight QTL (296569),Breast weight QTL (296574),Thigh weight QTL (296583),Wing weight QTL (296586),Back weight QTL (296589),Spleen weight QTL (256648),Body weight QTL (260168),Body weight QTL (260563),Body weight QTL (260839),Body weight QTL (261236),Body weight QTL (260169),Body weight QTL (260564),Body weight QTL (260840),Body weight QTL (261237),Body weight QTL (260170),Body weight QTL (260565),Body weight QTL (260841),Body weight QTL (261238),Body weight QTL (260842),Body weight QTL (261239),Feed intake QTL (64812),Feed intake QTL (64920),Comb length QTL (107891),Comb height QTL (107982),Comb weight QTL (108199),Oviduct length QTL (150819),Oviduct weight QTL (150917),Body weight QTL (260171),Body weight QTL (260566),Body weight QTL (260843),Body weight QTL (261240),Body weight QTL (260172),Body weight QTL (260567),Body weight QTL (260844),Body weight QTL (261241),Feed intake QTL (64831),Feed intake QTL (64947),Comb length QTL (107892),Comb height QTL (107983),Comb weight QTL (108200),Feather density QTL (193937),Body weight QTL (260845),Body weight QTL (261242),Comb length QTL (107893),Oviduct length QTL (150961),Body weight QTL (260173),Body weight QTL (260568),Body weight QTL (260846),Body weight QTL (261243),Body weight QTL (260174),Body weight QTL (260569),Body weight QTL (260847),Body weight QTL (261244),Body weight QTL (260175),Body weight QTL (260570),Body weight QTL (260848),Body weight QTL (261245),Body weight QTL (259990),Body weight QTL (260176),Body weight QTL (260375),Body weight QTL (260571),Body weight QTL (260849),Body weight QTL (261246),Body weight QTL (261247),Comb length QTL (107894),Comb height QTL (107984),Comb weight QTL (108201),Comb length QTL (107895),Body weight QTL (260850),Body weight QTL (261248),Body weight QTL (260177),Body weight QTL (260851),Body weight QTL (261249),Body weight QTL (260852),Body weight QTL (261250),Body weight QTL (260178),Body weight QTL (261251),Body weight QTL (260179),Body weight QTL (260376),Body weight QTL (260572),Body weight QTL (260853),Body weight QTL (261252),Egg weight QTL (63821),Feed intake QTL (64823),Feed intake QTL (64893),Feed intake QTL (64929),Comb length QTL (107896),Comb height QTL (107985),Comb weight QTL (108202),Oviduct length QTL (150820),Oviduct weight QTL (150918),Heart weight QTL (170500),Liver weight QTL (170502),Proventriculus weight QTL (170503),Gizzard weight QTL (170504),Body weight QTL (259929),Body weight QTL (259991),Body weight QTL (260180),Body weight QTL (260854),Body weight QTL (261253),Body weight QTL (259911),Body weight QTL (259930),Body weight QTL (259992),Body weight QTL (260181),Body weight QTL (260377),Body weight QTL (260573),Body weight QTL (260855),Body weight QTL (261254),Body weight QTL (65931),Body weight QTL (260856),Body weight QTL (261255),Body weight QTL (260857),Body weight QTL (261256),Body weight QTL (260858),Body weight QTL (261257),Body weight QTL (260859),Body weight QTL (261258),Comb length QTL (107897),Comb length QTL (107969),Body weight QTL (260182),Body weight QTL (260378),Body weight QTL (260574),Body weight QTL (260860),Body weight QTL (261259),Egg weight QTL (63822),Feed intake QTL (64813),Feed intake QTL (64915),Comb length QTL (107971),Comb weight QTL (108433),Oviduct length QTL (150821),Oviduct weight QTL (150919),Heart weight QTL (170506),Liver weight QTL (170507),Proventriculus weight QTL (170508),Gizzard weight QTL (170509),Ovary weight QTL (62018),Feed intake QTL (64846),Comb length QTL (107898),Oviduct length QTL (150822),Oviduct weight QTL (150920),Body weight QTL (260183),Body weight QTL (260861),Body weight QTL (261260),Body weight QTL (260184),Body weight QTL (260862),Body weight QTL (261261),Comb length QTL (107899),Body weight QTL (260185),Body weight QTL (260186),Body weight QTL (260187),Body weight QTL (261262),Body weight QTL (260188),Body weight QTL (260379),Body weight QTL (261263),Body weight QTL (260189),Body weight QTL (260190),Body weight QTL (260191),Body weight QTL (260863),Body weight QTL (261264),Body weight QTL (260192),Body weight QTL (260380),Body weight QTL (260864),Body weight QTL (261265),Body weight QTL (260193),Body weight QTL (260194),Body weight QTL (260195),Comb length QTL (107900),Body weight QTL (259912),Body weight QTL (259931),Body weight QTL (259993),Body weight QTL (260196),Body weight QTL (260381),Body weight QTL (260575),Body weight QTL (260865),Body weight QTL (261266),Body weight QTL (260866),Body weight QTL (261267),Ovary weight QTL (62021),Comb length QTL (107901),Oviduct length QTL (150823),Oviduct weight QTL (150921),Comb length QTL (107973),Ovary weight QTL (62022),Feed intake QTL (64816),Feed intake QTL (64934),Comb length QTL (107902),Oviduct weight QTL (150922),Oviduct length QTL (150962),Feed conversion ratio QTL (66052),Feed intake QTL (64828),Feed intake QTL (64933),Comb length QTL (107903),Comb height QTL (107986),Comb weight QTL (108203),Feather density QTL (194026)"
12,15040000,15200000,"ENSGALG00000007652,ENSGALG00000056811,ENSGALT00000135641,ENSGALT00000137703,ENSGALT00000128101,ENSGALG00000007596,ENSGALG00000059006,ENSGALT00000114447,ENSGALT00000119523,ENSGALT00000146564,ENSGALT00000128363,ENSGALG00000050482,ENSGALT00000101078,ENSGALT00000115423","SUCLG2,, ",
12,15220000,15280000,"ENSGALG00000007652,ENSGALG00000067882,ENSGALT00000121673,ENSGALG00000052143,ENSGALT00000125344,ENSGALT00000092984,ENSGALT00000110261,ENSGALT00000132492","SUCLG2, ,",
12,15300000,15340000,ENSGALG00000049667,FAM19A1,
12,15440000,15480000,ENSGALG00000049667,FAM19A1,
12,15640000,15740000,"ENSGALG00000065245,ENSGALG00000013406,ENSGALG00000013408,ENSGALG00000013410,ENSGALG00000063935,ENSGALG00000018946","FAM19A4,EOGT,, ,UBA3,ARL6IP5",
12,15760000,15840000,ENSGALG00000037791,FRMD4B,Thymus weight QTL (21822)
3,21040000,21320000,"ENSGALG00000009788,ENSGALG00000065576,ENSGALT00000132170,ENSGALG00000009784,ENSGALG00000065845,ENSGALT00000151154,ENSGALT00000121658,ENSGALT00000109091,ENSGALT00000116859,ENSGALT00000149651,ENSGALG00000009690,ENSGALG00000009687","SMYD2, ,,PTPN14,CENPF,KCNK2",
3,46960000,47080000,"ENSGALG00000012300,ENSGALG00000012317,ENSGALG00000066281,ENSGALT00000144064,ENSGALG00000050033,ENSGALT00000097410","RAB32,, ,",
