cluster_id,CHROM,START,END,N_WINDOWS
23,1,54780001,56060000,50
20,1,53440001,53960000,25
57,2,25560001,26000000,20
108,5,31260001,31780000,16
85,4,71060001,71380000,15
49,2,118660001,118960000,13
21,1,54020001,54260000,11
56,2,25300001,25500000,9
86,4,71440001,71680000,9
33,2,18560001,18740000,8
34,2,24460001,24700000,8
43,2,81420001,81660000,8
26,14,14000001,14160000,7
37,2,50540001,50720000,7
53,2,143160001,143380000,7
111,5,32700001,32880000,6
118,6,35060001,35200000,6
123,8,12180001,12320000,6
17,1,14020001,14140000,5
30,18,100001,220000,5
32,18,680001,800000,5
41,2,74080001,74200000,5
76,3,59000001,59120000,5
82,4,780001,900000,5
114,5,40880001,41000000,5
126,8,22280001,22420000,5
