CHROM,SWEEP_START,SWEEP_END,GENEID,GENE,QTL
1,23780001,23820000,ENSGALG00000009066,KCND2,
1,55100001,55160000,"ENSGALG00000012754,ENSGALG00000066748,ENSGALT00000139726,ENSGALG00000019300","PAH, ,",
1,66520001,66580000,ENSGALG00000013210,C2CD5,"Eggshell thickness QTL (159584),Eggshell effective layer thickness QTL (159679)"
11,4900001,4940000,ENSGALG00000003602,,
18,11160001,11220000,"ENSGALG00000064295,ENSGALT00000129456,ENSGALT00000137563,ENSGALT00000097933,ENSGALG00000048586,ENSGALT00000119330,ENSGALT00000121568,ENSGALG00000066059,ENSGALG00000063301",", ",
24,6140001,6200000,"ENSGALG00000007868,ENSGALG00000048129,ENSGALG00000007874,ENSGALG00000007878,ENSGALG00000007882,ENSGALG00000047403,ENSGALG00000007904,ENSGALG00000007929",", ,IL18,SDHD,DIXDC1","Body weight QTL (256346),Skin color QTL (37928),Skin color QTL (37929),Muscle pH QTL (157269)"
5,31100001,31300000,"ENSGALG00000057023,ENSGALT00000112216,ENSGALG00000060550,ENSGALT00000130365,ENSGALG00000058234,ENSGALT00000131971,",", ,",Antibody titer to SRBC antigen QTL (14402)
5,31320001,31440000,",ENSGALG00000056816,ENSGALT00000110848,ENSGALG00000037493,ENSGALT00000136654,ENSGALT00000093440,ENSGALT00000109898,ENSGALT00000141088,ENSGALT00000131590,ENSGALG00000059566,ENSGALT00000116507,ENSGALG00000039118",",, ,MEIS2",Feather pecking QTL (15656)
5,31480001,31600000,ENSGALG00000039118,MEIS2,Body weight QTL (153752)
5,31820001,31880000,"ENSGALG00000053286,ENSGALT00000091804,ENSGALG00000061352,ENSGALT00000119626,ENSGALG00000059649,ENSGALT00000141365,ENSGALT00000135930",", ",
5,32220001,32280000,ENSGALG00000020438,DPH6,
5,35080001,35120000,ENSGALG00000009995,,
5,37500001,37560000,"ENSGALG00000064433,ENSGALT00000128553,ENSGALT00000124251,ENSGALT00000113078,ENSGALT00000140955,ENSGALT00000143263,ENSGALG00000054810,ENSGALT00000094929,ENSGALT00000152256,ENSGALT00000128859,ENSGALT00000148798",", ",
5,40360001,40400000,ENSGALG00000027255,NRXN3,
5,40920001,40980000,"ENSGALG00000010562,ENSGALG00000010572",",,TSHR",
6,10820001,10900000,ENSGALG00000003805,PRKG1,
8,8820001,8920000,"ENSGALG00000033407,ENSGALG00000058161,ENSGALT00000130052,ENSGALG00000064604,ENSGALT00000108445,ENSGALG00000050751,ENSGALG00000049810","BRINP3,, ",
8,14940001,14980000,ENSGALG00000006091,HFM1,
