cluster_id,CHROM,START,END,N_WINDOWS
40,2,24440001,27360000,131
44,2,27480001,28560000,51
78,5,48700001,49500000,32
4,1,55340001,55800000,20
19,11,60001,360000,12
66,4,27560001,27780000,10
71,4,62140001,62380000,8
24,13,18340001,18560000,7
93,8,7200001,7380000,7
94,9,17420001,17600000,7
0,1,13980001,14120000,6
16,1,42600001,42740000,6
58,3,22060001,22200000,6
73,4,90760001,90960000,6
95,9,17900001,18040000,6
5,1,55940001,56120000,5
26,18,100001,220000,5
35,2,80860001,81040000,5
74,5,2480001,2600000,5
80,5,4500001,4620000,5
