CHROM,BIN_START,BIN_END,N_VARIANTS,MEAN,EMPIRICAL_PVALUE,GENEID,GENE
2,24460001,24500000,381,0.960021,3.5842293906807043e-4,ENSGALG00000027620, 
2,24480001,24520000,342,0.995812,4.2167404596282765e-5,"ENSGALG00000027620,ENSGALG00000063629,ENSGALT00000137672,ENSGALG00000063660,ENSGALT00000150195"," , , , , "
2,24500001,24540000,307,0.99651,2.1083702298141382e-5,"ENSGALG00000027620,ENSGALG00000063629,ENSGALT00000137672,ENSGALG00000063660,ENSGALT00000150195"," , , , , "
2,24520001,24560000,372,0.982285,6.325110689442415e-5,"ENSGALG00000063629,ENSGALT00000137672"," , "
2,24540001,24580000,410,0.974113,1.0541851149059589e-4, , 
2,24560001,24600000,337,0.978288,8.433480919245451e-5, , 
2,24580001,24620000,409,0.951171,7.590132827324236e-4, , 
2,25260001,25300000,213,0.953644,6.11427366645545e-4,"ENSGALG00000065800,ENSGALT00000113533"," , "
2,25280001,25320000,162,0.963573,2.3192072527933316e-4,"ENSGALG00000065800,ENSGALT00000113533"," , "
2,25300001,25340000,149,0.951288,7.379295804342823e-4,"ENSGALG00000065800,ENSGALT00000113533"," , "
2,25320001,25360000,166,0.947317,8.644317942230195e-4,"ENSGALG00000065800,ENSGALT00000113533,ENSGALG00000068344,ENSGALT00000136008,ENSGALT00000147500,ENSGALT00000123994,ENSGALT00000125406,ENSGALT00000155282,ENSGALG00000066272,ENSGALT00000111468"," , , , , , , , , , "
2,25340001,25380000,169,0.945201,9.909340080117568e-4,"ENSGALG00000065800,ENSGALT00000113533,ENSGALG00000068344,ENSGALT00000136008,ENSGALT00000147500,ENSGALT00000123994,ENSGALT00000125406,ENSGALT00000155282,ENSGALG00000066272,ENSGALT00000111468,ENSGALG00000054716,ENSGALT00000101653"," , , , , , , , , , , , "
2,25360001,25400000,187,0.956232,5.270925574530905e-4,"ENSGALG00000066272,ENSGALT00000111468,ENSGALG00000054716,ENSGALT00000101653,ENSGALG00000056275,ENSGALT00000151723,ENSGALT00000128035,ENSGALT00000129839"," , , , , , , , "
2,25380001,25420000,231,0.962182,2.951718321737573e-4,"ENSGALG00000056275,ENSGALT00000151723,ENSGALT00000128035,ENSGALT00000129839"," , , , "
2,25400001,25440000,174,0.959286,4.005903436643532e-4,"ENSGALG00000056275,ENSGALT00000151723,ENSGALT00000128035,ENSGALT00000129839"," , , , "
2,25420001,25460000,157,0.955776,5.481762597512319e-4,"ENSGALG00000056275,ENSGALT00000151723,ENSGALT00000129839"," , , "
2,25440001,25480000,199,0.946224,9.276829011174437e-4, , 
2,25520001,25560000,144,0.945347,9.48766603415585e-4,"ENSGALG00000050841,ENSGALT00000094389"," , "
2,25580001,25620000,119,0.952137,6.957621758381105e-4, , 
2,25600001,25640000,90,0.959389,3.795066413662118e-4, , 
2,25620001,25660000,75,0.950609,7.80096985030565e-4,ENSGALG00000055506, 
2,25660001,25700000,71,0.961424,3.162555344718987e-4, , 
2,25680001,25720000,73,0.965134,1.8975332068316142e-4, , 
2,25700001,25740000,98,0.955474,5.692599620493732e-4,"ENSGALG00000060004,ENSGALT00000149327"," , "
2,25720001,25760000,172,0.958991,4.216740459624946e-4,"ENSGALG00000060004,ENSGALT00000149327"," , "
2,25740001,25780000,222,0.962569,2.635462787264897e-4,"ENSGALG00000060004,ENSGALT00000149327"," , "
2,25760001,25800000,220,0.961244,3.3733923676992905e-4, , 
2,25780001,25820000,239,0.95227,6.746784735399691e-4, , 
2,25820001,25860000,167,0.952279,6.535947712418277e-4,"ENSGALG00000058373,ENSGALT00000141767,ENSGALT00000110065"," , , "
2,25840001,25880000,146,0.956918,4.849251528568077e-4,"ENSGALG00000058373,ENSGALT00000141767,ENSGALT00000110065"," , , "
2,25860001,25900000,173,0.958611,4.638414505586663e-4,"ENSGALG00000058373,ENSGALT00000110065"," , "
2,25880001,25920000,157,0.964036,2.1083702298119178e-4,"ENSGALG00000058373,ENSGALT00000110065"," , "
2,25900001,25940000,143,0.965974,1.4758591608687865e-4, , 
2,25920001,25960000,245,0.956672,5.060088551549491e-4, , 
2,25940001,25980000,261,0.954452,5.903436643475146e-4,"ENSGALG00000057843,ENSGALT00000135287"," , "
2,25960001,26000000,178,0.965503,1.6866961838502004e-4,"ENSGALG00000057843,ENSGALT00000135287"," , "
2,25980001,26020000,165,0.947648,8.433480919249892e-4,"ENSGALG00000057843,ENSGALT00000135287,ENSGALG00000060526,ENSGALT00000140517,ENSGALG00000025999"," , , , ,NDUFA4"
2,27160001,27200000,159,0.952122,7.168458781362519e-4,"ENSGALG00000052129,ENSGALT00000154659,ENSGALT00000115560,ENSGALT00000141253"," , , , "
2,27180001,27220000,165,0.969986,1.2650221378873727e-4,"ENSGALG00000052129,ENSGALT00000154659,ENSGALT00000115560,ENSGALT00000141253,ENSGALT00000099051,ENSGALT00000134906"," , , , , , "
2,27200001,27240000,188,0.950593,8.011806873287064e-4,"ENSGALG00000052129,ENSGALT00000154659,ENSGALT00000115560,ENSGALT00000141253,ENSGALT00000099051,ENSGALT00000134906"," , , , , , "
2,27640001,27680000,215,0.946552,9.065991988193023e-4,ENSGALG00000033561,DGKB
4,90780001,90820000,141,0.962569,2.635462787264897e-4,"ENSGALG00000035718,ENSGALG00000036142,ENSGALG00000048102,ENSGALG00000044344,ENSGALG00000030931"," , , , , "
4,90800001,90840000,220,0.952932,6.325110689436864e-4,"ENSGALG00000036142,ENSGALG00000044344,ENSGALG00000030931,ENSGALG00000030148,ENSGALG00000058042,ENSGALG00000036547"," , , , , , "
5,49040001,49080000,284,0.947219,8.855154965211609e-4,"ENSGALG00000067842,ENSGALT00000131395,ENSGALG00000053427,ENSGALT00000097907"," , , , "
5,49120001,49160000,331,0.945202,9.698503057137264e-4,"ENSGALG00000011244,ENSGALG00000066779,ENSGALT00000128784,ENSGALT00000142823","DLK1, , , "
9,17540001,17580000,325,0.958624,4.4275774826063596e-4,"ENSGALG00000060820,ENSGALT00000136693,ENSGALG00000008909"," , ,USP13"
18,140001,180000,40,0.950491,8.222643896268478e-4,"ENSGALG00000042022,ENSGALG00000041800","GSG1L2,GLP2R"
