CHROM,START,END,GENEID,GENE,N_VARIANTS,MEAN
1,35000000,35040000,ENSGALG00000009901,DYRK2,11,2.426433414849647
1,35100000,35140000,"ENSGALG00000058494,ENSGALT00000142311,ENSGALG00000065134,ENSGALT00000119830,ENSGALG00000055219,ENSGALT00000148218",", ",16,2.4252834034862403
1,50460000,50500000,ENSGALG00000035051,,13,2.5174413372948172
1,171000000,171040000,"ENSGALG00000064141,ENSGALT00000134185,ENSGALT00000152059,ENSGALT00000141024,ENSGALT00000128965,ENSGALT00000143618,ENSGALG00000065926,ENSGALT00000127165",", ",11,2.510155747031923
10,13120000,13160000,"ENSGALG00000051153,ENSGALT00000136477,ENSGALT00000098538,ENSGALT00000150380,ENSGALG00000057210,ENSGALT00000121830,ENSGALG00000060764,ENSGALT00000122687,ENSGALT00000132880,ENSGALT00000119357,ENSGALT00000124954",", ",22,2.6101922458175815
11,18200000,18240000,ENSGALG00000047024,,89,2.722239679574015
11,19440000,19500000,"ENSGALG00000000713,ENSGALG00000025383,ENSGALT00000042296","ZFHX3, ,",23,3.1641746866493183
11,19520000,19560000,ENSGALG00000000713,ZFHX3,12,3.0105442228851795
17,9760000,9800000,"ENSGALG00000001073,ENSGALG00000018275,ENSGALT00000028982,ENSGALG00000018274,ENSGALT00000028981","NR6A1, ,",16,2.927659331264887
17,10040000,10100000,ENSGALG00000000972,PBX3,22,2.560492319581864
2,27700000,27760000,"ENSGALG00000033561,ENSGALG00000055736,ENSGALT00000135719,ENSGALG00000053853,ENSGALT00000142887,ENSGALT00000111232,ENSGALT00000097161,ENSGALT00000094428","DGKB, ,",23,2.5503556326468546
2,28480000,28520000,ENSGALG00000010809,BZW2,23,2.4550981361933486
2,122980000,123020000,ENSGALG00000041795,WWP1,12,2.534628088428058
26,3080000,3120000,"ENSGALG00000065634,ENSGALT00000113238,ENSGALG00000057121,ENSGALT00000152103,ENSGALG00000001319,ENSGALG00000001343",", ",13,2.495061268588554
3,63960000,64000000,"ENSGALG00000014964,ENSGALG00000014965","NT5DC1,COL10A1",13,2.96971566872417
3,65760000,65840000,"ENSGALG00000015001,ENSGALG00000068494,ENSGALG00000015017,ENSGALG00000053279","LAMA4, ,",69,2.461649318235115
3,86980000,87020000,ENSGALG00000016289,,13,2.4965016921856056
3,87140000,87180000,"ENSGALG00000064650,ENSGALT00000133305,ENSGALG00000056708,ENSGALT00000145171,ENSGALT00000111971,ENSGALG00000058111,ENSGALT00000127866,ENSGALT00000143423",", ",17,2.4278621947836307
3,87260000,87340000,"ENSGALG00000016292,ENSGALG00000055088,ENSGALT00000135858,ENSGALT00000106453,ENSGALT00000151918,ENSGALT00000114415","COL21A1, ,",50,2.6300910487850753
4,54780000,54880000,"ENSGALG00000011994,ENSGALG00000011991","SYNPO2,MYOZ2",62,2.7367757201996405
4,55020000,55060000,"ENSGALG00000012000,ENSGALG00000012004,ENSGALG00000017858,ENSGALT00000028565","METTL14, ,",10,2.567051792906045
4,55120000,55180000,ENSGALG00000012010,,24,2.6588566318411426
8,25820000,25900000,"ENSGALG00000063180,ENSGALT00000120308,ENSGALT00000136391,ENSGALT00000113250,ENSGALG00000059585,ENSGALT00000132450",", ",23,2.9369016516522737
8,28260000,28340000,ENSGALG00000011019,ROR1,71,2.4994956056925113
9,13680000,13720000,"ENSGALG00000061795,ENSGALT00000143628,ENSGALT00000148514",", ",12,2.4826155375745276
9,13800000,13880000,"ENSGALG00000020813,ENSGALG00000007222,ENSGALG00000007226,ENSGALG00000049168,ENSGALT00000092485,ENSGALT00000105042,ENSGALT00000091730,ENSGALT00000117796","CCDC50,UTS2B,OSTN,, ",38,2.5138084420762663
