CHROM,SWEEP_START,SWEEP_END,GENEID,GENE,QTL
1,52060000,52120000,"ENSGALG00000057429,ENSGALT00000120456,ENSGALG00000012546,ENSGALG00000012550,ENSGALG00000068410,ENSGALT00000152420,ENSGALG00000012552,ENSGALT00000115116,ENSGALT00000139780,ENSGALG00000067101,ENSGALT00000121471",", ,MCM5,HMOX1,TOM1",
1,53780000,53840000,"ENSGALG00000012639,ENSGALG00000012647,ENSGALG00000012655",", ,POLR3B",
1,53900000,53960000,"ENSGALG00000061618,ENSGALG00000012662",",","Abdominal fat weight QTL (193624),Abdominal fat weight QTL (193625)"
1,56980000,57060000,"ENSGALG00000012865,ENSGALG00000028879,ENSGALG00000064651,ENSGALT00000129227,ENSGALG00000057570,ENSGALT00000110385,ENSGALG00000067876,ENSGALT00000114407,ENSGALG00000028444","BRAF,MRPS33, ,TMEM178B,",
1,192260000,192400000,",ENSGALG00000065917,ENSGALT00000130798,ENSGALG00000039029,ENSGALG00000066107,ENSGALT00000116568",",, ",
1,193460000,193660000,ENSGALG00000033966,TENM4,
13,3560000,3620000,"ENSGALG00000002262,ENSGALG00000063958,ENSGALT00000111745,ENSGALT00000118150,ENSGALG00000062899,ENSGALT00000117366,ENSGALG00000002229","ETF1, ,FBXW11",
2,18620000,18740000,ENSGALG00000007956,,"Age at first egg QTL (258390),Egg number QTL (258391)"
2,89860000,89900000,"ENSGALG00000054792,ENSGALT00000098228,ENSGALT00000149449,ENSGALT00000103777,ENSGALG00000013598",", ",
3,24160000,24220000,"ENSGALG00000009925,ENSGALG00000009926","MTA3,HAAO",Fear-tonic immobility duration QTL (220101)
3,93940000,93980000,"ENSGALG00000061668,ENSGALT00000138277,ENSGALT00000146679,ENSGALT00000144532,ENSGALT00000152438",", ",
4,540000,620000,"ENSGALG00000032419,ENSGALG00000033969,ENSGALT00000075693,ENSGALG00000029652,ENSGALG00000057162,ENSGALG00000029764",", ,YIPF6","Comb height QTL (108175),Comb weight QTL (108442),Egg weight QTL (298069),Egg weight QTL (298093),Egg weight QTL (298014),Feather pecking QTL (137334),Comb height QTL (108112),Comb weight QTL (108366),Egg weight QTL (298070),Comb height QTL (108113),Comb weight QTL (108367),Comb height QTL (108114),Comb weight QTL (108368),Comb height QTL (108115),Comb weight QTL (108369),Egg weight QTL (298094),Comb height QTL (108116),Comb weight QTL (108370),Feather pecking QTL (137335),Egg weight QTL (298013),Feather pecking QTL (137336),Egg weight QTL (298032),Yolk weight QTL (24973),Comb height QTL (108117),Comb weight QTL (108371),Comb length QTL (107947),Comb height QTL (108118),Comb weight QTL (108372),Egg weight QTL (298095),Egg weight QTL (298071),Egg number QTL (224010),Egg weight QTL (298012),Comb height QTL (108119),Comb weight QTL (108373),Comb height QTL (108120),Comb weight QTL (108374)"
4,720000,780000,,,"Comb weight QTL (108393),Comb height QTL (108137),Comb weight QTL (108394),Comb weight QTL (108395),Comb length QTL (107955),Comb height QTL (108138),Comb weight QTL (108396),Comb length QTL (107956),Comb height QTL (108139),Comb weight QTL (108397),Comb length QTL (107957),Comb height QTL (108140),Comb weight QTL (108398),Comb length QTL (107958),Comb height QTL (108141),Comb weight QTL (108399),Comb length QTL (107959),Comb height QTL (108142),Comb weight QTL (108400),Comb weight QTL (108401)"
8,10140000,10340000,"ENSGALG00000058148,ENSGALT00000137549,ENSGALG00000060313,ENSGALT00000143587,ENSGALT00000142290,ENSGALT00000110436,ENSGALG00000066656,ENSGALT00000147120,ENSGALT00000153910,ENSGALG00000053452,ENSGALT00000099621,ENSGALT00000140557",", ",
