CHROM,START,END,GENEID,GENE,N_VARIANTS,MEAN
1,4340000,4380000,"ENSGALG00000062527,ENSGALT00000123433,ENSGALT00000110478,ENSGALT00000125661,ENSGALT00000146567",", ",161,3.336384039274204
1,4500000,4540000,"ENSGALG00000062447,ENSGALT00000154227,ENSGALG00000009279",", ",373,2.6597193955310865
1,4560000,4640000,"ENSGALG00000056583,ENSGALG00000067033,ENSGALT00000114214",",, ",1236,2.7874030525810185
1,4720000,4760000,ENSGALG00000006891,,285,2.724644344512108
1,4780000,4840000,"ENSGALG00000006833,ENSGALG00000030702,ENSGALG00000006753,ENSGALG00000006731","ITIH2, ,ATP5C1,TAF3",645,2.735074145377162
1,4860000,4920000,ENSGALG00000006731,TAF3,579,2.581306876911497
1,9260000,9300000,ENSGALG00000006560,SEMA3A,14,3.0337567286692804
1,55400000,55460000,"ENSGALG00000012756,ENSGALG00000012759,ENSGALG00000012760",",NUP37,CCDC53",260,2.920241917039786
1,76460000,76500000,,,17,2.5641277161578064
1,76520000,76580000,"ENSGALG00000050907,ENSGALG00000039529,ENSGALT00000064042",",, ",28,2.665109849338974
2,24460000,24660000,"ENSGALG00000027620,ENSGALG00000063629,ENSGALT00000137672,ENSGALG00000063660,ENSGALT00000150195,ENSGALG00000009737,",", ,TAC1,",3564,2.866524906082166
2,24900000,24940000,ENSGALG00000035239,GLCCI1,276,2.81059094225662
2,25800000,25840000,"ENSGALG00000058373,ENSGALT00000141767",,150,2.6114901504687347
2,55180000,55220000,ENSGALG00000039139,TNS3,17,3.491464631037307
3,109360000,109400000,ENSGALG00000040276,RUNX2,519,2.668608641684705
4,8520000,8580000,"ENSGALG00000006886,ENSGALG00000068444,ENSGALT00000116111,ENSGALG00000006906","DACH2, ,CHM",981,2.6330126995855707
5,32560000,32600000,,,160,2.682406749321906
5,32720000,32760000,,,238,2.7484381596713927
5,32800000,32860000,,,321,2.6088051114477397
5,46660000,46720000,"ENSGALG00000011093,ENSGALG00000033099,ENSGALG00000061434,ENSGALT00000123894",",PAPOLB, ",510,2.684337806665691
7,6640000,6700000,"ENSGALG00000038311,ENSGALG00000030511,ENSGALG00000004394,ENSGALG00000059414,ENSGALT00000129593","COL18A1,SLC19A1,PCBP3,, ",378,3.186477589116781
7,9560000,9600000,ENSGALG00000007777,SLC39A10,127,2.7171117324243297
7,9680000,9740000,"ENSGALG00000007841,ENSGALG00000037678","DNAH7,",456,2.6356880665368507
7,9880000,9940000,ENSGALG00000007944,HECW2,831,2.7076246872980243
8,28460000,28560000,"ENSGALG00000033759,ENSGALG00000011031,ENSGALG00000011024,ENSGALG00000064020,ENSGALT00000120839","RAVER2,JAK1,CACHD1, ",693,2.608898582504665
8,28600000,28640000,"ENSGALG00000011031,ENSGALG00000024502,ENSGALT00000041415,ENSGALG00000049708,ENSGALT00000104855,ENSGALG00000011035,ENSGALG00000050771,ENSGALT00000104588,ENSGALG00000011041","JAK1, ,MIR12281,MIR12281-201,AK4,MIR12282,MIR12282-201,DNAJC6",187,2.5693351008256413
