cluster_id,CHROM,START,END,N_WINDOWS
27,1,67980001,68500000,22
4,1,32820001,33220000,12
25,1,67360001,67680000,12
3,1,31720001,31920000,9
79,2,143320001,143540000,9
114,3,60320001,60560000,9
51,1,23700001,23920000,8
68,2,2060001,2300000,8
115,3,60960001,61200000,8
150,5,31060001,31240000,8
42,1,151200001,151400000,7
53,1,24160001,24320000,7
19,1,47080001,47240000,6
69,2,3640001,3780000,6
72,2,81660001,81860000,6
85,2,13840001,14040000,6
100,24,6120001,6260000,6
111,3,43440001,43640000,6
120,3,1520001,1660000,6
128,4,18360001,18500000,6
139,4,18560001,18760000,6
142,4,90440001,90600000,6
143,4,19400001,19600000,6
159,5,37500001,37700000,6
28,1,69120001,69240000,5
41,1,149640001,149760000,5
45,1,23060001,23200000,5
61,13,2120001,2240000,5
117,3,1260001,1380000,5
