CHROM,BIN_START,BIN_END,N_VARIANTS,MEAN,EMPIRICAL_PVALUE,GENEID,GENE
1,65820001,65860000,299,0.64914,8.209662140826746e-4,"ENSGALG00000032768,ENSGALG00000063630,ENSGALT00000121498,ENSGALG00000067526,ENSGALT00000121593,ENSGALG00000068331,ENSGALT00000142951","SOX5, , , , , , "
1,65840001,65880000,350,0.704788,4.6310914640568246e-4,"ENSGALG00000032768,ENSGALG00000067526,ENSGALT00000121593,ENSGALG00000068331,ENSGALT00000142951","SOX5, , , , "
1,68260001,68300000,767,0.660942,6.736133038627301e-4,"ENSGALG00000014106,ENSGALG00000014128","PPFIBP1,A4GALT"
2,94580001,94620000,193,0.648529,8.420166298284126e-4,"ENSGALG00000065693,ENSGALT00000130479"," , "
5,30640001,30680000,485,0.665088,6.31512472371365e-4,ENSGALG00000009723,FMN1
5,31080001,31120000,311,0.640983,9.051678770656268e-4,"ENSGALG00000057023,ENSGALT00000112216"," , "
5,31100001,31140000,101,0.746747,2.526049889485238e-4,"ENSGALG00000057023,ENSGALT00000112216"," , "
5,31120001,31160000,63,0.801373,1.4735291021994446e-4,"ENSGALG00000057023,ENSGALT00000112216,ENSGALG00000060550,ENSGALT00000130365"," , , , "
5,31140001,31180000,114,0.828685,8.420166298284126e-5,"ENSGALG00000057023,ENSGALT00000112216,ENSGALG00000060550,ENSGALT00000130365"," , , , "
5,31160001,31200000,191,0.815825,1.263024944743174e-4,"ENSGALG00000057023,ENSGALT00000112216"," , "
5,31180001,31220000,156,0.756668,2.3155457320278572e-4,"ENSGALG00000057023,ENSGALT00000112216"," , "
5,31200001,31240000,145,0.648463,8.630670455741507e-4,"ENSGALG00000057023,ENSGALT00000112216,ENSGALG00000058234,ENSGALT00000131971"," , , , "
5,31220001,31260000,152,0.639712,9.47268708556992e-4,"ENSGALG00000057023,ENSGALT00000112216,ENSGALG00000058234,ENSGALT00000131971"," , , , "
5,31320001,31360000,30,0.816308,1.0525207872857933e-4, , 
5,31340001,31380000,89,0.845867,4.210083149147614e-5,"ENSGALG00000056816,ENSGALT00000110848"," , "
5,31360001,31400000,158,0.854172,2.105041574573807e-5,"ENSGALG00000056816,ENSGALT00000110848"," , "
5,31380001,31420000,198,0.834334,6.315124723710319e-5,"ENSGALG00000056816,ENSGALT00000110848"," , "
5,31400001,31440000,167,0.745412,2.7365540469426186e-4,"ENSGALG00000037493,ENSGALT00000136654,ENSGALT00000093440,ENSGALT00000109898,ENSGALT00000141088,ENSGALT00000131590,ENSGALG00000059566,ENSGALT00000116507,ENSGALG00000039118"," , , , , , , , ,MEIS2"
5,31480001,31520000,322,0.66491,6.52562888116992e-4,ENSGALG00000039118,MEIS2
5,31500001,31540000,430,0.651103,7.788653825913094e-4,ENSGALG00000039118,MEIS2
5,31520001,31560000,299,0.63705,9.893695400484681e-4,ENSGALG00000039118,MEIS2
5,31540001,31580000,208,0.676022,5.894116408798888e-4,ENSGALG00000039118,MEIS2
5,31560001,31600000,191,0.654658,7.367645510998333e-4,ENSGALG00000039118,MEIS2
5,36020001,36060000,389,0.641322,8.841174613198888e-4,"ENSGALG00000048439,ENSGALT00000138572,ENSGALT00000121828,ENSGALT00000105267"," , , , "
5,40360001,40400000,404,0.649878,7.999157983370475e-4,ENSGALG00000027255,NRXN3
6,11260001,11300000,488,0.659547,6.946637196084682e-4,"ENSGALG00000003935,ENSGALG00000003947,ENSGALG00000039161","PBLD,HNRNPH3,RUFY2"
6,13260001,13300000,284,0.694242,5.262603936427857e-4,"ENSGALG00000004850,ENSGALG00000025404,ENSGALT00000042317"," , , "
6,16420001,16460000,372,0.683247,5.683612251341508e-4,ENSGALG00000005088,CAMK2G
6,16440001,16480000,381,0.656668,7.157141353542062e-4,ENSGALG00000005088,CAMK2G
8,8800001,8840000,304,0.640176,9.262182928112539e-4,ENSGALG00000033407,BRINP3
8,8820001,8860000,351,0.706718,4.210083149142063e-4,ENSGALG00000033407,BRINP3
8,8840001,8880000,372,0.697567,5.052099778970476e-4,"ENSGALG00000058161,ENSGALT00000130052,ENSGALG00000064604,ENSGALT00000108445"," , , , "
8,8860001,8900000,298,0.708428,3.9995789916846824e-4,"ENSGALG00000058161,ENSGALT00000130052,ENSGALG00000064604,ENSGALT00000108445,ENSGALG00000050751"," , , , , "
8,8880001,8920000,242,0.703185,4.841595621513095e-4,"ENSGALG00000058161,ENSGALT00000130052,ENSGALG00000050751,ENSGALG00000049810"," , , , "
8,8900001,8940000,285,0.639683,9.6831912430273e-4,"ENSGALG00000050751,ENSGALG00000049810,ENSGALG00000062259,ENSGALT00000155007,ENSGALT00000134002,ENSGALG00000065054,ENSGALT00000109616"," , , , , , , "
8,8920001,8960000,354,0.669731,6.104620566256269e-4,"ENSGALG00000062259,ENSGALT00000155007,ENSGALT00000134002,ENSGALG00000065054,ENSGALT00000109616,ENSGALG00000055481,ENSGALT00000134663"," , , , , , , "
8,14940001,14980000,700,0.770253,2.1050415745715867e-4,ENSGALG00000006091,HFM1
11,4880001,4920000,417,0.709363,3.789074834228412e-4,ENSGALG00000003602, 
11,4900001,4940000,461,0.741574,2.9470582043999993e-4,ENSGALG00000003602, 
11,4920001,4960000,407,0.711003,3.578570676771031e-4,"ENSGALG00000003602,ENSGALG00000067048,ENSGALT00000127747,ENSGALG00000063964,ENSGALT00000147531,ENSGALG00000067439,ENSGALT00000144258,ENSGALG00000059334,ENSGALT00000111841"," , , , , , , , , "
11,10680001,10720000,317,0.652509,7.578149668455714e-4,"ENSGALG00000058901,ENSGALT00000137463,ENSGALG00000056567,ENSGALT00000149482,ENSGALG00000067331"," , , , ,KCTD15"
18,11160001,11200000,186,0.70562,4.420587306599444e-4,"ENSGALG00000064295,ENSGALT00000129456,ENSGALT00000137563,ENSGALT00000097933,ENSGALG00000048586,ENSGALT00000119330,ENSGALT00000121568,ENSGALG00000066059"," , , , , , , , "
18,11180001,11220000,214,0.692649,5.473108093885237e-4,"ENSGALG00000064295,ENSGALT00000097933,ENSGALG00000048586,ENSGALT00000121568,ENSGALG00000066059,ENSGALG00000063301"," , , , , , "
24,6140001,6180000,437,0.7361,3.3680665193136505e-4,"ENSGALG00000007868,ENSGALG00000048129,ENSGALG00000007874,ENSGALG00000007878,ENSGALG00000007882"," , ,IL18,SDHD, "
24,6160001,6200000,438,0.782155,1.894537417114206e-4,"ENSGALG00000007868,ENSGALG00000048129,ENSGALG00000007874,ENSGALG00000007878,ENSGALG00000007882,ENSGALG00000047403,ENSGALG00000007904,ENSGALG00000007929"," , ,IL18,SDHD, , , ,DIXDC1"
24,6180001,6220000,371,0.789861,1.6840332596568253e-4,"ENSGALG00000007882,ENSGALG00000047403,ENSGALG00000007904,ENSGALG00000007929"," , , ,DIXDC1"
24,6200001,6240000,320,0.738251,3.15756236185627e-4,"ENSGALG00000007929,ENSGALG00000032467,ENSGALG00000007945,ENSGALG00000040842","DIXDC1, ,CRYAB,HSPB2"
