CHROM,BIN_START,BIN_END,N_VARIANTS,MEAN,EMPIRICAL_PVALUE,GENEID,GENE
1,101100001,101140000,322,0.844007,1.47439812962058e-4, , 
1,103120001,103160000,715,0.779025,8.003875560798068e-4,"ENSGALG00000050722,ENSGALT00000126935,ENSGALT00000098511,ENSGALT00000120495,ENSGALT00000098721"," , , , , "
1,153900001,153940000,357,0.773574,9.478273690418648e-4,"ENSGALG00000062023,ENSGALT00000142540,ENSGALT00000151835,ENSGALT00000152108,ENSGALT00000139933,ENSGALG00000063933,ENSGALT00000150062,ENSGALT00000121369,ENSGALT00000132908,ENSGALT00000122594,ENSGALT00000116514"," , , , , , , , , , , "
1,192720001,192760000,458,0.773836,9.267645386187295e-4,"ENSGALG00000057158,ENSGALT00000113466"," , "
1,192740001,192780000,406,0.832039,2.1062830423157486e-4,"ENSGALG00000057158,ENSGALT00000113466"," , "
2,70540001,70580000,316,0.85152,1.263769825389227e-4,"ENSGALG00000056303,ENSGALT00000144227,ENSGALG00000065030,ENSGALT00000116821,ENSGALG00000058729,ENSGALT00000131426,ENSGALG00000057549,ENSGALT00000133709,ENSGALT00000119814,ENSGALG00000063023,ENSGALT00000149851,ENSGALT00000146671,ENSGALT00000123665,ENSGALT00000109806,ENSGALG00000062203,ENSGALT00000146126"," , , , , , , , , , , , , , , , "
2,70560001,70600000,312,0.867912,4.212566084627056e-5,"ENSGALG00000056303,ENSGALT00000144227,ENSGALG00000057549,ENSGALT00000133709,ENSGALT00000119814,ENSGALG00000063023,ENSGALT00000149851,ENSGALT00000146671,ENSGALT00000123665,ENSGALT00000109806,ENSGALG00000062203,ENSGALT00000146126"," , , , , , , , , , , , "
2,70580001,70620000,407,0.83263,1.8956547380832856e-4,"ENSGALG00000056303,ENSGALT00000144227,ENSGALG00000062203,ENSGALT00000146126,ENSGALG00000060377,ENSGALT00000148841,ENSGALT00000129572"," , , , , , , "
2,70600001,70640000,410,0.775972,8.84638877772348e-4,"ENSGALG00000056303,ENSGALT00000144227,ENSGALG00000062203,ENSGALT00000146126,ENSGALG00000060377,ENSGALT00000148841,ENSGALT00000129572,ENSGALG00000025664,ENSGALT00000042577"," , , , , , , ,U6,U6-201"
2,70840001,70880000,383,0.777437,8.425132169260774e-4,"ENSGALG00000062203,ENSGALT00000146126,ENSGALT00000116593,ENSGALT00000121290,ENSGALT00000144170,ENSGALT00000092326,ENSGALG00000062136,ENSGALT00000149975"," , , , , , , , "
2,72720001,72760000,377,0.793979,6.108220822713673e-4,"ENSGALG00000066825,ENSGALT00000134492,ENSGALT00000113184"," , , "
2,72740001,72780000,365,0.7793,7.793247256566715e-4,"ENSGALG00000067441,ENSGALT00000119363"," , "
2,72940001,72980000,333,0.774486,9.057017081955943e-4,"ENSGALG00000067441,ENSGALT00000119363,ENSGALT00000119254,ENSGALT00000111308,ENSGALT00000127638"," , , , , "
3,73860001,73900000,209,0.778316,8.214503865029421e-4, , 
3,98040001,98080000,557,0.805734,5.265707605788261e-4, , 
4,27960001,28000000,341,0.773497,9.688901994650001e-4,"ENSGALG00000060716,ENSGALT00000154238"," , "
4,27980001,28020000,360,0.836596,1.6850264338519327e-4,"ENSGALG00000060716,ENSGALT00000154238,ENSGALG00000061432,ENSGALT00000140943"," , , , "
4,28000001,28040000,293,0.785926,6.529477431177488e-4,"ENSGALG00000061432,ENSGALT00000140943,ENSGALG00000062345,ENSGALT00000137512,ENSGALG00000058657,ENSGALT00000130361,ENSGALT00000140818"," , , , , , , "
4,71380001,71420000,332,0.828796,2.94879625924116e-4, , 
4,71400001,71440000,316,0.811643,4.212566084630387e-4,"ENSGALG00000065945,ENSGALT00000111782"," , "
5,47860001,47900000,492,0.797483,5.89759251848232e-4,"ENSGALG00000063741,ENSGALT00000138673,ENSGALT00000139588,ENSGALG00000060158,ENSGALT00000131735"," , , , , "
5,47880001,47920000,546,0.829552,2.738167955009807e-4,"ENSGALG00000060158,ENSGALT00000131735"," , "
5,47900001,47940000,587,0.807269,4.8444509973255556e-4,"ENSGALG00000060158,ENSGALT00000131735"," , "
5,49320001,49360000,280,0.782714,6.950734039640194e-4,"ENSGALG00000056429,ENSGALT00000113783,ENSGALT00000137708,ENSGALT00000151085,ENSGALT00000111693"," , , , , "
5,49780001,49820000,905,0.81835,3.7913094761676813e-4,"ENSGALG00000011368,ENSGALG00000011372,ENSGALG00000011373"," ,CINP,TECPR2"
5,49800001,49840000,886,0.809181,4.6338226930930926e-4,"ENSGALG00000011373,ENSGALG00000011376","TECPR2, "
