CHROM,SWEEP_START,SWEEP_END,GENEID,GENE,QTL
1,23740001,23840000,ENSGALG00000009066,KCND2,
1,31820001,31900000,"ENSGALG00000065027,ENSGALT00000119235,ENSGALG00000009755",", ,LRIG3",Egg number QTL (223977)
1,32820001,32880000,ENSGALG00000019361,FAM19A2,Antibody titer to infectious bronchitis virus QTL (24348)
1,33180001,33220000,"ENSGALG00000009795,ENSGALG00000018237,ENSGALT00000028944,ENSGALG00000065587,ENSGALT00000121235,ENSGALG00000009805","MON2, ,PPM1H",
1,33340001,33380000,"ENSGALG00000064504,ENSGALT00000151252,ENSGALT00000116764,ENSGALT00000122830,ENSGALT00000139767,ENSGALT00000117783,ENSGALG00000068486,ENSGALT00000137058,ENSGALT00000130700",", ",
1,68140001,68180000,"ENSGALG00000014096,ENSGALG00000046838,ENSGALT00000116862,ENSGALT00000146605,ENSGALT00000094896,ENSGALT00000149148","ARNTL2, ,",
1,68220001,68340000,"ENSGALG00000014106,ENSGALG00000014128,ENSGALG00000014126,ENSGALG00000063330","PPFIBP1,A4GALT,, ","Age at first egg QTL (289402),Eggshell effective layer thickness QTL (159840)"
1,75680001,75720000,ENSGALG00000040184,RIMKLB,
1,102240001,102280000,ENSGALG00000015737,NCAM2,
1,120760001,120800000,ENSGALG00000016391,,
14,8720001,8760000,"ENSGALG00000051431,ENSGALG00000006780,ENSGALG00000006829","RPS15A,ARL6IP1,SMG1",
2,2220001,2280000,ENSGALG00000032534,,
2,13960001,14000000,ENSGALG00000007140,NRP1,"Age at first egg QTL (258390),Egg number QTL (258391)"
2,143380001,143520000,",ENSGALG00000065117,ENSGALT00000116667",",",
20,12500001,12540000,"ENSGALG00000068470,ENSGALT00000141380,ENSGALT00000147762,ENSGALT00000137648,ENSGALT00000151635,ENSGALT00000075923,ENSGALG00000063891,ENSGALT00000120211,ENSGALT00000148539,ENSGALT00000137714,ENSGALG00000040886",", ","Skin color QTL (283078),Skin color QTL (283079)"
24,6200001,6240000,"ENSGALG00000007929,ENSGALG00000032467,ENSGALG00000007945,ENSGALG00000040842","DIXDC1, ,CRYAB,HSPB2",
3,1000001,1040000,"ENSGALG00000062895,ENSGALT00000152930,ENSGALG00000062609,ENSGALT00000154368,ENSGALT00000105643,ENSGALT00000121107,ENSGALG00000066935,ENSGALT00000152902,ENSGALT00000151760,ENSGALT00000127555,ENSGALT00000131906,ENSGALT00000135276",", ",
3,60340001,60400000,ENSGALG00000039756,NKAIN2,
4,38740001,38780000,"ENSGALG00000010582,ENSGALG00000058965,ENSGALT00000154534",", ",
4,90540001,90580000,"ENSGALG00000062287,ENSGALT00000119411,ENSGALT00000125430,ENSGALT00000146341",", ",
5,31120001,31220000,"ENSGALG00000057023,ENSGALT00000112216,ENSGALG00000060550,ENSGALT00000130365",", ",Antibody titer to SRBC antigen QTL (14402)
5,31320001,31360000,,,
6,10820001,10880000,ENSGALG00000003805,PRKG1,
8,12820001,12860000,"ENSGALG00000054920,ENSGALT00000099221",,
8,14620001,14680000,"ENSGALG00000023490,ENSGALG00000057930,ENSGALT00000114436,ENSGALT00000124427,ENSGALG00000005977,ENSGALG00000006019","C1orf146, ,,EPHX3",
