CHROM,BIN_START,BIN_END,N_VARIANTS,MEAN,EMPIRICAL_PVALUE,GENEID,GENE
1,31140001,31180000,188,0.999193,1.899776248575069e-4,"ENSGALG00000060620,ENSGALT00000141984,ENSGALG00000055938,ENSGALT00000137317,ENSGALT00000140540,ENSGALG00000025619,ENSGALT00000042532,ENSGALG00000057536,ENSGALT00000154218,ENSGALT00000057791,ENSGALT00000109092,ENSGALT00000118633,ENSGALT00000148569,ENSGALG00000066502,ENSGALT00000140574,ENSGALT00000124997"," , , , , ,U1,U1-201, , , , , , , , , "
1,31160001,31200000,203,0.998522,6.543673745091905e-4,"ENSGALG00000057536,ENSGALT00000154218,ENSGALT00000057791,ENSGALT00000109092,ENSGALT00000118633,ENSGALT00000148569,ENSGALG00000066502,ENSGALT00000140574,ENSGALT00000124997"," , , , , , , , , "
1,32100001,32140000,94,0.998867,3.3773799974667895e-4,"ENSGALG00000067008,ENSGALT00000116989,ENSGALT00000121656,ENSGALT00000114897,ENSGALG00000067501,ENSGALT00000138972,ENSGALT00000150205,ENSGALT00000127366,ENSGALT00000153519,ENSGALT00000132000,ENSGALG00000049770,ENSGALT00000148262,ENSGALT00000129885,ENSGALG00000061378,ENSGALT00000110625"," , , , , , , , , , , , , , , "
1,32120001,32160000,73,0.998812,4.432811246675161e-4,"ENSGALG00000067501,ENSGALT00000138972,ENSGALT00000150205,ENSGALT00000127366,ENSGALT00000153519,ENSGALT00000132000,ENSGALG00000049770,ENSGALT00000148262,ENSGALT00000129885,ENSGALT00000095492,ENSGALG00000061378,ENSGALT00000110625,ENSGALG00000057920,ENSGALT00000134509,ENSGALG00000055161,ENSGALT00000133822"," , , , , , , , , , , , , , , , "
1,152940001,152980000,61,0.998246,8.232363743825299e-4,"ENSGALG00000059494,ENSGALT00000138450"," , "
1,171240001,171280000,207,0.99885,3.799552497150138e-4,"ENSGALG00000017015,ENSGALG00000057857,ENSGALT00000129874,ENSGALT00000151201,ENSGALT00000119623,ENSGALG00000065675,ENSGALT00000138783,ENSGALT00000114132,ENSGALT00000132070,ENSGALT00000110660","RNASEH2B, , , , , , , , , "
1,171400001,171440000,317,0.998659,5.277156246041859e-4,"ENSGALG00000017017,ENSGALG00000017018"," ,INTS6"
2,25980001,26020000,190,0.999089,2.1108624984167434e-4,"ENSGALG00000057843,ENSGALT00000135287,ENSGALG00000060526,ENSGALT00000140517,ENSGALG00000025999"," , , , ,NDUFA4"
2,26040001,26080000,188,0.998201,8.654536243508648e-4,ENSGALG00000038041,PHF14
2,26260001,26300000,166,0.998045,9.70996749271702e-4,ENSGALG00000010718,THSD7A
2,26280001,26320000,173,0.998125,8.865622493350322e-4,ENSGALG00000010718,THSD7A
