cluster_id,CHROM,START,END,N_WINDOWS
105,5,31080001,32360000,51
92,5,37320001,38200000,28
86,4,90120001,90580000,18
109,5,34920001,35300000,17
90,5,36700001,37140000,14
21,1,165660001,165980000,13
6,1,55080001,55340000,11
13,1,68120001,68380000,10
123,8,8780001,9000000,10
113,6,11240001,11500000,9
20,1,164040001,164200000,7
26,1,24180001,24380000,7
96,5,40840001,41000000,7
107,5,34020001,34240000,7
7,1,55520001,55660000,6
23,1,23720001,23860000,6
62,24,4640001,4780000,6
32,11,4880001,5060000,5
60,24,1300001,1440000,5
66,24,6120001,6300000,5
68,28,2800001,2940000,5
95,5,40340001,40460000,5
108,5,34600001,34720000,5
112,6,10800001,10920000,5
130,9,10440001,10580000,5
