CHROM,START,END,GENEID,GENE,N_VARIANTS,MEAN
1,68280001,68340000,"ENSGALG00000014106,ENSGALG00000014128,ENSGALG00000014126,ENSGALG00000063330","PPFIBP1,A4GALT,, ",1120,0.8898205
1,75700001,75760000,ENSGALG00000040184,RIMKLB,502,0.8869595
1,94760001,94820000,ENSGALG00000043393,CADM2,629,0.8904894999999999
1,95660001,95740000,"ENSGALG00000050963,ENSGALT00000099024,",",",809,0.9321793333333334
1,95940001,95980000,,,203,0.864855
1,149240001,149280000,ENSGALG00000016902,,276,0.85901400000000006
11,4880001,4960000,"ENSGALG00000003602,ENSGALG00000067048,ENSGALT00000127747,ENSGALG00000063964,ENSGALT00000147531,ENSGALG00000067439,ENSGALT00000144258,ENSGALG00000059334,ENSGALT00000111841",",, ",780,0.982678
11,10720001,10800000,"ENSGALG00000067331,ENSGALG00000040725","KCTD15,,",481,0.9147543333333333
11,19280001,19320000,"ENSGALG00000064900,ENSGALT00000140853",,171,0.845886
2,49340001,49380000,ENSGALG00000031635,VPS41,437,0.870488
2,50540001,50720000,"ENSGALG00000061023,ENSGALT00000117391,ENSGALG00000066226,ENSGALT00000135566,ENSGALT00000110944,ENSGALG00000034616,ENSGALG00000059423,ENSGALT00000143874,ENSGALG00000063940,ENSGALT00000148201,ENSGALG00000050534,ENSGALT00000093257,ENSGALG00000040266",", ,INHBA,GLI3",702,0.954581125
20,6240001,6340000,ENSGALG00000004621,,1212,0.87669725
3,43680001,43740000,"ENSGALG00000060470,ENSGALT00000126672,ENSGALT00000134321,ENSGALT00000153999,ENSGALT00000124160",", ",513,0.8491945
4,70580001,70620000,"ENSGALG00000059639,ENSGALT00000137241,ENSGALG00000064471,ENSGALT00000111751",", ",134,0.874199
5,10700001,10760000,ENSGALG00000006035,PDE3B,591,0.8628279999999999
5,23560001,23600000,ENSGALG00000032181,,244,0.863293
5,36860001,36900000,"ENSGALG00000010114,ENSGALG00000028483","PAX9,",381,0.855958
5,37420001,37460000,"ENSGALG00000064433,ENSGALT00000128553,ENSGALG00000057152,ENSGALT00000110706,ENSGALG00000054810,ENSGALT00000117266",", ",699,0.859053
5,48460001,48500000,ENSGALG00000039735,EML1,699,0.849751
6,10860001,10920000,"ENSGALG00000003805,ENSGALG00000003814","PRKG1,",440,0.861971
6,11260001,11320000,"ENSGALG00000003935,ENSGALG00000003947,ENSGALG00000039161,ENSGALG00000004037","PBLD,HNRNPH3,RUFY2,DNA2",637,0.9504965000000001
8,14620001,14660000,"ENSGALG00000023490,ENSGALG00000057930,ENSGALT00000114436,ENSGALT00000124427,ENSGALG00000005977","C1orf146, ,",273,0.887181
8,30100001,30160000,"ENSGALG00000011379,ENSGALG00000011388,ENSGALG00000017875,ENSGALT00000028582,ENSGALG00000017876,ENSGALT00000028583,ENSGALG00000011392","SLC44A5,RABGGTB, ,SGF29",307,0.8524995
