CHROM,START,END,GENEID,GENE,N_VARIANTS,MEAN
1,65820001,65880000,"ENSGALG00000032768,ENSGALG00000063630,ENSGALT00000121498,ENSGALG00000067526,ENSGALT00000121593,ENSGALG00000068331,ENSGALT00000142951","SOX5, ,",649,0.676964
1,68260001,68300000,"ENSGALG00000014106,ENSGALG00000014128","PPFIBP1,A4GALT",767,0.660942
11,4880001,4960000,"ENSGALG00000003602,ENSGALG00000067048,ENSGALT00000127747,ENSGALG00000063964,ENSGALT00000147531,ENSGALG00000067439,ENSGALT00000144258,ENSGALG00000059334,ENSGALT00000111841",",, ",1285,0.7206466666666667
11,10680001,10720000,"ENSGALG00000058901,ENSGALT00000137463,ENSGALG00000056567,ENSGALT00000149482,ENSGALG00000067331",", ,KCTD15",317,0.652509
18,11160001,11220000,"ENSGALG00000064295,ENSGALT00000129456,ENSGALT00000137563,ENSGALT00000097933,ENSGALG00000048586,ENSGALT00000119330,ENSGALT00000121568,ENSGALG00000066059,ENSGALG00000063301",", ",400,0.6991345
2,94580001,94620000,"ENSGALG00000065693,ENSGALT00000130479",,193,0.648529
24,6140001,6240000,"ENSGALG00000007868,ENSGALG00000048129,ENSGALG00000007874,ENSGALG00000007878,ENSGALG00000007882,ENSGALG00000047403,ENSGALG00000007904,ENSGALG00000007929,ENSGALG00000032467,ENSGALG00000007945,ENSGALG00000040842",", ,IL18,SDHD,DIXDC1,CRYAB,HSPB2",1566,0.76159175
5,30640001,30680000,ENSGALG00000009723,FMN1,485,0.665088
5,31080001,31260000,"ENSGALG00000057023,ENSGALT00000112216,ENSGALG00000060550,ENSGALT00000130365,ENSGALG00000058234,ENSGALT00000131971",", ",1233,0.734807
5,31320001,31440000,",ENSGALG00000056816,ENSGALT00000110848,ENSGALG00000037493,ENSGALT00000136654,ENSGALT00000093440,ENSGALT00000109898,ENSGALT00000141088,ENSGALT00000131590,ENSGALG00000059566,ENSGALT00000116507,ENSGALG00000039118",",, ,MEIS2",642,0.8192186
5,31480001,31600000,ENSGALG00000039118,MEIS2,1450,0.6567486
5,36020001,36060000,"ENSGALG00000048439,ENSGALT00000138572,ENSGALT00000121828,ENSGALT00000105267",", ",389,0.641322
5,40360001,40400000,ENSGALG00000027255,NRXN3,404,0.649878
6,11260001,11300000,"ENSGALG00000003935,ENSGALG00000003947,ENSGALG00000039161","PBLD,HNRNPH3,RUFY2",488,0.659547
6,13260001,13300000,"ENSGALG00000004850,ENSGALG00000025404,ENSGALT00000042317",", ",284,0.694242
6,16420001,16480000,ENSGALG00000005088,CAMK2G,753,0.6699575
8,8800001,8960000,"ENSGALG00000033407,ENSGALG00000058161,ENSGALT00000130052,ENSGALG00000064604,ENSGALT00000108445,ENSGALG00000050751,ENSGALG00000049810,ENSGALG00000062259,ENSGALT00000155007,ENSGALT00000134002,ENSGALG00000065054,ENSGALT00000109616,ENSGALG00000055481,ENSGALT00000134663","BRINP3,, ",2206,0.680784
8,14940001,14980000,ENSGALG00000006091,HFM1,700,0.770253
