cluster_id,CHROM,START,END,N_WINDOWS
20,1,95600001,96080000,22
5,1,68120001,68500000,17
129,5,37280001,37640000,16
85,2,50520001,50760000,11
142,5,48400001,48620000,10
96,20,6160001,6360000,9
11,1,75180001,75380000,8
57,11,4860001,5080000,8
88,2,52720001,52980000,8
62,11,19260001,19420000,7
154,6,10800001,10960000,7
13,1,75660001,75800000,6
40,1,165600001,165820000,6
59,11,10620001,10820000,6
169,8,30040001,30180000,6
42,1,166180001,166300000,5
70,2,11600001,11760000,5
75,2,81080001,81200000,5
76,2,81760001,81880000,5
95,20,5980001,6100000,5
101,24,3480001,3620000,5
155,6,11200001,11340000,5
170,8,8780001,8900000,5
176,8,18660001,18780000,5
