cluster_id,CHROM,START,END,N_WINDOWS
7,1,55640001,56100000,18
133,4,62320001,62700000,14
152,5,49140001,49500000,12
5,1,55160001,55400000,11
8,1,56160001,56420000,10
127,4,61120001,61340000,9
130,4,61840001,62100000,9
51,13,18420001,18660000,8
172,8,9960001,10200000,8
125,4,60460001,60700000,7
128,4,61440001,61600000,7
161,5,48880001,49040000,7
174,8,12180001,12340000,7
71,2,86360001,86600000,6
95,3,22080001,22240000,6
97,3,37360001,37500000,6
110,3,99220001,99420000,6
137,4,71000001,71200000,6
154,5,4260001,4400000,6
159,5,32760001,32940000,6
32,1,41160001,41280000,5
58,2,26060001,26260000,5
59,2,50420001,50600000,5
94,3,21780001,21900000,5
96,3,22360001,22520000,5
107,3,98180001,98300000,5
111,3,1000001,1160000,5
138,4,71260001,71380000,5
