cluster_id,CHROM,START,END,N_WINDOWS
82,4,70840001,71660000,32
27,2,27220001,27820000,28
51,2,25540001,26040000,24
94,5,48940001,49500000,24
101,5,31120001,31620000,19
58,26,20001,380000,15
26,2,26840001,27140000,14
69,3,29400001,29740000,12
67,3,28560001,28800000,11
84,4,82860001,83140000,11
12,11,60001,280000,10
31,2,50520001,50720000,9
103,5,32100001,32360000,9
111,8,29220001,29540000,9
8,1,98360001,98560000,8
13,11,19260001,19440000,8
61,3,65260001,65440000,8
68,3,29040001,29280000,8
60,3,28300001,28480000,7
28,2,27960001,28100000,6
74,3,58980001,59120000,6
113,8,30040001,30180000,6
114,9,10380001,10560000,6
59,3,28100001,28220000,5
95,5,49760001,49880000,5
102,5,31780001,31920000,5
104,6,9400001,9520000,5
