CHROM,BIN_START,BIN_END,N_VARIANTS,MEAN,EMPIRICAL_PVALUE,GENEID,GENE
1,53580001,53620000,777,0.678651,3.369485100558345e-4,"ENSGALG00000060189,ENSGALT00000115146,ENSGALG00000012638"," , ,CRY1"
1,53600001,53640000,764,0.666415,4.422449194482203e-4,"ENSGALG00000012638,ENSGALG00000012639,ENSGALG00000012640","CRY1, ,TMEM263"
1,54140001,54180000,606,0.631109,9.266084026534616e-4,ENSGALG00000026311,C12orf75
1,54160001,54200000,683,0.628916,9.687269664104825e-4,ENSGALG00000026311,C12orf75
1,55000001,55040000,600,0.679623,3.158892281772685e-4,"ENSGALG00000060294,ENSGALT00000152173,ENSGALT00000118226,ENSGALT00000134915,ENSGALT00000154811,ENSGALT00000132665"," , , , , , "
1,55020001,55060000,461,0.700668,1.6847425502786173e-4,"ENSGALG00000060294,ENSGALT00000134915,ENSGALT00000132665,ENSGALG00000062125,ENSGALT00000137659,ENSGALT00000120771,ENSGALT00000128930"," , , , , , , "
1,55160001,55200000,351,0.689935,2.3165210066333763e-4,"ENSGALG00000055033,ENSGALT00000092644"," , "
1,55180001,55220000,384,0.692626,1.895335369064277e-4,"ENSGALG00000055033,ENSGALT00000092644,ENSGALG00000061125,ENSGALT00000132100"," , , , "
1,55200001,55240000,371,0.747064,8.423712751393087e-5,"ENSGALG00000061125,ENSGALT00000132100"," , "
1,55220001,55260000,375,0.795896,2.105928187845496e-5,"ENSGALG00000061125,ENSGALT00000132100"," , "
1,55240001,55280000,323,0.723827,1.263556912709518e-4, , 
1,55260001,55300000,234,0.643618,6.52837738233103e-4,ENSGALG00000012755,IGF1
1,55300001,55340000,280,0.671176,4.001263556913104e-4,ENSGALG00000012755,IGF1
1,55320001,55360000,429,0.759671,4.2118563757020944e-5,ENSGALG00000012755,IGF1
1,55340001,55380000,550,0.755661,6.31778456354759e-5,"ENSGALG00000012757,ENSGALG00000012756","PMCH, "
1,55360001,55400000,462,0.636604,7.581341476255998e-4,"ENSGALG00000012757,ENSGALG00000012756","PMCH, "
