CHROM,BIN_START,BIN_END,N_VARIANTS,MEAN,EMPIRICAL_PVALUE,GENEID,GENE
1,74100001,74140000,59,0.924435,9.060834018164154e-4,"ENSGALG00000061397,ENSGALT00000154920"," , "
1,74160001,74200000,52,0.939453,5.900077965316219e-4,"ENSGALG00000059687,ENSGALG00000062390,ENSGALT00000120391"," , , "
1,74220001,74260000,48,0.923417,9.692985228733075e-4,ENSGALG00000053526,NTF3
1,74240001,74280000,45,0.930049,6.953663316264791e-4,ENSGALG00000053526,NTF3
1,74500001,74540000,57,0.928285,7.585814526834822e-4,"ENSGALG00000017271,ENSGALG00000066718"," , "
1,74520001,74560000,75,0.92388,9.482268158543805e-4,"ENSGALG00000017271,ENSGALG00000066718,ENSGALG00000017272"," , ,VWF"
1,74580001,74620000,39,0.928643,7.164380386455171e-4,ENSGALG00000017272,VWF
1,74600001,74640000,50,0.927397,7.796531597025202e-4,ENSGALG00000017272,VWF
1,74620001,74660000,65,0.921169,9.903702298923456e-4,ENSGALG00000017272,VWF
1,74880001,74920000,62,0.926038,8.639399877784504e-4,ENSGALG00000013272,PRMT1
1,75000001,75040000,14,0.978433,4.2143414037965066e-5,ENSGALG00000014347,PARP11
1,75020001,75060000,33,0.944242,5.057209684556918e-4,"ENSGALG00000014347,ENSGALG00000063280,ENSGALT00000136800,ENSGALG00000061948","PARP11, , , "
1,75180001,75220000,80,0.96197,2.3178877720886337e-4,"ENSGALG00000061948,ENSGALG00000063064,ENSGALG00000014342"," , ,TEAD4"
1,75200001,75240000,102,0.967383,1.6857365615186026e-4,"ENSGALG00000063064,ENSGALG00000014342"," ,TEAD4"
1,75220001,75260000,83,0.965949,1.896453631708983e-4,"ENSGALG00000063064,ENSGALG00000014342"," ,TEAD4"
1,75240001,75280000,88,0.961878,2.528604842277904e-4,ENSGALG00000014342,TEAD4
1,75260001,75300000,68,0.950564,4.425058473986887e-4,"ENSGALG00000014342,ENSGALG00000013424","TEAD4, "
1,75280001,75320000,58,0.95221,4.214341403797617e-4,"ENSGALG00000014342,ENSGALG00000013424","TEAD4, "
2,25900001,25940000,203,0.928426,7.375097456644442e-4, , 
2,50680001,50720000,110,0.934292,6.53222917588514e-4,ENSGALG00000040266,GLI3
2,55120001,55160000,375,0.934558,6.32151210569587e-4,ENSGALG00000039139,TNS3
2,58300001,58340000,321,0.926926,8.007248667214473e-4,"ENSGALG00000063716,ENSGALT00000121415,ENSGALT00000146612,ENSGALT00000129379,ENSGALT00000105984,ENSGALT00000153726"," , , , , , "
2,58460001,58500000,191,0.924182,9.271551088353425e-4,"ENSGALG00000063868,ENSGALT00000146711,ENSGALT00000153078,ENSGALG00000059370,ENSGALT00000112661,ENSGALG00000047798,ENSGALT00000137400,ENSGALT00000143839"," , , , , , , , "
2,58520001,58560000,228,0.939879,5.478643824936569e-4,"ENSGALG00000059370,ENSGALT00000112661,ENSGALG00000060044,ENSGALT00000148682,ENSGALG00000061399,ENSGALT00000133406,ENSGALT00000125347,ENSGALT00000144100,ENSGALT00000130846,ENSGALT00000151418,ENSGALG00000065199,ENSGALT00000131969"," , , , , , , , , , , , "
2,111420001,111460000,256,0.939544,5.689360895125839e-4,"ENSGALG00000052587,ENSGALT00000107347,ENSGALT00000106805"," , , "
3,29420001,29460000,279,0.955891,3.160756052847935e-4,"ENSGALG00000056979,ENSGALG00000010078"," ,GLP1R"
3,29440001,29480000,287,0.98254,2.1071707019038044e-5,ENSGALG00000010078,GLP1R
3,29460001,29500000,200,0.936837,6.11079503550549e-4,ENSGALG00000010078,GLP1R
3,29480001,29520000,191,0.932297,6.742946246075521e-4,"ENSGALG00000010078,ENSGALG00000010116","GLP1R,DNAH8"
3,29500001,29540000,297,0.954088,3.792907263416856e-4,ENSGALG00000010116,DNAH8
4,36480001,36520000,194,0.926784,8.217965737404853e-4,ENSGALG00000010397, 
4,36500001,36540000,184,0.959741,2.9500389826575546e-4,ENSGALG00000010397, 
4,71500001,71540000,178,0.925248,8.850116947973774e-4,"ENSGALG00000058058,ENSGALT00000111133,ENSGALT00000128901"," , , "
5,10720001,10760000,382,0.943171,5.267926754746188e-4,ENSGALG00000006035,PDE3B
7,9260001,9300000,124,0.959971,2.7393219124682844e-4,"ENSGALG00000065430,ENSGALT00000129421,ENSGALT00000111058,ENSGALT00000123370,ENSGALT00000154590,ENSGALT00000134279"," , , , , , "
9,24000001,24040000,155,0.947973,4.6357755441772674e-4,"ENSGALG00000010427,ENSGALG00000038747"," ,TM4SF1"
9,24020001,24060000,147,0.945674,4.8464926143665377e-4,"ENSGALG00000038747,ENSGALG00000040089,ENSGALG00000030773","TM4SF1, , "
24,6180001,6220000,323,0.955189,3.371473123037205e-4,"ENSGALG00000007882,ENSGALG00000047403,ENSGALG00000007904,ENSGALG00000007929"," , , ,DIXDC1"
26,40001,80000,24,0.926716,8.428682807594123e-4,"ENSGALG00000032190,ENSGALG00000033245,ENSGALG00000043513,ENSGALG00000031301,ENSGALG00000042148","MICAL1, ,TEAD3,TULP1,FKBP5"
26,60001,100000,47,0.954266,3.5821901932275857e-4,"ENSGALG00000043513,ENSGALG00000031301,ENSGALG00000042148","TEAD3,TULP1,FKBP5"
26,80001,120000,44,0.964467,2.1071707018982533e-4,"ENSGALG00000042148,ENSGALG00000062332,ENSGALG00000039170,ENSGALG00000037546","FKBP5,CLPS,LHFPL5,SRPK1"
26,100001,140000,41,0.967762,1.4750194913293324e-4,"ENSGALG00000062332,ENSGALG00000039170,ENSGALG00000037546,ENSGALG00000040498","CLPS,LHFPL5,SRPK1, "
26,120001,160000,81,0.975611,8.428682807593013e-5,"ENSGALG00000037546,ENSGALG00000040498,ENSGALG00000042833","SRPK1, , "
26,140001,180000,100,0.976707,6.321512105700311e-5,"ENSGALG00000040498,ENSGALG00000042833,ENSGALG00000030966"," , ,MAPK13"
26,160001,200000,104,0.974787,1.0535853509496818e-4,"ENSGALG00000042833,ENSGALG00000030966,ENSGALG00000057645,ENSGALT00000126075,ENSGALG00000000776"," ,MAPK13, , ,BRPF3"
26,180001,220000,76,0.972834,1.264302421138952e-4,"ENSGALG00000030966,ENSGALG00000057645,ENSGALT00000126075,ENSGALG00000000776,ENSGALG00000039130","MAPK13, , ,BRPF3,TBC1D22B"
26,200001,240000,64,0.952511,4.0036243336072364e-4,"ENSGALG00000000776,ENSGALG00000039130,ENSGALG00000038902","BRPF3,TBC1D22B, "
