CHROM,START,END,GENEID,GENE,N_VARIANTS,MEAN
1,52060000,52120000,"ENSGALG00000057429,ENSGALT00000120456,ENSGALG00000012546,ENSGALG00000012550,ENSGALG00000068410,ENSGALT00000152420,ENSGALG00000012552,ENSGALT00000115116,ENSGALT00000139780,ENSGALG00000067101,ENSGALT00000121471",", ,MCM5,HMOX1,TOM1",1407,2.1182873777027367
1,53780000,53840000,"ENSGALG00000012639,ENSGALG00000012647,ENSGALG00000012655",", ,POLR3B",1287,2.160905433656869
1,53900000,53960000,"ENSGALG00000061618,ENSGALG00000012662",",",1259,2.1598202272278026
1,56980000,57060000,"ENSGALG00000012865,ENSGALG00000028879,ENSGALG00000064651,ENSGALT00000129227,ENSGALG00000057570,ENSGALT00000110385,ENSGALG00000067876,ENSGALT00000114407,ENSGALG00000028444","BRAF,MRPS33, ,TMEM178B,",1985,2.1441451864789367
1,192260000,192400000,",ENSGALG00000065917,ENSGALT00000130798,ENSGALG00000039029,ENSGALG00000066107,ENSGALT00000116568",",, ",2221,2.38284653498588
1,193460000,193660000,ENSGALG00000033966,TENM4,4490,2.2250540533673524
13,3560000,3620000,"ENSGALG00000002262,ENSGALG00000063958,ENSGALT00000111745,ENSGALT00000118150,ENSGALG00000062899,ENSGALT00000117366,ENSGALG00000002229","ETF1, ,FBXW11",1068,2.259982545864875
2,18620000,18740000,ENSGALG00000007956,,1426,2.3849147403942026
2,89860000,89900000,"ENSGALG00000054792,ENSGALT00000098228,ENSGALT00000149449,ENSGALT00000103777,ENSGALG00000013598",", ",906,2.1723786589156
3,24160000,24220000,"ENSGALG00000009925,ENSGALG00000009926","MTA3,HAAO",862,2.387718184424327
3,93940000,93980000,"ENSGALG00000061668,ENSGALT00000138277,ENSGALT00000146679,ENSGALT00000144532,ENSGALT00000152438",", ",530,2.1324807297676216
4,540000,620000,"ENSGALG00000032419,ENSGALG00000033969,ENSGALT00000075693,ENSGALG00000029652,ENSGALG00000057162,ENSGALG00000029764",", ,YIPF6",1517,2.2979739688539116
4,720000,780000,,,740,2.1908431057951017
8,10140000,10340000,"ENSGALG00000058148,ENSGALT00000137549,ENSGALG00000060313,ENSGALT00000143587,ENSGALT00000142290,ENSGALT00000110436,ENSGALG00000066656,ENSGALT00000147120,ENSGALT00000153910,ENSGALG00000053452,ENSGALT00000099621,ENSGALT00000140557",", ",2639,2.2666479303572533
