CHROM,SWEEP_START,SWEEP_END,GENEID,GENE,QTL
1,35000000,35040000,ENSGALG00000009901,DYRK2,
1,35100000,35140000,"ENSGALG00000058494,ENSGALT00000142311,ENSGALG00000065134,ENSGALT00000119830,ENSGALG00000055219,ENSGALT00000148218",", ",
1,50460000,50500000,ENSGALG00000035051,,
1,171000000,171040000,"ENSGALG00000064141,ENSGALT00000134185,ENSGALT00000152059,ENSGALT00000141024,ENSGALT00000128965,ENSGALT00000143618,ENSGALG00000065926,ENSGALT00000127165",", ","Body weight QTL (296556),Average daily gain QTL (296564),Carcass weight QTL (296568),Breast weight QTL (296573),Drumstick weight QTL (296579),Thigh weight QTL (296582),Wing weight QTL (296585),Head weight QTL (296592),Neck weight QTL (296596),Shank weight QTL (296600),Gizzard weight QTL (296602),Heart weight QTL (296607),Neck weight QTL (296629),Shank weight QTL (296633),Gizzard weight QTL (296635),Heart weight QTL (296639),Body weight QTL (296557),Average daily gain QTL (296565),Carcass weight QTL (296569),Breast weight QTL (296574),Thigh weight QTL (296583),Wing weight QTL (296586),Back weight QTL (296589),Body weight QTL (260094),Body weight QTL (259958),Body weight QTL (260095),Body weight QTL (260338),Body weight QTL (260508),Body weight QTL (260751),Body weight QTL (261145),Body weight QTL (259959),Body weight QTL (260096),Body weight QTL (260339),Body weight QTL (260509),Body weight QTL (260752),Body weight QTL (261146),Comb weight QTL (108425),Oviduct length QTL (150952),Feather density QTL (194030),Feather density QTL (194031),Feather density QTL (193982),Body weight QTL (260753),Body weight QTL (261147),Egg weight QTL (63799),Feed intake QTL (64839),Oviduct weight QTL (150905),Feather density QTL (193927),Comb length QTL (107864),Comb length QTL (107865),Body weight QTL (308373),Body weight QTL (308374),Body weight QTL (308375),Body weight QTL (308376),Feather density QTL (193931),Ovary weight QTL (62020),Egg weight QTL (63800),Comb weight QTL (108419),Feather density QTL (194010)"
10,13120000,13160000,"ENSGALG00000051153,ENSGALT00000136477,ENSGALT00000098538,ENSGALT00000150380,ENSGALG00000057210,ENSGALT00000121830,ENSGALG00000060764,ENSGALT00000122687,ENSGALT00000132880,ENSGALT00000119357,ENSGALT00000124954",", ",
11,18200000,18240000,ENSGALG00000047024,,
11,19440000,19500000,"ENSGALG00000000713,ENSGALG00000025383,ENSGALT00000042296","ZFHX3, ,",
11,19520000,19560000,ENSGALG00000000713,ZFHX3,
17,9760000,9800000,"ENSGALG00000001073,ENSGALG00000018275,ENSGALT00000028982,ENSGALG00000018274,ENSGALT00000028981","NR6A1, ,",Small yellow follicle number QTL (151237)
17,10040000,10100000,ENSGALG00000000972,PBX3,Feather pigmentation QTL (179173)
2,27700000,27760000,"ENSGALG00000033561,ENSGALG00000055736,ENSGALT00000135719,ENSGALG00000053853,ENSGALT00000142887,ENSGALT00000111232,ENSGALT00000097161,ENSGALT00000094428","DGKB, ,","Age at first egg QTL (258390),Egg number QTL (258391),Shank diameter QTL (263108),Saturated fatty acid content QTL (285139),Thymus weight QTL (101189)"
2,28480000,28520000,ENSGALG00000010809,BZW2,"Age at first egg QTL (258390),Egg number QTL (258391)"
2,122980000,123020000,ENSGALG00000041795,WWP1,
26,3080000,3120000,"ENSGALG00000065634,ENSGALT00000113238,ENSGALG00000057121,ENSGALT00000152103,ENSGALG00000001319,ENSGALG00000001343",", ",
3,63960000,64000000,"ENSGALG00000014964,ENSGALG00000014965","NT5DC1,COL10A1",
3,65760000,65840000,"ENSGALG00000015001,ENSGALG00000068494,ENSGALG00000015017,ENSGALG00000053279","LAMA4, ,",
3,86980000,87020000,ENSGALG00000016289,,
3,87140000,87180000,"ENSGALG00000064650,ENSGALT00000133305,ENSGALG00000056708,ENSGALT00000145171,ENSGALT00000111971,ENSGALG00000058111,ENSGALT00000127866,ENSGALT00000143423",", ",
3,87260000,87340000,"ENSGALG00000016292,ENSGALG00000055088,ENSGALT00000135858,ENSGALT00000106453,ENSGALT00000151918,ENSGALT00000114415","COL21A1, ,",
4,54780000,54880000,"ENSGALG00000011994,ENSGALG00000011991","SYNPO2,MYOZ2",
4,55020000,55060000,"ENSGALG00000012000,ENSGALG00000012004,ENSGALG00000017858,ENSGALT00000028565","METTL14, ,",
4,55120000,55180000,ENSGALG00000012010,,
8,25820000,25900000,"ENSGALG00000063180,ENSGALT00000120308,ENSGALT00000136391,ENSGALT00000113250,ENSGALG00000059585,ENSGALT00000132450",", ",
8,28260000,28340000,ENSGALG00000011019,ROR1,
9,13680000,13720000,"ENSGALG00000061795,ENSGALT00000143628,ENSGALT00000148514",", ",
9,13800000,13880000,"ENSGALG00000020813,ENSGALG00000007222,ENSGALG00000007226,ENSGALG00000049168,ENSGALT00000092485,ENSGALT00000105042,ENSGALT00000091730,ENSGALT00000117796","CCDC50,UTS2B,OSTN,, ",Feed conversion ratio QTL (139756)
