CHROM,BIN_START,BIN_END,N_VARIANTS,MEAN,EMPIRICAL_PVALUE,GENEID,GENE
1,32600001,32640000,424,0.75267,3.7911497714782083e-4,"ENSGALG00000065597,ENSGALT00000114268"," , "
1,32620001,32660000,390,0.732713,6.107963520713966e-4, , 
1,41180001,41220000,474,0.744091,5.054866361970944e-4,"ENSGALG00000060795,ENSGALT00000132309,ENSGALT00000150555,ENSGALT00000140466,ENSGALG00000056088,ENSGALT00000153208"," , , , , , "
1,55200001,55240000,371,0.758511,3.159291476231285e-4,"ENSGALG00000061125,ENSGALT00000132100"," , "
1,55220001,55260000,377,0.80262,6.31858295245813e-5,"ENSGALG00000061125,ENSGALT00000132100"," , "
1,55240001,55280000,325,0.733226,5.897344088965362e-4, , 
1,55300001,55340000,280,0.750485,4.0017692032268126e-4,ENSGALG00000012755,IGF1
1,55320001,55360000,432,0.782898,1.0530971587441318e-4,ENSGALG00000012755,IGF1
1,55340001,55380000,554,0.767119,2.316813749236868e-4,"ENSGALG00000012757,ENSGALG00000012756","PMCH, "
1,149660001,149700000,242,0.749947,4.423008066724021e-4,"ENSGALG00000061489,ENSGALT00000141614,ENSGALG00000059808,ENSGALT00000123552,ENSGALT00000152273,ENSGALT00000123716"," , , , , , "
1,152560001,152600000,314,0.773801,1.6849554539899447e-4, , 
2,70580001,70620000,409,0.775179,1.4743360222413404e-4,"ENSGALG00000056303,ENSGALT00000144227,ENSGALG00000062203,ENSGALT00000146126,ENSGALG00000060377,ENSGALT00000148841,ENSGALT00000129572"," , , , , , , "
2,70600001,70640000,414,0.72192,8.424777269950834e-4,"ENSGALG00000056303,ENSGALT00000144227,ENSGALG00000062203,ENSGALT00000146126,ENSGALG00000060377,ENSGALT00000148841,ENSGALT00000129572,ENSGALG00000025664,ENSGALT00000042577"," , , , , , , ,U6,U6-201"
2,86480001,86520000,200,0.810032,4.212388634972086e-5,"ENSGALG00000060916,ENSGALT00000126630,ENSGALT00000140617,ENSGALT00000140872,ENSGALT00000116592,ENSGALT00000124712,ENSGALG00000064913,ENSGALT00000114688,ENSGALT00000125705,ENSGALT00000124061"," , , , , , , , , , "
2,86500001,86540000,204,0.835528,2.106194317486043e-5,"ENSGALG00000060916,ENSGALT00000126630,ENSGALT00000140617,ENSGALT00000140872,ENSGALT00000116592,ENSGALT00000124712,ENSGALG00000064913,ENSGALT00000114688,ENSGALT00000125705,ENSGALT00000124061,ENSGALT00000129690"," , , , , , , , , , , "
2,118760001,118800000,273,0.716678,9.68849386044357e-4,"ENSGALG00000062176,ENSGALT00000125285,ENSGALG00000055367,ENSGALT00000146540"," , , , "
2,118780001,118820000,297,0.719297,9.056635565197757e-4,"ENSGALG00000062176,ENSGALT00000125285,ENSGALG00000055367,ENSGALT00000146540,ENSGALG00000066225,ENSGALT00000143732"," , , , , , "
3,100001,140000,499,0.727485,6.950441247709493e-4,"ENSGALG00000043587,ENSGALG00000057669","CCDC88A, "
3,37380001,37420000,330,0.760566,2.948672044482681e-4,ENSGALG00000010812,RYR2
3,37400001,37440000,335,0.757986,3.3699109079798895e-4,ENSGALG00000010812,RYR2
3,37420001,37460000,269,0.72518,8.003538406453625e-4,ENSGALG00000010812,RYR2
3,98020001,98060000,583,0.764182,2.527433180985472e-4, , 
3,98040001,98080000,531,0.76186,2.7380526127340765e-4, , 
3,98240001,98280000,336,0.78232,1.263716590492736e-4, , 
3,98260001,98300000,416,0.736798,5.476105225468153e-4, , 
4,61440001,61480000,248,0.72115,8.635396701699438e-4,"ENSGALG00000037329,ENSGALT00000061044,ENSGALG00000064336,ENSGALT00000123703,ENSGALT00000138960,ENSGALT00000145744,ENSGALT00000140213,ENSGALG00000063942,ENSGALT00000143777"," , , , , , , , , "
4,61540001,61580000,448,0.719545,8.846016133448042e-4,"ENSGALG00000064336,ENSGALT00000123703,ENSGALT00000138960,ENSGALT00000145744,ENSGALT00000140213,ENSGALG00000055865,ENSGALT00000108855,ENSGALG00000059436,ENSGALT00000148915"," , , , , , , , , "
4,61840001,61880000,351,0.730495,6.529202384212285e-4, , 
4,61860001,61900000,435,0.76721,2.1061943174882636e-4, , 
4,61880001,61920000,557,0.718381,9.267254996946361e-4, , 
4,61900001,61940000,528,0.722985,8.21415783820223e-4, , 
4,71300001,71340000,346,0.730008,6.739821815960889e-4,"ENSGALG00000063781,ENSGALT00000153113,ENSGALT00000153452"," , , "
4,71320001,71360000,371,0.726722,7.371680111206702e-4,"ENSGALG00000063781,ENSGALT00000153113,ENSGALT00000153452,ENSGALT00000144060,ENSGALT00000127000"," , , , , "
5,4320001,4360000,213,0.746673,4.6336274984726256e-4,ENSGALG00000056070, 
5,32880001,32920000,330,0.771492,1.895574885738549e-4, , 
5,32900001,32940000,318,0.74536500000000006,4.84424693022123e-4,"ENSGALG00000017933,ENSGALT00000028640","U1,U1-201"
5,48920001,48960000,368,0.750478,4.212388634975417e-4,ENSGALG00000011236, 
5,49280001,49320000,327,0.71727,9.477874428694966e-4,"ENSGALG00000056429,ENSGALT00000113783,ENSGALT00000137708,ENSGALT00000151085,ENSGALT00000111693"," , , , , "
5,49300001,49340000,263,0.739993,5.265485793719549e-4,"ENSGALG00000056429,ENSGALT00000113783,ENSGALT00000137708,ENSGALT00000151085,ENSGALT00000111693"," , , , , "
5,49320001,49360000,253,0.735819,5.686724657216757e-4,"ENSGALG00000056429,ENSGALT00000113783,ENSGALT00000137708,ENSGALT00000151085,ENSGALT00000111693"," , , , , "
7,19000001,19040000,381,0.784405,8.424777269955275e-5,ENSGALG00000010902,CERS6
7,19020001,19060000,363,0.726627,7.582299542955306e-4,ENSGALG00000010902,CERS6
8,12260001,12300000,232,0.727362,7.161060679458098e-4,"ENSGALG00000005257,ENSGALG00000005277","VCAM1,RTCA"
8,12280001,12320000,208,0.72543,7.792918974705021e-4,"ENSGALG00000005257,ENSGALG00000005277,ENSGALG00000005280","VCAM1,RTCA,DBT"
13,7160001,7200000,577,0.716515,9.899113292192174e-4,"ENSGALG00000048734,ENSGALT00000134278,ENSGALT00000111469"," , , "
15,3280001,3320000,238,0.731925,6.31858295246368e-4, , 
