CHROM,SWEEP_START,SWEEP_END,GENEID,GENE,QTL
1,4340000,4380000,"ENSGALG00000062527,ENSGALT00000123433,ENSGALT00000110478,ENSGALT00000125661,ENSGALT00000146567",", ",
1,4500000,4540000,"ENSGALG00000062447,ENSGALT00000154227,ENSGALG00000009279",", ",
1,4560000,4640000,"ENSGALG00000056583,ENSGALG00000067033,ENSGALT00000114214",",, ",
1,4720000,4760000,ENSGALG00000006891,,
1,4780000,4840000,"ENSGALG00000006833,ENSGALG00000030702,ENSGALG00000006753,ENSGALG00000006731","ITIH2, ,ATP5C1,TAF3",
1,4860000,4920000,ENSGALG00000006731,TAF3,
1,9260000,9300000,ENSGALG00000006560,SEMA3A,
1,55400000,55460000,"ENSGALG00000012756,ENSGALG00000012759,ENSGALG00000012760",",NUP37,CCDC53",
1,76460000,76500000,,,
1,76520000,76580000,"ENSGALG00000050907,ENSGALG00000039529,ENSGALT00000064042",",, ",
2,24460000,24660000,"ENSGALG00000027620,ENSGALG00000063629,ENSGALT00000137672,ENSGALG00000063660,ENSGALT00000150195,ENSGALG00000009737,",", ,TAC1,","Age at first egg QTL (258390),Egg number QTL (258391),Eggshell color QTL (24925)"
2,24900000,24940000,ENSGALG00000035239,GLCCI1,"Age at first egg QTL (258390),Egg number QTL (258391)"
2,25800000,25840000,"ENSGALG00000058373,ENSGALT00000141767",,"Age at first egg QTL (258390),Egg number QTL (258391)"
2,55180000,55220000,ENSGALG00000039139,TNS3,Movement latency during open field test QTL (220103)
3,109360000,109400000,ENSGALG00000040276,RUNX2,
4,8520000,8580000,"ENSGALG00000006886,ENSGALG00000068444,ENSGALT00000116111,ENSGALG00000006906","DACH2, ,CHM",
5,32560000,32600000,,,
5,32720000,32760000,,,
5,32800000,32860000,,,
5,46660000,46720000,"ENSGALG00000011093,ENSGALG00000033099,ENSGALG00000061434,ENSGALT00000123894",",PAPOLB, ",
7,6640000,6700000,"ENSGALG00000038311,ENSGALG00000030511,ENSGALG00000004394,ENSGALG00000059414,ENSGALT00000129593","COL18A1,SLC19A1,PCBP3,, ","Feed conversion ratio QTL (139475),Feed conversion ratio QTL (139621)"
7,9560000,9600000,ENSGALG00000007777,SLC39A10,Receiving feather pecking QTL (137371)
7,9680000,9740000,"ENSGALG00000007841,ENSGALG00000037678","DNAH7,","Muscle fiber density QTL (311995),Receiving feather pecking QTL (137372)"
7,9880000,9940000,ENSGALG00000007944,HECW2,
8,28460000,28560000,"ENSGALG00000033759,ENSGALG00000011031,ENSGALG00000011024,ENSGALG00000064020,ENSGALT00000120839","RAVER2,JAK1,CACHD1, ",
8,28600000,28640000,"ENSGALG00000011031,ENSGALG00000024502,ENSGALT00000041415,ENSGALG00000049708,ENSGALT00000104855,ENSGALG00000011035,ENSGALG00000050771,ENSGALT00000104588,ENSGALG00000011041","JAK1, ,MIR12281,MIR12281-201,AK4,MIR12282,MIR12282-201,DNAJC6",
