CHROM,SWEEP_START,SWEEP_END,GENEID,GENE,QTL
1,24240001,24300000,"ENSGALG00000059880,ENSGALT00000151030,ENSGALT00000151789",", ",
1,32600001,32660000,"ENSGALG00000065597,ENSGALT00000114268,",",",Feather pecking QTL (219002)
1,75680001,75720000,ENSGALG00000040184,RIMKLB,
1,94760001,94840000,ENSGALG00000043393,CADM2,
1,95760001,95800000,,,
1,95820001,95900000,,,
1,97040001,97080000,"ENSGALG00000048469,ENSGALT00000135311,ENSGALT00000129585,ENSGALG00000062682,ENSGALT00000126209,ENSGALT00000133345",", ",
1,118580001,118640000,"ENSGALG00000059861,ENSGALT00000132031,ENSGALT00000119337,ENSGALT00000114331,ENSGALT00000154737,ENSGALG00000063004,ENSGALT00000123818,ENSGALG00000049170,ENSGALT00000100141,ENSGALG00000060889,ENSGALT00000096792,ENSGALT00000109350,ENSGALG00000061966,ENSGALT00000118772",", ,U1,U1-201",
14,14000001,14100000,"ENSGALG00000037837,ENSGALG00000059257,ENSGALT00000137640,ENSGALG00000058096,ENSGALT00000148658,ENSGALG00000009346,ENSGALG00000009341,ENSGALG00000062328,ENSGALT00000138449,ENSGALG00000009318",", ,IFT140","Liver weight QTL (256640),Pelvis breadth QTL (311803)"
2,50540001,50620000,"ENSGALG00000061023,ENSGALT00000117391,ENSGALG00000066226,ENSGALT00000135566,ENSGALT00000110944,ENSGALG00000034616,ENSGALG00000059423,ENSGALT00000143874",", ,INHBA",Movement latency during open field test QTL (220103)
2,50640001,50720000,"ENSGALG00000063940,ENSGALT00000148201,ENSGALG00000050534,ENSGALT00000093257,ENSGALG00000040266",", ,GLI3",Movement latency during open field test QTL (220103)
2,81660001,81700000,"ENSGALG00000058429,ENSGALT00000152181,ENSGALG00000060913,ENSGALT00000136447",", ","Movement latency during open field test QTL (220103),Muscle pH QTL (24465),Muscle pH QTL (24466)"
2,86560001,86600000,"ENSGALG00000064913,ENSGALT00000124061,ENSGALG00000056662,ENSGALT00000129239,ENSGALT00000150094,ENSGALT00000119596,ENSGALG00000063013,ENSGALT00000130331,ENSGALT00000151852",", ",Movement latency during open field test QTL (220103)
2,143320001,143420000,,,
4,32960001,33000000,ENSGALG00000010061,,
5,35800001,35840000,ENSGALG00000029022,,
5,35980001,36060000,"ENSGALG00000048439,ENSGALT00000138572,ENSGALT00000121828,ENSGALT00000105267",", ",
5,36840001,36920000,"ENSGALG00000037632,ENSGALG00000010114,ENSGALG00000028483","NKX2-1,PAX9,",
6,10840001,10880000,ENSGALG00000003805,PRKG1,
6,11260001,11320000,"ENSGALG00000003935,ENSGALG00000003947,ENSGALG00000039161,ENSGALG00000004037","PBLD,HNRNPH3,RUFY2,DNA2",
6,16420001,16500000,ENSGALG00000005088,CAMK2G,
8,14940001,15000000,"ENSGALG00000006091,ENSGALG00000067881,ENSGALT00000140795,ENSGALG00000057184,ENSGALT00000126319","HFM1, ,",
