CHROM,BIN_START,BIN_END,N_VARIANTS,MEAN,EMPIRICAL_PVALUE,GENEID,GENE
1,14020001,14060000,357,0.856038,5.689001264223004e-4,ENSGALG00000008154,SRPK2
1,151240001,151280000,195,0.843769,9.692372524230386e-4,"ENSGALG00000051217,ENSGALT00000139512"," , "
1,151260001,151300000,185,0.848103,8.217446270543105e-4,"ENSGALG00000051217,ENSGALT00000139512"," , "
1,151520001,151560000,64,0.886084,2.1070375052678614e-4, , 
2,24500001,24540000,401,0.846218,9.060261272650916e-4,"ENSGALG00000027620,ENSGALG00000063629,ENSGALT00000137672,ENSGALG00000063660,ENSGALT00000150195"," , , , , "
2,24860001,24900000,449,0.855802,5.899705014749124e-4,"ENSGALG00000023189,ENSGALG00000058035,ENSGALT00000141480,ENSGALT00000119546,ENSGALG00000065606,ENSGALT00000112324,ENSGALG00000035239","UMAD1, , , , , ,GLCCI1"
2,24880001,24920000,428,0.860938,4.846186262115193e-4,"ENSGALG00000058035,ENSGALT00000141480,ENSGALT00000119546,ENSGALG00000065606,ENSGALT00000112324,ENSGALG00000035239"," , , , , ,GLCCI1"
2,24900001,24940000,378,0.859017,5.056890012642423e-4,ENSGALG00000035239,GLCCI1
2,24920001,24960000,401,0.866164,3.7926675094812623e-4,"ENSGALG00000035239,ENSGALG00000010708","GLCCI1, "
2,24940001,24980000,505,0.844413,9.481668773704266e-4,"ENSGALG00000035239,ENSGALG00000010708","GLCCI1, "
2,24980001,25020000,432,0.856371,5.478297513695773e-4,ENSGALG00000010708, 
2,25000001,25040000,376,0.843626,9.903076274757616e-4,ENSGALG00000010708, 
2,25280001,25320000,164,0.852258,7.374631268436405e-4,"ENSGALG00000065800,ENSGALT00000113533"," , "
2,25300001,25340000,152,0.889817,1.474926253687281e-4,"ENSGALG00000065800,ENSGALT00000113533"," , "
2,25320001,25360000,172,0.898367,1.0535187526339307e-4,"ENSGALG00000065800,ENSGALT00000113533,ENSGALG00000068344,ENSGALT00000136008,ENSGALT00000147500,ENSGALT00000123994,ENSGALT00000125406,ENSGALT00000155282,ENSGALG00000066272,ENSGALT00000111468"," , , , , , , , , , "
2,25740001,25780000,207,0.853683,6.321112515802474e-4,"ENSGALG00000060004,ENSGALT00000149327"," , "
2,25760001,25800000,215,0.868624,3.371260008427912e-4, , 
2,25820001,25860000,149,0.844963,9.270965023177036e-4,"ENSGALG00000058373,ENSGALT00000141767,ENSGALT00000110065"," , , "
2,25840001,25880000,109,0.878312,2.5284450063212116e-4,"ENSGALG00000058373,ENSGALT00000141767,ENSGALT00000110065"," , , "
2,25860001,25900000,157,0.847451,8.428150021070335e-4,"ENSGALG00000058373,ENSGALT00000110065"," , "
2,25900001,25940000,144,0.90539,8.428150021067005e-5, , 
2,25920001,25960000,199,0.89566,1.2642225031600507e-4, , 
2,25940001,25980000,219,0.852175,7.585335018963635e-4,"ENSGALG00000057843,ENSGALT00000135287"," , "
3,1520001,1560000,180,0.872576,2.949852507374562e-4,"ENSGALG00000060299,ENSGALT00000119548"," , "
3,1540001,1580000,259,0.864532,4.214075010535723e-4,"ENSGALG00000060299,ENSGALT00000119548,ENSGALT00000119385,ENSGALG00000064943,ENSGALT00000148974,ENSGALT00000135809,ENSGALT00000139219"," , , , , , , "
4,8820001,8860000,537,0.846835,8.638853771597566e-4,ENSGALG00000067942, 
4,27820001,27860000,231,0.846416,8.849557522123686e-4,"ENSGALG00000058802,ENSGALT00000114848,ENSGALT00000127755,ENSGALG00000051876,ENSGALT00000097335"," , , , , "
4,27840001,27880000,208,0.868364,3.5819637589551423e-4,"ENSGALG00000058802,ENSGALT00000114848,ENSGALT00000127755,ENSGALG00000051876,ENSGALT00000097335,ENSGALT00000099299,ENSGALT00000137064"," , , , , , , "
4,27860001,27900000,163,0.873314,2.7391487568473316e-4,"ENSGALG00000051876,ENSGALT00000097335,ENSGALT00000099299,ENSGALT00000137064,ENSGALG00000066049,ENSGALT00000129163"," , , , , , "
4,27880001,27920000,151,0.853093,7.163927517910285e-4,"ENSGALG00000066049,ENSGALT00000129163"," , "
4,27980001,28020000,259,0.856563,5.267593763168543e-4,"ENSGALG00000060716,ENSGALT00000154238,ENSGALG00000061432,ENSGALT00000140943"," , , , "
4,36480001,36520000,214,0.90855,6.321112515805805e-5,ENSGALG00000010397, 
4,42020001,42060000,89,0.848193,8.006742520016985e-4,"ENSGALG00000047221,ENSGALT00000106383,ENSGALT00000120104,ENSGALT00000147408,ENSGALT00000131018"," , , , , "
4,61860001,61900000,332,0.864227,4.424778761061843e-4, , 
8,780001,820000,68,0.863039,4.635482511589073e-4,"ENSGALG00000050234,ENSGALT00000112319"," , "
8,800001,840000,116,0.879112,2.3177412557939814e-4,"ENSGALG00000050234,ENSGALT00000112319"," , "
8,820001,860000,225,0.864836,4.0033712600084925e-4,"ENSGALG00000050234,ENSGALT00000112319"," , "
8,840001,880000,278,0.853707,6.110408765276354e-4, , 
8,860001,900000,220,0.853428,6.742520016855824e-4, , 
8,880001,920000,269,0.850535,7.796038769489755e-4, , 
8,900001,940000,323,0.853517,6.531816266329704e-4, , 
8,920001,960000,220,0.853301,6.953223767383054e-4, , 
8,940001,980000,139,0.888788,0.00018963337547406312, , 
8,960001,1000000,251,0.943079,2.1070375052723023e-5, , 
8,980001,1020000,351,0.910404,4.214075010533502e-5, , 
13,18140001,18180000,247,0.889426,1.6856300042145111e-4,"ENSGALG00000032992,ENSGALG00000055592,ENSGALT00000148295,ENSGALG00000028586,ENSGALT00000045044,ENSGALG00000062246,ENSGALT00000138084","NR3C1, , , , , , "
13,18160001,18200000,238,0.869887,3.160556257901792e-4,"ENSGALG00000055592,ENSGALT00000148295,ENSGALG00000028586,ENSGALT00000045044,ENSGALG00000062246,ENSGALT00000138084"," , , , , , "
