CHROM,BIN_START,BIN_END,N_VARIANTS,MEAN,EMPIRICAL_PVALUE,GENEID,GENE
1,24240001,24280000,458,0.656894,4.630214252641096e-4,"ENSGALG00000059880,ENSGALT00000151030,ENSGALT00000151789"," , , "
1,24260001,24300000,581,0.631785,8.418571368439265e-4,"ENSGALG00000059880,ENSGALT00000151030,ENSGALT00000151789"," , , "
1,32600001,32640000,443,0.63678,7.155785663173209e-4,"ENSGALG00000065597,ENSGALT00000114268"," , "
1,32620001,32660000,404,0.638341,6.73485709475119e-4, , 
1,75680001,75720000,274,0.632677,7.787178515805682e-4,ENSGALG00000040184,RIMKLB
1,94760001,94800000,304,0.66722,3.5778928315866043e-4,ENSGALG00000043393,CADM2
1,94780001,94820000,398,0.760272,4.2092856842201876e-5,ENSGALG00000043393,CADM2
1,94800001,94840000,441,0.686621,2.315107126320548e-4,ENSGALG00000043393,CADM2
1,95760001,95800000,205,0.657309,4.419749968430642e-4, , 
1,95820001,95860000,298,0.625434,9.891821357915775e-4, , 
1,95840001,95880000,273,0.656448,4.8406785368526606e-4, , 
1,95860001,95900000,298,0.630454,8.839499936860173e-4, , 
1,97040001,97080000,437,0.723715,1.2627857052660563e-4,"ENSGALG00000048469,ENSGALT00000135311,ENSGALT00000129585,ENSGALG00000062682,ENSGALT00000126209,ENSGALT00000133345"," , , , , , "
1,118580001,118620000,488,0.653336,5.472071389485134e-4,"ENSGALG00000059861,ENSGALT00000132031,ENSGALT00000119337,ENSGALT00000114331,ENSGALT00000154737,ENSGALG00000063004,ENSGALT00000123818,ENSGALG00000049170,ENSGALT00000100141,ENSGALG00000060889,ENSGALT00000096792"," , , , , , , , , , , "
1,118600001,118640000,384,0.729058,1.0523214210544918e-4,"ENSGALG00000059861,ENSGALT00000132031,ENSGALT00000119337,ENSGALT00000154737,ENSGALT00000109350,ENSGALG00000063004,ENSGALT00000123818,ENSGALG00000049170,ENSGALT00000100141,ENSGALG00000060889,ENSGALT00000096792,ENSGALG00000061966,ENSGALT00000118772"," , , , , , , , , , , ,U1,U1-201"
2,50540001,50580000,170,0.639097,6.524392810539625e-4,"ENSGALG00000061023,ENSGALT00000117391,ENSGALG00000066226,ENSGALT00000135566,ENSGALT00000110944,ENSGALG00000034616"," , , , , ,INHBA"
2,50560001,50600000,155,0.74244,6.31392852632473e-5,"ENSGALG00000061023,ENSGALT00000117391,ENSGALG00000034616"," , ,INHBA"
2,50580001,50620000,166,0.655243,5.051142821063115e-4,"ENSGALG00000034616,ENSGALG00000059423,ENSGALT00000143874","INHBA, , "
2,50640001,50680000,227,0.643448,6.103464242117607e-4,"ENSGALG00000063940,ENSGALT00000148201,ENSGALG00000050534,ENSGALT00000093257"," , , , "
2,50660001,50700000,267,0.7308,8.418571368440375e-5,"ENSGALG00000063940,ENSGALT00000148201,ENSGALG00000050534,ENSGALT00000093257"," , , , "
2,50680001,50720000,198,0.713279,1.4732499894765105e-4,ENSGALG00000040266,GLI3
2,81660001,81700000,383,0.627666,9.470892789493757e-4,"ENSGALG00000058429,ENSGALT00000152181,ENSGALG00000060913,ENSGALT00000136447"," , , , "
2,86560001,86600000,321,0.630874,8.629035652649719e-4,"ENSGALG00000064913,ENSGALT00000124061,ENSGALG00000056662,ENSGALT00000129239,ENSGALT00000150094,ENSGALT00000119596,ENSGALG00000063013,ENSGALT00000130331,ENSGALT00000151852"," , , , , , , , , "
2,143320001,143360000,330,0.665356,3.7883571157970586e-4, , 
2,143340001,143380000,373,0.694478,1.8941785578985293e-4, , 
2,143360001,143400000,390,0.669898,3.36742854737504e-4, , 
2,143380001,143420000,359,0.657921,4.2092856842190773e-4, , 
