cluster_id,CHROM,START,END,N_WINDOWS
103,5,37680001,38220000,25
116,5,31060001,31680000,25
98,5,35600001,36100000,24
81,4,90120001,90600000,17
97,5,34920001,35400000,16
117,5,31740001,32280000,16
101,5,37220001,37500000,11
14,1,68160001,68380000,10
99,5,36720001,37000000,10
137,8,8780001,9000000,10
9,1,55100001,55420000,9
96,5,34600001,34780000,8
39,2,95560001,95720000,7
93,5,34020001,34200000,7
104,5,38320001,38620000,7
119,6,11200001,11380000,7
20,1,23720001,23900000,6
22,1,24200001,24360000,6
65,24,5660001,5800000,6
66,24,6120001,6260000,6
114,5,30280001,30420000,6
27,11,4860001,4980000,5
54,20,6160001,6340000,5
57,22,3820001,3960000,5
69,28,2820001,2940000,5
84,4,58940001,59060000,5
108,5,40340001,40500000,5
