CHROM,BIN_START,BIN_END,N_VARIANTS,MEAN,EMPIRICAL_PVALUE,GENEID,GENE
1,23780001,23820000,649,0.713987,8.631033829442636e-4,ENSGALG00000009066,KCND2
1,55100001,55140000,216,0.731343,6.946929667599466e-4,"ENSGALG00000012754,ENSGALG00000066748,ENSGALT00000139726,ENSGALG00000019300","PAH, , , "
1,55120001,55160000,229,0.705298,9.262572890132992e-4,"ENSGALG00000066748,ENSGALT00000139726,ENSGALG00000019300"," , , "
1,66520001,66560000,668,0.698201,9.683598930594339e-4,ENSGALG00000013210,C2CD5
1,66540001,66580000,739,0.718061,8.420520809212517e-4,ENSGALG00000013210,C2CD5
5,31100001,31140000,100,0.761977,3.368208323685229e-4,"ENSGALG00000057023,ENSGALT00000112216"," , "
5,31120001,31160000,63,0.888293,1.4735911416119407e-4,"ENSGALG00000057023,ENSGALT00000112216,ENSGALG00000060550,ENSGALT00000130365"," , , , "
5,31140001,31180000,114,0.915648,8.420520809215848e-5,"ENSGALG00000057023,ENSGALT00000112216,ENSGALG00000060550,ENSGALT00000130365"," , , , "
5,31160001,31200000,192,0.906958,1.0525651011517034e-4,"ENSGALG00000057023,ENSGALT00000112216"," , "
5,31180001,31220000,157,0.857184,1.6841041618420594e-4,"ENSGALG00000057023,ENSGALT00000112216"," , "
5,31200001,31240000,145,0.760327,3.789234364145466e-4,"ENSGALG00000057023,ENSGALT00000112216,ENSGALG00000058234,ENSGALT00000131971"," , , , "
5,31220001,31260000,151,0.754846,4.631286445067051e-4,"ENSGALG00000057023,ENSGALT00000112216,ENSGALG00000058234,ENSGALT00000131971"," , , , "
5,31240001,31280000,121,0.72356,7.99949476875117e-4,"ENSGALG00000057023,ENSGALT00000112216"," , "
5,31260001,31300000,131,0.702871,9.47308591036311e-4, , 
5,31320001,31360000,32,0.88853,1.263078121381822e-4, , 
5,31340001,31380000,90,0.928865,4.210260404602373e-5,"ENSGALG00000056816,ENSGALT00000110848"," , "
5,31360001,31400000,160,0.938732,2.1051302023011864e-5,"ENSGALG00000056816,ENSGALT00000110848"," , "
5,31380001,31420000,200,0.92075,6.315390606903559e-5,"ENSGALG00000056816,ENSGALT00000110848"," , "
5,31400001,31440000,169,0.838953,1.894617182072178e-4,"ENSGALG00000037493,ENSGALT00000136654,ENSGALT00000093440,ENSGALT00000109898,ENSGALT00000141088,ENSGALT00000131590,ENSGALG00000059566,ENSGALT00000116507,ENSGALG00000039118"," , , , , , , , ,MEIS2"
5,31480001,31520000,296,0.759127,4.420773424835822e-4,ENSGALG00000039118,MEIS2
5,31500001,31540000,419,0.731136,7.157442687830695e-4,ENSGALG00000039118,MEIS2
5,31520001,31560000,292,0.697077,9.894111950824458e-4,ENSGALG00000039118,MEIS2
5,31540001,31580000,191,0.767084,3.157695303454e-4,ENSGALG00000039118,MEIS2
5,31560001,31600000,175,0.792085,2.3156432225335255e-4,ENSGALG00000039118,MEIS2
5,31820001,31860000,222,0.759678,4.2102604046057035e-4,"ENSGALG00000053286,ENSGALT00000091804,ENSGALG00000061352,ENSGALT00000119626"," , , , "
5,31840001,31880000,317,0.737396,6.525903627139229e-4,"ENSGALG00000053286,ENSGALT00000091804,ENSGALG00000061352,ENSGALT00000119626,ENSGALG00000059649,ENSGALT00000141365,ENSGALT00000135930"," , , , , , , "
5,32220001,32260000,222,0.738604,6.104877586678992e-4,ENSGALG00000020438,DPH6
5,32240001,32280000,243,0.748314,5.052312485527288e-4,ENSGALG00000020438,DPH6
5,35080001,35120000,393,0.737872,6.31539060690911e-4,ENSGALG00000009995, 
5,37500001,37540000,461,0.745073,5.683851546217644e-4,"ENSGALG00000064433,ENSGALT00000128553,ENSGALT00000124251,ENSGALT00000113078,ENSGALT00000140955,ENSGALT00000143263,ENSGALG00000054810,ENSGALT00000094929,ENSGALT00000152256,ENSGALT00000128859"," , , , , , , , , , "
5,37520001,37560000,518,0.767502,2.9471822832238814e-4,"ENSGALG00000054810,ENSGALT00000094929,ENSGALT00000152256,ENSGALT00000128859,ENSGALT00000148798"," , , , , "
5,40360001,40400000,403,0.710463,9.052059869902873e-4,ENSGALG00000027255,NRXN3
5,40920001,40960000,455,0.73076700000000006,7.367955708060814e-4,ENSGALG00000010562, 
5,40940001,40980000,491,0.740442,5.894364566448873e-4,"ENSGALG00000010562,ENSGALG00000010572"," ,TSHR"
6,10820001,10860000,424,0.733441,6.736416647369348e-4,ENSGALG00000003805,PRKG1
6,10840001,10880000,396,0.787726,2.526156242763644e-4,ENSGALG00000003805,PRKG1
6,10860001,10900000,354,0.75968,3.999747384375585e-4,ENSGALG00000003805,PRKG1
8,8820001,8860000,347,0.751109,4.8417994652971696e-4,ENSGALG00000033407,BRINP3
8,8840001,8880000,369,0.747,5.262825505757407e-4,"ENSGALG00000058161,ENSGALT00000130052,ENSGALG00000064604,ENSGALT00000108445"," , , , "
8,8860001,8900000,299,0.761789,3.5787213439153476e-4,"ENSGALG00000058161,ENSGALT00000130052,ENSGALG00000064604,ENSGALT00000108445,ENSGALG00000050751"," , , , , "
8,8880001,8920000,244,0.746381,5.473338525987526e-4,"ENSGALG00000058161,ENSGALT00000130052,ENSGALG00000050751,ENSGALG00000049810"," , , , "
8,14940001,14980000,648,0.800675,2.1051302023034069e-4,ENSGALG00000006091,HFM1
11,4900001,4940000,435,0.713271,8.841546849672755e-4,ENSGALG00000003602, 
