CHROM,START,END,GENEID,GENE,N_VARIANTS,MEAN
1,33360000,33400000,"ENSGALG00000064504,ENSGALT00000151252,ENSGALT00000116764,ENSGALT00000122830,ENSGALT00000139767,ENSGALT00000117783,ENSGALG00000068486,ENSGALT00000137058,ENSGALT00000130700",", ",13,2.714149172105356
1,171600000,171740000,"ENSGALG00000017022,ENSGALG00000017023,ENSGALG00000017024,ENSGALG00000017021,ENSGALG00000054675,ENSGALG00000064996,ENSGALT00000111152,ENSGALG00000054610,ENSGALT00000124201,ENSGALT00000092459,ENSGALT00000100205,ENSGALG00000017025,ENSGALG00000017026","ALG11, ,,TMEM272,CKAP2,VPS36",96,2.81640738590831
12,15040000,15200000,"ENSGALG00000007652,ENSGALG00000056811,ENSGALT00000135641,ENSGALT00000137703,ENSGALT00000128101,ENSGALG00000007596,ENSGALG00000059006,ENSGALT00000114447,ENSGALT00000119523,ENSGALT00000146564,ENSGALT00000128363,ENSGALG00000050482,ENSGALT00000101078,ENSGALT00000115423","SUCLG2,, ",97,2.820884337454128
12,15220000,15280000,"ENSGALG00000007652,ENSGALG00000067882,ENSGALT00000121673,ENSGALG00000052143,ENSGALT00000125344,ENSGALT00000092984,ENSGALT00000110261,ENSGALT00000132492","SUCLG2, ,",30,2.7767449703306517
12,15300000,15340000,ENSGALG00000049667,FAM19A1,14,2.645243945646804
12,15440000,15480000,ENSGALG00000049667,FAM19A1,12,2.6411414585272217
12,15640000,15740000,"ENSGALG00000065245,ENSGALG00000013406,ENSGALG00000013408,ENSGALG00000013410,ENSGALG00000063935,ENSGALG00000018946","FAM19A4,EOGT,, ,UBA3,ARL6IP5",57,2.7652047021261623
12,15760000,15840000,ENSGALG00000037791,FRMD4B,48,2.739139530173983
3,21040000,21320000,"ENSGALG00000009788,ENSGALG00000065576,ENSGALT00000132170,ENSGALG00000009784,ENSGALG00000065845,ENSGALT00000151154,ENSGALT00000121658,ENSGALT00000109091,ENSGALT00000116859,ENSGALT00000149651,ENSGALG00000009690,ENSGALG00000009687","SMYD2, ,,PTPN14,CENPF,KCNK2",188,2.8899611971319152
3,46960000,47080000,"ENSGALG00000012300,ENSGALG00000012317,ENSGALG00000066281,ENSGALT00000144064,ENSGALG00000050033,ENSGALT00000097410","RAB32,, ,",59,2.9374060028308557
4,49640000,49680000,"ENSGALG00000011457,ENSGALG00000011476",",SEPTIN11",13,2.5863863642445666
4,49740000,49800000,ENSGALG00000052932,,26,2.7145240664937003
4,50420000,50460000,ENSGALG00000011616,NPFFR2,12,2.666926606314244
4,80800000,80840000,ENSGALG00000015568,SH3TC1,22,2.5963083241231497
7,29360000,29400000,ENSGALG00000012156,,12,2.876688000968364
