CHROM,START,END,GENEID,GENE,N_VARIANTS,MEAN
1,147820000,147880000,"ENSGALG00000067158,ENSGALT00000150994,ENSGALT00000139576,ENSGALT00000134622,ENSGALT00000121999,ENSGALT00000117808,ENSGALG00000062154,ENSGALG00000016897,ENSGALG00000016898",", ,SOX21",368,3.041173353907962
1,151880000,151940000,"ENSGALG00000061317,ENSGALT00000129730,ENSGALG00000065155,ENSGALT00000124130,ENSGALG00000056771,ENSGALT00000132362",", ",40,3.4961520121993166
1,153300000,153340000,"ENSGALG00000063027,ENSGALT00000139370,ENSGALT00000133198",", ",11,3.0309670823620944
1,162240000,162280000,"ENSGALG00000061562,ENSGALT00000140011,ENSGALT00000109136,ENSGALT00000133863,ENSGALG00000065088,ENSGALT00000142873",", ",10,3.28003856486774
1,162720000,162900000,",ENSGALG00000057294,ENSGALT00000145371,ENSGALT00000122227,ENSGALT00000141039,ENSGALT00000109309,ENSGALT00000127870",",, ",1116,3.1631738969064878
12,19020000,19060000,"ENSGALG00000008314,ENSGALG00000008320,ENSGALG00000049990,ENSGALT00000149891,ENSGALT00000153984","ARL8B,EDEM1, ,",363,2.9173113745282713
14,15980000,16020000,"ENSGALG00000055365,ENSGALT00000151793,ENSGALT00000148066,ENSGALG00000036751,ENSGALG00000061614,ENSGALT00000137406",", ",13,3.107702462853706
17,9800000,9920000,"ENSGALG00000058089,ENSGALT00000138138,ENSGALG00000065452,ENSGALT00000146353,ENSGALG00000067707,ENSGALT00000113213,ENSGALG00000035677,ENSGALG00000001037,ENSGALG00000001073,ENSGALG00000001048,ENSGALG00000026405,ENSGALT00000043963,ENSGALG00000001014,ENSGALG00000001013,ENSGALG00000042210,ENSGALG00000001000,ENSGALG00000000993,ENSGALG00000057017,ENSGALT00000126814,ENSGALG00000001025",", ,RPL35,SCAI,NR6A1,OLFML2A,PPP6C,RABEPK,HSPA5,GAPVD1",426,2.9486578386184332
19,3380000,3420000,"ENSGALG00000001546,ENSGALG00000068554,ENSGALT00000129931,ENSGALT00000145992,ENSGALT00000139604","ZZEF1, ,",38,2.993110081114079
2,28440000,28480000,"ENSGALG00000010803,ENSGALG00000010804,ENSGALG00000010809",",ANKMY2,BZW2",134,3.127508990754347
3,4080000,4140000,"ENSGALG00000008445,ENSGALG00000068234,ENSGALT00000150163,ENSGALT00000130201,ENSGALG00000058769,ENSGALT00000144461,ENSGALG00000008457","SLC24A3, ,",773,3.1535454007732078
3,9780000,9820000,"ENSGALG00000067928,ENSGALT00000152829,ENSGALT00000109357,ENSGALG00000040348",", ",242,2.946381931350716
33,5400000,5440000,"ENSGALG00000050400,ENSGALG00000030002,ENSGALG00000063598,ENSGALG00000045352,ENSGALG00000039571,ENSGALG00000067765,ENSGALT00000125910,ENSGALG00000063449","KRT8, ,",42,3.1971905501336746
33,5460000,5520000,"ENSGALG00000035879,ENSGALG00000047704,ENSGALG00000034988,ENSGALG00000055094,ENSGALG00000046727,ENSGALG00000065138,ENSGALT00000125625,ENSGALG00000030342,ENSGALG00000033957,ENSGALG00000035203",", ,RDH5,CD63,SARNP",270,3.536121907617674
5,6000000,6040000,ENSGALG00000022206,,26,2.9234765933718054
5,6520000,6560000,"ENSGALG00000063312,ENSGALT00000152567,ENSGALT00000135951,ENSGALG00000065335,ENSGALT00000131907,ENSGALG00000063979,ENSGALT00000113665,ENSGALT00000131798,ENSGALG00000066050,ENSGALT00000124942,ENSGALT00000144859,ENSGALT00000150014,ENSGALG00000058651,ENSGALT00000151099,ENSGALG00000064884,ENSGALT00000115077",", ",47,2.9274980940619546
5,34400000,34440000,"ENSGALG00000009916,ENSGALG00000065014,ENSGALT00000151058","SCFD1, ,",418,3.0931160568285327
5,34940000,34980000,"ENSGALG00000067938,ENSGALT00000114154,ENSGALG00000064854,ENSGALT00000127068,ENSGALT00000115588",", ",263,2.9155624393549706
5,37920000,37980000,"ENSGALG00000010197,ENSGALG00000010211,ENSGALG00000020419,ENSGALG00000010202",", ,LIN52,ENTPD5",639,2.9702808825585736
5,38080000,38120000,"ENSGALG00000010232,ENSGALG00000010233","VRTN,",211,3.0046867872216745
6,36340000,36400000,",ENSGALG00000065055,ENSGALT00000132814",",",57,3.509982807958479
7,36180000,36220000,"ENSGALG00000012544,ENSGALG00000020575,ENSGALG00000012545",", ",171,2.9572702972871547
9,22580000,22700000,"ENSGALG00000009634,ENSGALG00000009651,ENSGALG00000009654,ENSGALG00000009669,ENSGALG00000009594","GFM1,LXN,, ,RSRC1,RARRES1",792,3.1220055142349357
