cluster_id,CHROM,START,END,N_WINDOWS
13,1,73840001,75480000,81
72,2,118680001,119100000,20
21,1,128540001,128960000,19
6,1,55160001,55460000,14
105,4,27800001,28040000,11
7,1,55740001,55940000,9
65,2,81420001,81680000,9
75,2,25680001,25980000,9
125,5,30060001,30300000,9
81,26,60001,260000,7
135,8,880001,1040000,7
47,14,14000001,14140000,6
79,2,55100001,55240000,6
116,5,31440001,31600000,6
117,5,34620001,34760000,6
134,8,580001,820000,6
2,1,19140001,19300000,5
37,10,9520001,9640000,5
44,14,10700001,10820000,5
54,2,58200001,58360000,5
69,2,94520001,94640000,5
74,2,25300001,25440000,5
98,4,71460001,71640000,5
