cluster_id,CHROM,START,END,N_WINDOWS
2,1,73760001,75460000,80
79,4,71120001,71560000,21
84,5,30260001,30860000,21
47,2,25600001,26020000,20
64,3,29400001,29840000,19
85,5,30940001,31440000,19
20,11,60001,420000,17
112,8,28380001,28700000,15
115,9,23800001,24120000,12
33,2,58440001,58720000,11
46,2,24740001,25080000,11
57,26,20001,260000,11
106,7,8100001,8360000,11
30,2,55100001,55360000,10
32,2,58160001,58380000,10
73,4,82880001,83080000,9
8,1,151880001,152080000,5
37,2,83140001,83300000,5
91,5,47820001,47940000,5
