CHROM,SWEEP_START,SWEEP_END,GENEID,GENE,QTL
1,53520000,53580000,"ENSGALG00000039595,ENSGALG00000053066,ENSGALT00000137882,ENSGALT00000104242,ENSGALT00000103848,ENSGALT00000149225,ENSGALG00000052562,ENSGALT00000107285",", ",
1,54100000,54220000,"ENSGALG00000026311,ENSGALG00000057590,ENSGALT00000119900,ENSGALG00000027122","C12orf75,,APPL2",
10,19340000,19380000,"ENSGALG00000007909,ENSGALG00000028141",",C15orf61",Yolk water content QTL (264238)
15,220000,260000,"ENSGALG00000055111,ENSGALT00000105410,ENSGALT00000120334,ENSGALG00000062673",", ",
18,480000,520000,ENSGALG00000058792,MYH1B,
18,660000,700000,"ENSGALG00000064876,ENSGALT00000127418,ENSGALG00000058001,ENSGALG00000030475,ENSGALG00000041763,ENSGALG00000033996",", ,ADPRM",
26,0,40000,"ENSGALG00000066146,ENSGALT00000132034,ENSGALT00000155332,ENSGALT00000116383,ENSGALT00000154645,ENSGALG00000046261,ENSGALG00000032190",", ,LRMPL,MICAL1",
3,27880000,27920000,"ENSGALG00000010047,ENSGALG00000010048",,
3,28120000,28640000,"ENSGALG00000050429,ENSGALT00000140230,ENSGALT00000103027,ENSGALT00000122595,ENSGALT00000117113,ENSGALT00000139044,ENSGALG00000051959,ENSGALT00000104984,ENSGALG00000010050,ENSGALG00000063949,ENSGALT00000143948,ENSGALT00000110650,ENSGALG00000049425,ENSGALT00000148976,ENSGALG00000058262,ENSGALT00000144825,ENSGALG00000067117,ENSGALT00000149393,ENSGALG00000056868,ENSGALT00000110964,ENSGALG00000054135,ENSGALT00000103355,ENSGALT00000112271,ENSGALT00000123104,ENSGALT00000145991,ENSGALT00000102458,",", ,",
3,28660000,28800000,"ENSGALG00000066265,ENSGALT00000118666,ENSGALT00000132501",", ",Body weight QTL (65713)
4,90100000,90200000,"ENSGALG00000016098,ENSGALG00000047451,ENSGALT00000100177,ENSGALT00000103883,ENSGALG00000060844,ENSGALT00000127061,ENSGALG00000063181,ENSGALT00000122818,ENSGALT00000146870,ENSGALT00000144129,ENSGALT00000103108,ENSGALG00000016102,ENSGALG00000048407,ENSGALT00000108174,ENSGALT00000139098,ENSGALG00000052189,ENSGALT00000102544",", ,CYP26B1",
