CHROM,BIN_START,BIN_END,N_VARIANTS,MEAN,EMPIRICAL_PVALUE,GENEID,GENE
2,24460001,24500000,115,0.998787,6.32284443694564e-5,ENSGALG00000027620, 
2,24560001,24600000,83,0.999726,2.1076148123189142e-5, , 
2,25560001,25600000,66,0.97553,5.901321474487409e-4, , 
2,25580001,25620000,72,0.971027,7.58741332434032e-4, , 
2,25600001,25640000,78,0.967764,8.008936286804103e-4, , 
2,25660001,25700000,71,0.979789,4.0044681434026064e-4, , 
2,25680001,25720000,88,0.981559,2.950660737243149e-4, , 
2,25700001,25740000,113,0.97973,4.2152296246333876e-4,"ENSGALG00000060004,ENSGALT00000149327"," , "
2,25720001,25760000,171,0.974506,6.322844436951192e-4,"ENSGALG00000060004,ENSGALT00000149327"," , "
2,25740001,25780000,197,0.976357,5.479798512023626e-4,"ENSGALG00000060004,ENSGALT00000149327"," , "
2,25760001,25800000,207,0.984222,1.8968533310848024e-4, , 
2,25780001,25820000,224,0.978469,4.6367525870971704e-4, , 
2,25800001,25840000,183,0.972317,7.165890361877647e-4,"ENSGALG00000058373,ENSGALT00000141767"," , "
2,25820001,25860000,122,0.976116,5.690559993255517e-4,"ENSGALG00000058373,ENSGALT00000141767,ENSGALT00000110065"," , , "
2,25840001,25880000,113,0.977922,5.058275549560953e-4,"ENSGALG00000058373,ENSGALT00000141767,ENSGALT00000110065"," , , "
2,25860001,25900000,150,0.973944,6.744367399413864e-4,"ENSGALG00000058373,ENSGALT00000110065"," , "
2,25880001,25920000,132,0.973997,6.533605918181973e-4,"ENSGALG00000058373,ENSGALT00000110065"," , "
2,25900001,25940000,142,0.981743,2.5291377747804766e-4, , 
2,25920001,25960000,222,0.97835,4.847514068329062e-4, , 
2,25940001,25980000,236,0.980507,3.1614222184750407e-4,"ENSGALG00000057843,ENSGALT00000135287"," , "
2,25960001,26000000,228,0.98168,2.739899256012368e-4,"ENSGALG00000057843,ENSGALT00000135287"," , "
2,26920001,26960000,312,0.973137,6.955128880645756e-4,ENSGALG00000027757, 
2,26940001,26980000,283,0.975347,6.1120829557193e-4,ENSGALG00000027757, 
2,27640001,27680000,186,0.956393,9.695028136658124e-4,ENSGALG00000033561,DGKB
2,50560001,50600000,76,0.971371,7.376651843109538e-4,"ENSGALG00000061023,ENSGALT00000117391,ENSGALG00000034616"," , ,INHBA"
2,50580001,50620000,78,0.964249,8.851982211730558e-4,"ENSGALG00000034616,ENSGALG00000059423,ENSGALT00000143874","INHBA, , "
3,29060001,29100000,273,0.999146,4.2152296246378285e-5,ENSGALG00000010057, 
3,29080001,29120000,168,0.991506,1.2645688873902383e-4,ENSGALG00000010057, 
3,29100001,29140000,78,0.980274,3.372183699706932e-4,ENSGALG00000010057, 
3,29420001,29460000,279,0.955981,9.905789617888905e-4,"ENSGALG00000056979,ENSGALG00000010078"," ,GLP1R"
3,29440001,29480000,287,0.982814,2.3183762935485852e-4,ENSGALG00000010078,GLP1R
4,71240001,71280000,280,0.965594,8.430459249267885e-4,"ENSGALG00000051821,ENSGALT00000140787,ENSGALT00000105754,ENSGALT00000097255,ENSGALG00000068179,ENSGALT00000111518"," , , , , , "
4,71260001,71300000,314,0.966953,8.219697768035994e-4,"ENSGALG00000068179,ENSGALT00000111518"," , "
4,71500001,71540000,171,0.958313,9.484266655426232e-4,"ENSGALG00000058058,ENSGALT00000111133,ENSGALT00000128901"," , , "
5,32220001,32260000,97,0.991236,1.4753303686221297e-4,ENSGALG00000020438,DPH6
5,32240001,32280000,125,0.9977,8.430459249264555e-5,ENSGALG00000020438,DPH6
5,32260001,32300000,115,0.995979,1.0538074061583469e-4,ENSGALG00000020438,DPH6
5,32280001,32320000,155,0.987403,1.6860918498540212e-4,ENSGALG00000020438,DPH6
5,32300001,32340000,203,0.976457,5.269037030791734e-4,ENSGALG00000020438,DPH6
26,60001,100000,46,0.958486,9.273505174194341e-4,"ENSGALG00000043513,ENSGALG00000031301,ENSGALG00000042148","TEAD3,TULP1,FKBP5"
26,80001,120000,44,0.965386,8.641220730499777e-4,"ENSGALG00000042148,ENSGALG00000062332,ENSGALG00000039170,ENSGALG00000037546","FKBP5,CLPS,LHFPL5,SRPK1"
26,100001,140000,42,0.970125,7.798174805572211e-4,"ENSGALG00000062332,ENSGALG00000039170,ENSGALG00000037546,ENSGALG00000040498","CLPS,LHFPL5,SRPK1, "
26,120001,160000,80,0.97997,3.793706662170715e-4,"ENSGALG00000037546,ENSGALG00000040498,ENSGALG00000042833","SRPK1, , "
26,140001,180000,98,0.97967,4.425991105865279e-4,"ENSGALG00000040498,ENSGALG00000042833,ENSGALG00000030966"," , ,MAPK13"
26,160001,200000,101,0.980035,3.5829451809388235e-4,"ENSGALG00000042833,ENSGALG00000030966,ENSGALG00000057645,ENSGALT00000126075,ENSGALG00000000776"," ,MAPK13, , ,BRPF3"
26,180001,220000,73,0.983436,2.1076148123166938e-4,"ENSGALG00000030966,ENSGALG00000057645,ENSGALT00000126075,ENSGALG00000000776,ENSGALG00000039130","MAPK13, , ,BRPF3,TBC1D22B"
26,200001,240000,64,0.964192,9.062743692962449e-4,"ENSGALG00000000776,ENSGALG00000039130,ENSGALG00000038902","BRPF3,TBC1D22B, "
