CHROM,BIN_START,BIN_END,N_VARIANTS,MEAN,EMPIRICAL_PVALUE,GENEID,GENE
1,68280001,68320000,571,0.898325,4.21114690586033e-4,"ENSGALG00000014106,ENSGALG00000014128,ENSGALG00000014126","PPFIBP1,A4GALT, "
1,68300001,68340000,549,0.881316,5.474490977617208e-4,"ENSGALG00000014128,ENSGALG00000014126,ENSGALG00000063330","A4GALT, , "
1,75700001,75740000,275,0.87251,5.895605668203574e-4,ENSGALG00000040184,RIMKLB
1,75720001,75760000,227,0.901409,4.000589560566592e-4,ENSGALG00000040184,RIMKLB
1,94760001,94800000,253,0.871976,6.31672035878994e-4,ENSGALG00000043393,CADM2
1,94780001,94820000,376,0.909003,3.579474869981336e-4,ENSGALG00000043393,CADM2
1,95660001,95700000,283,0.904644,3.790032215273964e-4,"ENSGALG00000050963,ENSGALT00000099024"," , "
1,95680001,95720000,294,0.948801,2.10557345292961e-4,"ENSGALG00000050963,ENSGALT00000099024"," , "
1,95700001,95740000,232,0.943093,2.316130798223348e-4, , 
1,95940001,95980000,203,0.864855,6.948392394668934e-4, , 
1,149240001,149280000,276,0.85901400000000006,8.001179121133184e-4,ENSGALG00000016902, 
2,49340001,49380000,437,0.870488,6.527277704082568e-4,ENSGALG00000031635,VPS41
2,50540001,50580000,100,0.893808,4.632261596445586e-4,"ENSGALG00000061023,ENSGALT00000117391,ENSGALG00000066226,ENSGALT00000135566,ENSGALT00000110944,ENSGALG00000034616"," , , , , ,INHBA"
2,50560001,50600000,86,0.98134,1.0527867264653601e-4,"ENSGALG00000061023,ENSGALT00000117391,ENSGALG00000034616"," , ,INHBA"
2,50580001,50620000,87,0.985292,6.31672035878994e-5,"ENSGALG00000034616,ENSGALG00000059423,ENSGALT00000143874","INHBA, , "
2,50600001,50640000,73,0.976844,1.684458762344354e-4,"ENSGALG00000059423,ENSGALT00000143874"," , "
2,50620001,50660000,44,0.914285,3.368917524687598e-4,"ENSGALG00000063940,ENSGALT00000148201"," , "
2,50640001,50680000,86,0.978864,1.263344071757988e-4,"ENSGALG00000063940,ENSGALT00000148201,ENSGALG00000050534,ENSGALT00000093257"," , , , "
2,50660001,50700000,132,0.977864,1.473901417050616e-4,"ENSGALG00000063940,ENSGALT00000148201,ENSGALG00000050534,ENSGALT00000093257"," , , , "
2,50680001,50720000,94,0.928352,2.737245488808604e-4,ENSGALG00000040266,GLI3
3,43680001,43720000,265,0.85142,9.053965847598544e-4,"ENSGALG00000060470,ENSGALT00000126672,ENSGALT00000134321"," , , "
3,43700001,43740000,248,0.846969,9.685637883477538e-4,"ENSGALG00000060470,ENSGALT00000126672,ENSGALT00000134321,ENSGALT00000153999,ENSGALT00000124160"," , , , , "
4,70580001,70620000,134,0.874199,5.685048322910946e-4,"ENSGALG00000059639,ENSGALT00000137241,ENSGALG00000064471,ENSGALT00000111751"," , , , "
5,10700001,10740000,276,0.86158,7.580064430547928e-4,ENSGALG00000006035,PDE3B
5,10720001,10760000,315,0.864076,7.158949739961562e-4,ENSGALG00000006035,PDE3B
5,23560001,23600000,244,0.863293,7.36950708525419e-4,ENSGALG00000032181, 
5,36860001,36900000,381,0.855958,8.42229381171955e-4,"ENSGALG00000010114,ENSGALG00000028483","PAX9, "
5,37420001,37460000,699,0.859053,7.790621775840556e-4,"ENSGALG00000064433,ENSGALT00000128553,ENSGALG00000057152,ENSGALT00000110706,ENSGALG00000054810,ENSGALT00000117266"," , , , , , "
5,48460001,48500000,699,0.849751,9.264523192891172e-4,ENSGALG00000039735,EML1
6,10860001,10900000,231,0.868425,6.737835049375196e-4,ENSGALG00000003805,PRKG1
6,10880001,10920000,209,0.855517,8.632851157012178e-4,"ENSGALG00000003805,ENSGALG00000003814","PRKG1, "
6,11260001,11300000,330,0.917433,3.15836017939497e-4,"ENSGALG00000003935,ENSGALG00000003947,ENSGALG00000039161","PBLD,HNRNPH3,RUFY2"
6,11280001,11320000,307,0.98356,8.42229381171622e-5,"ENSGALG00000003935,ENSGALG00000003947,ENSGALG00000039161,ENSGALG00000004037","PBLD,HNRNPH3,RUFY2,DNA2"
8,14620001,14660000,273,0.887181,5.053376287031952e-4,"ENSGALG00000023490,ENSGALG00000057930,ENSGALT00000114436,ENSGALT00000124427,ENSGALG00000005977","C1orf146, , , , "
8,30100001,30140000,152,0.847336,9.47508053818491e-4,"ENSGALG00000011379,ENSGALG00000011388","SLC44A5,RABGGTB"
8,30120001,30160000,155,0.857663,8.211736466426922e-4,"ENSGALG00000011379,ENSGALG00000011388,ENSGALG00000017875,ENSGALT00000028582,ENSGALG00000017876,ENSGALT00000028583,ENSGALG00000011392","SLC44A5,RABGGTB, , , , ,SGF29"
11,4880001,4920000,248,0.96563,1.895016107636982e-4,ENSGALG00000003602, 
11,4900001,4940000,283,0.995089,2.1055734529262793e-5,ENSGALG00000003602, 
11,4920001,4960000,249,0.987315,4.211146905863661e-5,"ENSGALG00000003602,ENSGALG00000067048,ENSGALT00000127747,ENSGALG00000063964,ENSGALT00000147531,ENSGALG00000067439,ENSGALT00000144258,ENSGALG00000059334,ENSGALT00000111841"," , , , , , , , , "
11,10720001,10760000,177,0.887366,4.842818941739324e-4,"ENSGALG00000067331,ENSGALG00000040725","KCTD15, "
11,10740001,10780000,159,0.925195,2.947802834102342e-4,ENSGALG00000040725, 
11,10760001,10800000,145,0.931702,2.526688143515976e-4,ENSGALG00000040725, 
11,19280001,19320000,171,0.845886,9.896195228770166e-4,"ENSGALG00000064900,ENSGALT00000140853"," , "
20,6240001,6280000,270,0.852713,8.843408502305916e-4,ENSGALG00000004621, 
20,6260001,6300000,305,0.885538,5.26393363232458e-4,ENSGALG00000004621, 
20,6280001,6320000,322,0.896408,4.421704251152958e-4,ENSGALG00000004621, 
20,6300001,6340000,315,0.87213,6.106163013496202e-4,ENSGALG00000004621, 
