cluster_id,CHROM,START,END,N_WINDOWS
40,2,24700001,25460000,35
12,1,31880001,32580000,31
41,2,25520001,26340000,31
47,2,27860001,28420000,24
86,8,700001,1180000,23
57,3,98020001,98500000,22
84,5,49100001,49540000,21
33,2,40780001,41320000,20
58,3,98620001,98900000,13
83,5,48700001,49020000,13
7,1,152860001,153180000,12
34,2,50420001,50700000,12
74,4,28280001,28520000,11
9,1,170840001,171100000,10
42,2,26420001,26660000,9
4,1,151000001,151300000,8
56,3,81120001,81300000,8
30,2,24480001,24640000,7
67,3,64560001,64720000,7
25,10,12260001,12400000,6
54,3,65160001,65300000,6
80,4,62040001,62180000,6
27,13,6980001,7180000,5
39,2,122580001,122700000,5
60,3,99220001,99380000,5
