CHROM,START,END,GENEID,GENE,N_VARIANTS,MEAN
10,600000,660000,"ENSGALG00000059221,ENSGALG00000067953,ENSGALT00000077497,ENSGALT00000096661,ENSGALT00000102227,ENSGALG00000067318,ENSGALT00000121585,ENSGALT00000128453,ENSGALT00000123831,ENSGALT00000111380,ENSGALT00000124582",", ",130,3.8542113970764396
10,860000,920000,"ENSGALG00000068005,ENSGALT00000127846,ENSGALG00000061214,ENSGALT00000118021,ENSGALG00000038550,ENSGALG00000066511,ENSGALT00000108844",", ",41,3.835576932378358
10,20880000,20960000,,,99,4.143719588746293
11,20020000,20060000,"ENSGALG00000062575,ENSGALT00000148972,ENSGALG00000062915,ENSGALT00000136814,ENSGALT00000125968,ENSGALT00000132679,ENSGALT00000119278,ENSGALT00000139741,ENSGALG00000055813,ENSGALT00000141355,ENSGALT00000133310,ENSGALT00000121850,ENSGALT00000137668,ENSGALT00000146726,ENSGALG00000065855,ENSGALT00000139400,ENSGALT00000132918,ENSGALG00000061841,ENSGALT00000150849,ENSGALG00000064271,ENSGALT00000122203",", ",278,4.314690304903737
11,20080000,20120000,"ENSGALG00000062575,ENSGALT00000148972,ENSGALT00000152663,ENSGALT00000121637,ENSGALG00000062915,ENSGALT00000132679,ENSGALG00000061841,ENSGALT00000150849,ENSGALG00000061254,ENSGALT00000132219,ENSGALG00000063133,ENSGALT00000144669,ENSGALT00000145479,ENSGALG00000057467,ENSGALT00000145255",", ",492,3.79799786300398
13,740000,780000,ENSGALG00000058451,,204,3.861210061365109
13,820000,880000,"ENSGALG00000064139,ENSGALG00000065843,ENSGALG00000038668,ENSGALG00000055672,ENSGALG00000056113,ENSGALG00000062423,ENSGALT00000120409,ENSGALG00000068581",", ",256,3.863515210774789
13,900000,940000,"ENSGALG00000065880,ENSGALG00000063647,ENSGALG00000057400,ENSGALG00000067288,ENSGALG00000065798",", ",18,3.75201941442892
13,1080000,1140000,"ENSGALG00000056531,ENSGALG00000059482,ENSGALG00000061556,ENSGALG00000065204",", ",61,3.919540427047729
13,2420000,2480000,"ENSGALG00000062538,ENSGALG00000061453,ENSGALG00000063751,ENSGALG00000068530,ENSGALG00000066805",", ",236,3.876970047512632
15,0,40000,"ENSGALG00000050145,ENSGALG00000049290,ENSGALG00000063714,ENSGALT00000133465,ENSGALT00000134978,ENSGALT00000131187,ENSGALT00000134005,ENSGALT00000112589",", ",115,3.7093704084644106
15,100000,140000,"ENSGALG00000064328,ENSGALG00000049686,ENSGALG00000047749,ENSGALG00000051904",", ",197,3.953099840782531
18,11020000,11060000,"ENSGALG00000063478,ENSGALT00000074449,ENSGALT00000153239,ENSGALT00000114286",", ",29,3.9438827719086382
2,131120000,131160000,"ENSGALG00000064363,ENSGALT00000113148,ENSGALT00000112183,ENSGALT00000141802,ENSGALT00000109985,ENSGALT00000150110,ENSGALG00000062920,ENSGALT00000117672,ENSGALG00000047027,ENSGALG00000048064",", ",175,4.0295093880256845
23,20000,120000,"ENSGALG00000058615,ENSGALG00000048511,ENSGALT00000099130,ENSGALG00000066579,ENSGALT00000130050,ENSGALT00000111221,ENSGALT00000132095,ENSGALT00000143103,ENSGALT00000127422,ENSGALG00000047925,ENSGALT00000121087,ENSGALT00000108412,ENSGALT00000115533,ENSGALT00000103530,ENSGALT00000150705,ENSGALG00000063042,ENSGALT00000133604,ENSGALG00000060163,ENSGALG00000057257,ENSGALT00000100638,ENSGALG00000049015,ENSGALT00000096759",", ",492,4.086924498428849
23,5960000,6020000,"ENSGALG00000051101,ENSGALG00000050871,ENSGALT00000101703,ENSGALT00000124384,ENSGALT00000144980",", ",24,4.056657693612504
24,6340000,6500000,"ENSGALG00000052808,ENSGALG00000048829,ENSGALG00000062286,ENSGALG00000063232,ENSGALT00000148311,ENSGALT00000155422,ENSGALT00000153656,ENSGALT00000134728,ENSGALT00000115048,ENSGALT00000120450,ENSGALT00000155006,ENSGALT00000154513,ENSGALT00000110923,ENSGALT00000145988,ENSGALG00000068146,ENSGALT00000139107,ENSGALT00000109363,,ENSGALG00000065319",",, ",1016,4.785699932381702
4,90100000,90240000,"ENSGALG00000016098,ENSGALG00000047451,ENSGALT00000100177,ENSGALT00000103883,ENSGALG00000060844,ENSGALT00000127061,ENSGALG00000063181,ENSGALT00000122818,ENSGALT00000146870,ENSGALT00000144129,ENSGALT00000103108,ENSGALG00000016102,ENSGALG00000048407,ENSGALT00000108174,ENSGALT00000139098,ENSGALG00000052189,ENSGALT00000102544,ENSGALT00000149860,ENSGALT00000116340",", ,CYP26B1",1880,3.9921755863269186
4,90260000,90360000,"ENSGALG00000050987,ENSGALT00000103903,ENSGALT00000136625,ENSGALT00000097770,ENSGALG00000067724,ENSGALT00000110847,ENSGALT00000120060,ENSGALG00000048407,ENSGALT00000121611,ENSGALG00000064844,ENSGALT00000151199,ENSGALT00000125476,ENSGALT00000108174,ENSGALT00000116340",", ",1162,3.837911356344938
4,90460000,90500000,"ENSGALG00000058128,ENSGALT00000142006,ENSGALG00000060622,ENSGALT00000112107,ENSGALG00000056115,ENSGALT00000127760,ENSGALT00000123453",", ",489,3.754686719032557
8,10220000,10280000,"ENSGALG00000058148,ENSGALT00000137549",,503,4.21366160653589
