CHROM,SWEEP_START,SWEEP_END,GENEID,GENE,QTL
1,4680000,4720000,ENSGALG00000029446,,
1,54320000,54360000,"ENSGALG00000012691,ENSGALG00000012694,ENSGALG00000012697",", ,SLC41A2",
13,680000,740000,"ENSGALG00000056802,ENSGALG00000055244",,
13,820000,880000,"ENSGALG00000064139,ENSGALG00000065843,ENSGALG00000038668,ENSGALG00000055672,ENSGALG00000056113,ENSGALG00000062423,ENSGALT00000120409,ENSGALG00000068581",", ",
13,1200000,1240000,"ENSGALG00000056531,ENSGALG00000063782,ENSGALG00000068406,ENSGALT00000111984,ENSGALT00000116889,ENSGALG00000052739,ENSGALT00000128881,ENSGALT00000102966,ENSGALG00000059614",", ",
2,24660000,24720000,"ENSGALG00000009748,ENSGALG00000068072,ENSGALT00000131852,ENSGALG00000009752,ENSGALG00000062488,ENSGALT00000120283,ENSGALG00000010259","ASNS, ,C1GALT1,","Age at first egg QTL (258390),Egg number QTL (258391)"
2,24840000,24880000,"ENSGALG00000023189,ENSGALG00000058035,ENSGALT00000141480,ENSGALG00000065606,ENSGALT00000112324","UMAD1, ,","Age at first egg QTL (258390),Egg number QTL (258391)"
2,24920000,25080000,"ENSGALG00000010708,ENSGALG00000010711,ENSGALG00000035239",",GLCCI1,","Age at first egg QTL (258390),Egg number QTL (258391)"
2,25800000,25860000,"ENSGALG00000058373,ENSGALT00000141767,ENSGALT00000110065",", ","Age at first egg QTL (258390),Egg number QTL (258391)"
2,25960000,26000000,"ENSGALG00000057843,ENSGALT00000135287",,"Age at first egg QTL (258390),Egg number QTL (258391)"
24,6400000,6440000,ENSGALG00000052808,,
24,6460000,6500000,"ENSGALG00000048829,ENSGALG00000062286,ENSGALG00000063232,ENSGALT00000148311,ENSGALT00000155422,ENSGALT00000153656,ENSGALT00000134728,ENSGALT00000115048,ENSGALT00000120450,ENSGALT00000155006,ENSGALT00000154513,ENSGALT00000110923,ENSGALT00000145988,ENSGALG00000068146,ENSGALT00000139107,ENSGALT00000109363",", ",
26,0,40000,"ENSGALG00000066146,ENSGALT00000132034,ENSGALT00000155332,ENSGALT00000116383,ENSGALT00000154645,ENSGALG00000046261,ENSGALG00000032190",", ,LRMPL,MICAL1",
3,3940000,4000000,"ENSGALG00000058219,ENSGALT00000124478,ENSGALT00000126275,ENSGALG00000067587,ENSGALT00000149708,ENSGALG00000030566,ENSGALT00000078521,ENSGALG00000008445",", ,SLC24A3","Antibody titer to KLH antigen QTL (37475),Antibody titer to KLH antigen QTL (37476)"
3,29500000,29560000,ENSGALG00000010116,DNAH8,
4,6140000,6300000,"ENSGALG00000060726,ENSGALT00000093668,ENSGALT00000135007,ENSGALT00000148667,ENSGALT00000149031,ENSGALT00000129849,ENSGALG00000054056,ENSGALT00000137628,ENSGALT00000132945,ENSGALT00000134825,ENSGALT00000097679",", ","Feather pecking QTL (219378),Muscle pH QTL (24474)"
4,8420000,8460000,ENSGALG00000006886,DACH2,
4,8820000,8860000,ENSGALG00000067942,,
4,9060000,9120000,"ENSGALG00000057681,ENSGALT00000110309,ENSGALG00000058600,ENSGALG00000063039,ENSGALT00000142952,ENSGALT00000113528,ENSGALT00000126536,ENSGALT00000131771,ENSGALG00000059905,ENSGALT00000128746,ENSGALG00000063613,ENSGALT00000139714,ENSGALT00000112366,ENSGALT00000116380,ENSGALT00000154214,ENSGALT00000115539",", ,POU3F4",
4,90100000,90180000,"ENSGALG00000063181,ENSGALT00000122818,ENSGALT00000146870,ENSGALT00000144129,ENSGALT00000103108,ENSGALG00000016102,ENSGALG00000048407,ENSGALT00000108174,ENSGALT00000139098,ENSGALG00000052189,ENSGALT00000102544,ENSGALG00000016098,ENSGALG00000047451,ENSGALT00000100177,ENSGALT00000103883,ENSGALG00000060844,ENSGALT00000127061",", ,CYP26B1",
4,90240000,90280000,"ENSGALG00000048407,ENSGALT00000108174,ENSGALT00000116340,ENSGALT00000121611",", ","Cooking loss QTL (154246),Fatty acid atherogenic index QTL (285104)"
6,680000,740000,"ENSGALG00000052530,ENSGALG00000058352,ENSGALG00000063221,ENSGALG00000064196,ENSGALT00000127573,ENSGALG00000043130",", ",
6,1060000,1100000,"ENSGALG00000062745,ENSGALG00000061460,ENSGALT00000124078",", ",
7,9220000,9280000,"ENSGALG00000065430,ENSGALT00000129421,ENSGALT00000111058,ENSGALT00000123370,ENSGALT00000154590,ENSGALT00000134279",", ",
7,9600000,9640000,ENSGALG00000007777,SLC39A10,
