CHROM,SWEEP_START,SWEEP_END,GENEID,GENE,QTL
1,171160000,171220000,"ENSGALG00000063702,ENSGALT00000137199,ENSGALT00000130797,ENSGALG00000066054,ENSGALT00000131726,ENSGALT00000145286,ENSGALT00000128974,ENSGALT00000134999,ENSGALT00000127584,ENSGALG00000060972,ENSGALT00000116549,ENSGALT00000149981,ENSGALT00000131058,ENSGALG00000056603,ENSGALT00000112676,ENSGALT00000113443,ENSGALG00000061596,ENSGALT00000147246,ENSGALT00000146975",", ","Body weight QTL (296557),Average daily gain QTL (296565),Carcass weight QTL (296569),Breast weight QTL (296574),Thigh weight QTL (296583),Wing weight QTL (296586),Back weight QTL (296589),Keel length QTL (311800),Comb height QTL (107979),Comb weight QTL (108186),Feather density QTL (193995)"
1,171840000,171900000,"ENSGALG00000017033,ENSGALG00000058910,ENSGALG00000061236,ENSGALT00000108489,ENSGALG00000065274,ENSGALT00000144247,ENSGALG00000017034,ENSGALG00000017032",", ,FOXO1,SLC25A15","Body weight QTL (296557),Average daily gain QTL (296565),Carcass weight QTL (296569),Breast weight QTL (296574),Thigh weight QTL (296583),Wing weight QTL (296586),Back weight QTL (296589),Gizzard weight QTL (222119),Gizzard weight QTL (222122),Comb length QTL (107914),Feed intake QTL (64900),Comb length QTL (107915),Comb weight QTL (108207),Oviduct length QTL (150824),Oviduct weight QTL (151060),Body weight QTL (260200),Body weight QTL (260382),Body weight QTL (260577),Body weight QTL (260868),Body weight QTL (261269),Body weight QTL (260201),Body weight QTL (260383),Body weight QTL (260578),Body weight QTL (260869),Body weight QTL (261270),Body weight QTL (259994),Body weight QTL (260202),Body weight QTL (260384),Body weight QTL (260579),Body weight QTL (260870),Body weight QTL (261271),Body weight QTL (260203),Body weight QTL (260385),Body weight QTL (260580),Body weight QTL (260871),Body weight QTL (261272),Body weight QTL (260204),Body weight QTL (260386),Body weight QTL (260581),Body weight QTL (260872),Body weight QTL (261273),Body weight QTL (260873),Body weight QTL (261274),Body weight QTL (260205),Body weight QTL (260387),Body weight QTL (260582),Body weight QTL (260874),Body weight QTL (261275),Body weight QTL (260875),Body weight QTL (261276),Body weight QTL (260206),Body weight QTL (260388),Body weight QTL (260583),Body weight QTL (260876),Body weight QTL (261277),Body weight QTL (260877),Body weight QTL (261278),Body weight QTL (260878),Body weight QTL (261279),Body weight QTL (260879),Body weight QTL (261280),Body weight QTL (260880),Body weight QTL (261281),Body weight QTL (260881),Body weight QTL (261282),Body weight QTL (261283),Body weight QTL (260882),Body weight QTL (261284),Body weight QTL (260883),Body weight QTL (261285),Body weight QTL (260884),Body weight QTL (261286),Body weight QTL (260885),Body weight QTL (261287),Body weight QTL (260886),Body weight QTL (261288),Body weight QTL (259995),Body weight QTL (260207),Body weight QTL (260389),Body weight QTL (260584),Body weight QTL (260887),Body weight QTL (261289),Body weight QTL (259996),Body weight QTL (260208),Body weight QTL (260390),Body weight QTL (260585),Body weight QTL (260888),Body weight QTL (261290),Body weight QTL (259997),Body weight QTL (260209),Body weight QTL (260391),Body weight QTL (260586),Body weight QTL (260889),Body weight QTL (261291),Body weight QTL (260587),Body weight QTL (260890),Body weight QTL (261292),Body weight QTL (260210),Body weight QTL (260392),Body weight QTL (260588),Body weight QTL (260891),Body weight QTL (261293),Body weight QTL (260892),Body weight QTL (261294),Body weight QTL (260893),Body weight QTL (261295),Body weight QTL (260211),Body weight QTL (260393),Body weight QTL (260589),Body weight QTL (260894),Body weight QTL (261296),Body weight QTL (260895),Body weight QTL (261297),Body weight QTL (260896),Body weight QTL (261298),Body weight QTL (260897),Body weight QTL (261299),Body weight QTL (260898),Body weight QTL (261300),Body weight QTL (261430),Body weight QTL (261442),Body weight QTL (260899),Body weight QTL (261301),Body weight QTL (261302),Body weight QTL (260900),Body weight QTL (261303),Body weight QTL (260901),Body weight QTL (261304),Body weight QTL (260902),Body weight QTL (261305),Body weight QTL (260212),Body weight QTL (260394),Body weight QTL (260590),Body weight QTL (260903),Body weight QTL (261306),Body weight QTL (260213),Body weight QTL (260591),Body weight QTL (260904),Body weight QTL (261307),Body weight QTL (260592),Body weight QTL (260905),Body weight QTL (261308),Body weight QTL (260214),Body weight QTL (260395),Body weight QTL (260593),Body weight QTL (260906),Body weight QTL (261309),Body weight QTL (261413),Body weight QTL (261416),Body weight QTL (261419),Body weight QTL (261431),Body weight QTL (261443),Body weight QTL (260907),Body weight QTL (261310),Oviduct length QTL (150825),Average daily gain QTL (16823),Average daily gain QTL (16824),Body weight QTL (16825),Breast muscle weight QTL (16826),Drumstick and thigh muscle weight QTL (16827),Wing weight QTL (16828),Body weight QTL (65932),Body weight QTL (65933),Average daily gain QTL (65934),Comb length QTL (107916),Oviduct length QTL (150826),Oviduct weight QTL (151061)"
13,680000,740000,"ENSGALG00000056802,ENSGALG00000055244",,
33,7400000,7440000,"ENSGALG00000041030,ENSGALG00000033791,ENSGALG00000038939,ENSGALG00000032606,ENSGALG00000039134","PCBP2, ,TARBP2,",
4,90100000,90180000,"ENSGALG00000016098,ENSGALG00000047451,ENSGALT00000100177,ENSGALT00000103883,ENSGALG00000060844,ENSGALT00000127061,ENSGALG00000063181,ENSGALT00000122818,ENSGALT00000146870,ENSGALT00000144129,ENSGALT00000103108,ENSGALG00000016102,ENSGALG00000048407,ENSGALT00000108174,ENSGALT00000139098,ENSGALG00000052189,ENSGALT00000102544",", ,CYP26B1",
5,3060000,3120000,"ENSGALG00000039254,ENSGALG00000057472,ENSGALT00000108826,ENSGALG00000065011,ENSGALT00000124974,ENSGALT00000153343,ENSGALG00000067257,ENSGALT00000138048,ENSGALT00000149283","SLC17A6, ,",
5,4160000,4220000,ENSGALG00000012153,METTL15P1,
5,4880000,5180000,",ENSGALG00000067669,ENSGALT00000152383,ENSGALG00000056993,ENSGALT00000114088,ENSGALT00000146873,ENSGALG00000012136,ENSGALG00000061836,ENSGALT00000140189,ENSGALG00000058869,ENSGALT00000141141,ENSGALT00000149142,ENSGALT00000119395,ENSGALT00000140621,ENSGALT00000115285,ENSGALG00000064866,ENSGALT00000136460,ENSGALG00000058695,ENSGALT00000127591,ENSGALT00000121092,ENSGALT00000128803,ENSGALG00000066665,ENSGALT00000123813,ENSGALT00000150966,ENSGALT00000134637,ENSGALG00000065164,ENSGALT00000130617,ENSGALT00000124292,ENSGALT00000151823",",, ,MPPED2",
5,5220000,5260000,"ENSGALG00000012130,ENSGALG00000012128","DNAJC24,IMMP1L",
5,5920000,6040000,"ENSGALG00000022206,ENSGALG00000048040,",",",
