CHROM,START,END,GENEID,GENE,N_VARIANTS,MEAN
1,171160000,171220000,"ENSGALG00000063702,ENSGALT00000137199,ENSGALT00000130797,ENSGALG00000066054,ENSGALT00000131726,ENSGALT00000145286,ENSGALT00000128974,ENSGALT00000134999,ENSGALT00000127584,ENSGALG00000060972,ENSGALT00000116549,ENSGALT00000149981,ENSGALT00000131058,ENSGALG00000056603,ENSGALT00000112676,ENSGALT00000113443,ENSGALG00000061596,ENSGALT00000147246,ENSGALT00000146975",", ",22,3.1177299777781062
1,171840000,171900000,"ENSGALG00000017033,ENSGALG00000058910,ENSGALG00000061236,ENSGALT00000108489,ENSGALG00000065274,ENSGALT00000144247,ENSGALG00000017034,ENSGALG00000017032",", ,FOXO1,SLC25A15",51,3.469224859329203
13,680000,740000,"ENSGALG00000056802,ENSGALG00000055244",,82,3.2094274415954027
33,7400000,7440000,"ENSGALG00000041030,ENSGALG00000033791,ENSGALG00000038939,ENSGALG00000032606,ENSGALG00000039134","PCBP2, ,TARBP2,",147,3.377366303515875
4,90100000,90180000,"ENSGALG00000016098,ENSGALG00000047451,ENSGALT00000100177,ENSGALT00000103883,ENSGALG00000060844,ENSGALT00000127061,ENSGALG00000063181,ENSGALT00000122818,ENSGALT00000146870,ENSGALT00000144129,ENSGALT00000103108,ENSGALG00000016102,ENSGALG00000048407,ENSGALT00000108174,ENSGALT00000139098,ENSGALG00000052189,ENSGALT00000102544",", ,CYP26B1",762,3.2771748154047877
5,3060000,3120000,"ENSGALG00000039254,ENSGALG00000057472,ENSGALT00000108826,ENSGALG00000065011,ENSGALT00000124974,ENSGALT00000153343,ENSGALG00000067257,ENSGALT00000138048,ENSGALT00000149283","SLC17A6, ,",38,3.9796194562703975
5,4160000,4220000,ENSGALG00000012153,METTL15P1,145,3.103817390621708
5,4880000,5180000,",ENSGALG00000067669,ENSGALT00000152383,ENSGALG00000056993,ENSGALT00000114088,ENSGALT00000146873,ENSGALG00000012136,ENSGALG00000061836,ENSGALT00000140189,ENSGALG00000058869,ENSGALT00000141141,ENSGALT00000149142,ENSGALT00000119395,ENSGALT00000140621,ENSGALT00000115285,ENSGALG00000064866,ENSGALT00000136460,ENSGALG00000058695,ENSGALT00000127591,ENSGALT00000121092,ENSGALT00000128803,ENSGALG00000066665,ENSGALT00000123813,ENSGALT00000150966,ENSGALT00000134637,ENSGALG00000065164,ENSGALT00000130617,ENSGALT00000124292,ENSGALT00000151823",",, ,MPPED2",2063,3.260299226310313
5,5220000,5260000,"ENSGALG00000012130,ENSGALG00000012128","DNAJC24,IMMP1L",183,3.1296822788870724
5,5920000,6040000,"ENSGALG00000022206,ENSGALG00000048040,",",",503,3.803617407774891
5,6520000,6560000,"ENSGALG00000063312,ENSGALT00000152567,ENSGALT00000135951,ENSGALG00000065335,ENSGALT00000131907,ENSGALG00000063979,ENSGALT00000113665,ENSGALT00000131798,ENSGALG00000066050,ENSGALT00000124942,ENSGALT00000144859,ENSGALT00000150014,ENSGALG00000058651,ENSGALT00000151099,ENSGALG00000064884,ENSGALT00000115077",", ",62,3.4232857002114585
5,6600000,6640000,"ENSGALG00000065335,ENSGALT00000131907,ENSGALT00000128427,ENSGALT00000140656,ENSGALG00000058659",", ",61,3.3470931993690263
5,7340000,7480000,"ENSGALG00000005265,,ENSGALG00000063907","SYT9,",1250,3.2554416188573896
5,7740000,7780000,ENSGALG00000005353,FAR1,11,3.347525734222148
6,1060000,1100000,"ENSGALG00000062745,ENSGALG00000061460,ENSGALT00000124078",", ",25,3.4672101355707667
6,21960000,22020000,"ENSGALG00000020775,ENSGALG00000006966,ENSGALG00000059547,ENSGALG00000060238,ENSGALT00000140283,ENSGALG00000057512,ENSGALT00000151592,ENSGALT00000136307,ENSGALT00000154129",", ,CCNJ",357,3.120667167870657
