CHROM,SWEEP_START,SWEEP_END,GENEID,GENE,QTL
1,3940000,3980000,"ENSGALG00000059060,ENSGALT00000135802,ENSGALG00000064159,ENSGALT00000133713,ENSGALT00000141512,ENSGALT00000125349",", ",
1,54300000,54340000,"ENSGALG00000012691,ENSGALG00000012694,ENSGALG00000012697",", ,SLC41A2",
1,54360000,54400000,"ENSGALG00000012697,ENSGALG00000030607","SLC41A2,",
1,54420000,54460000,ENSGALG00000030607,,
1,55500000,55600000,"ENSGALG00000012763,ENSGALG00000012766,ENSGALG00000012769,ENSGALG00000012761,ENSGALG00000058119,ENSGALT00000141209,ENSGALT00000136149,ENSGALG00000056396,ENSGALT00000115611,ENSGALT00000126375,ENSGALG00000012783",", ,CHPT1,,DRAM1,MYBPC1","Abdominal fat percentage QTL (19467),Feed conversion ratio QTL (139600)"
1,55680000,55720000,ENSGALG00000054799,SPIC,
1,55740000,55860000,"ENSGALG00000012791,ENSGALG00000046187",",",
1,66520000,66580000,ENSGALG00000013210,C2CD5,"Eggshell thickness QTL (159584),Eggshell effective layer thickness QTL (159679)"
1,118580000,118620000,"ENSGALG00000059861,ENSGALT00000132031,ENSGALT00000119337,ENSGALT00000114331,ENSGALT00000154737,ENSGALG00000063004,ENSGALT00000123818,ENSGALG00000049170,ENSGALT00000100141,ENSGALG00000060889,ENSGALT00000096792",", ",
1,149780000,149920000,"ENSGALG00000061489,ENSGALT00000141614,ENSGALG00000049333,ENSGALT00000104359,ENSGALG00000050345,ENSGALT00000120523,ENSGALT00000103772,ENSGALG00000063045,ENSGALT00000119999,ENSGALT00000108990",", ",
2,18340000,18420000,ENSGALG00000037769,NEBL,"Age at first egg QTL (258390),Egg number QTL (258391)"
3,16920000,16980000,ENSGALG00000046616,CHGB,
3,17780000,17820000,"ENSGALG00000009360,ENSGALG00000009382","CAPN2,CAPN8",Head weight QTL (296625)
3,23840000,23880000,ENSGALG00000009915,EML4,
3,28400000,28440000,ENSGALG00000010050,,
3,59040000,59100000,ENSGALG00000014821,THEMIS,
3,94520000,94560000,ENSGALG00000067636,SOX11,
3,110520000,110560000,"ENSGALG00000051510,ENSGALT00000081154,ENSGALG00000057038,ENSGALT00000139598,ENSGALG00000059736,ENSGALT00000127066,ENSGALT00000117689",", ",
4,82120000,82160000,"ENSGALG00000015628,ENSGALG00000015635","MSANTD1,",Body weight QTL (135678)
5,10320000,10420000,ENSGALG00000035679,LMO1,"Bursa of Fabricius weight QTL (101226),Wooden breast QTL (220313)"
5,49040000,49080000,"ENSGALG00000067842,ENSGALT00000131395,ENSGALG00000053427,ENSGALT00000097907",", ",
5,49100000,49160000,"ENSGALG00000011244,ENSGALG00000066779,ENSGALT00000128784,ENSGALT00000142823,ENSGALG00000053427,ENSGALT00000097907","DLK1, ,",
5,49300000,49420000,"ENSGALG00000056429,ENSGALT00000113783,ENSGALT00000137708,ENSGALT00000151085,ENSGALT00000111693,,ENSGALG00000057470,ENSGALT00000131069,ENSGALT00000132049",", ,",
