CHROM,START,END,GENEID,GENE,N_VARIANTS,MEAN
1,3940000,3980000,"ENSGALG00000059060,ENSGALT00000135802,ENSGALG00000064159,ENSGALT00000133713,ENSGALT00000141512,ENSGALT00000125349",", ",78,2.84959242641005
1,54300000,54340000,"ENSGALG00000012691,ENSGALG00000012694,ENSGALG00000012697",", ,SLC41A2",331,2.8465540627982904
1,54360000,54400000,"ENSGALG00000012697,ENSGALG00000030607","SLC41A2,",339,2.6482554564022256
1,54420000,54460000,ENSGALG00000030607,,173,2.69696316496931
1,55500000,55600000,"ENSGALG00000012763,ENSGALG00000012766,ENSGALG00000012769,ENSGALG00000012761,ENSGALG00000058119,ENSGALT00000141209,ENSGALT00000136149,ENSGALG00000056396,ENSGALT00000115611,ENSGALT00000126375,ENSGALG00000012783",", ,CHPT1,,DRAM1,MYBPC1",426,3.3524412416064338
1,55680000,55720000,ENSGALG00000054799,SPIC,297,2.6593145039444277
1,55740000,55860000,"ENSGALG00000012791,ENSGALG00000046187",",",575,3.199724827121056
1,66520000,66580000,ENSGALG00000013210,C2CD5,951,2.7930153742306625
1,118580000,118620000,"ENSGALG00000059861,ENSGALT00000132031,ENSGALT00000119337,ENSGALT00000114331,ENSGALT00000154737,ENSGALG00000063004,ENSGALT00000123818,ENSGALG00000049170,ENSGALT00000100141,ENSGALG00000060889,ENSGALT00000096792",", ",88,2.7799763888279903
1,149780000,149920000,"ENSGALG00000061489,ENSGALT00000141614,ENSGALG00000049333,ENSGALT00000104359,ENSGALG00000050345,ENSGALT00000120523,ENSGALT00000103772,ENSGALG00000063045,ENSGALT00000119999,ENSGALT00000108990",", ",118,3.073021902073646
2,18340000,18420000,ENSGALG00000037769,NEBL,586,3.0398834684697214
3,16920000,16980000,ENSGALG00000046616,CHGB,27,3.1780691662130005
3,17780000,17820000,"ENSGALG00000009360,ENSGALG00000009382","CAPN2,CAPN8",431,2.9900229655215034
3,23840000,23880000,ENSGALG00000009915,EML4,11,3.187804071457073
3,28400000,28440000,ENSGALG00000010050,,153,2.813018146106344
3,59040000,59100000,ENSGALG00000014821,THEMIS,198,3.167250293926848
3,94520000,94560000,ENSGALG00000067636,SOX11,130,3.0190366055474365
3,110520000,110560000,"ENSGALG00000051510,ENSGALT00000081154,ENSGALG00000057038,ENSGALT00000139598,ENSGALG00000059736,ENSGALT00000127066,ENSGALT00000117689",", ",132,2.755654733084769
4,82120000,82160000,"ENSGALG00000015628,ENSGALG00000015635","MSANTD1,",233,2.913008730870813
5,10320000,10420000,ENSGALG00000035679,LMO1,896,2.78436227431474
5,49040000,49080000,"ENSGALG00000067842,ENSGALT00000131395,ENSGALG00000053427,ENSGALT00000097907",", ",125,2.816299880119353
5,49100000,49160000,"ENSGALG00000011244,ENSGALG00000066779,ENSGALT00000128784,ENSGALT00000142823,ENSGALG00000053427,ENSGALT00000097907","DLK1, ,",170,3.049192874449442
5,49300000,49420000,"ENSGALG00000056429,ENSGALT00000113783,ENSGALT00000137708,ENSGALT00000151085,ENSGALT00000111693,,ENSGALG00000057470,ENSGALT00000131069,ENSGALT00000132049",", ,",266,3.0648455133671564
