CHROM,BIN_START,BIN_END,N_VARIANTS,MEAN,EMPIRICAL_PVALUE,GENEID,GENE
1,55200001,55240000,371,0.720198,1.8952954555029322e-4,"ENSGALG00000061125,ENSGALT00000132100"," , "
1,55220001,55260000,378,0.769385,4.2117676788966385e-5,"ENSGALG00000061125,ENSGALT00000132100"," , "
1,55240001,55280000,328,0.698935,2.9482373752265367e-4, , 
1,55320001,55360000,430,0.749408,1.0529419197236045e-4,ENSGALG00000012755,IGF1
1,55340001,55380000,551,0.755176,8.423535357793277e-5,"ENSGALG00000012757,ENSGALG00000012756","PMCH, "
1,74100001,74140000,82,0.688906,5.47529798256341e-4,"ENSGALG00000061397,ENSGALT00000154920"," , "
1,74120001,74160000,96,0.720927,1.6847070715575452e-4,"ENSGALG00000061397,ENSGALT00000154920"," , "
1,74140001,74180000,94,0.687281,5.685886366507686e-4,"ENSGALG00000061397,ENSGALT00000154920,ENSGALG00000059687"," , , "
1,74160001,74200000,75,0.677683,6.10706313439735e-4,"ENSGALG00000059687,ENSGALG00000062390,ENSGALT00000120391"," , , "
1,74180001,74220000,62,0.68969,5.054121214673746e-4,"ENSGALG00000062390,ENSGALT00000120391,ENSGALG00000053526"," , ,NTF3"
1,74200001,74240000,70,0.697057,3.5800025270604774e-4,ENSGALG00000053526,NTF3
1,74220001,74260000,76,0.697881,3.3694141431162006e-4,ENSGALG00000053526,NTF3
1,74240001,74280000,65,0.656879,9.687065661457828e-4,ENSGALG00000053526,NTF3
1,74260001,74300000,57,0.665178,8.634123741734223e-4,ENSGALG00000053526,NTF3
1,74280001,74320000,68,0.69967,2.7376489912811497e-4,"ENSGALG00000053526,ENSGALG00000060454,ENSGALT00000131062,ENSGALT00000143361","NTF3, , , "
1,74300001,74340000,78,0.673935,6.738828286231291e-4,"ENSGALG00000060454,ENSGALT00000131062,ENSGALT00000143361"," , , "
1,74320001,74360000,79,0.655793,9.897654045403215e-4,"ENSGALG00000055254,ENSGALG00000017271"," , "
1,74340001,74380000,81,0.676841,6.528239902287014e-4,"ENSGALG00000055254,ENSGALG00000017271"," , "
