cluster_id,CHROM,START,END,N_WINDOWS
143,8,29400001,30140000,30
13,1,113080001,113680000,20
5,1,54760001,55220000,19
142,8,28940001,29300000,15
127,6,8520001,9000000,12
35,15,3220001,3400000,8
69,2,18080001,18320000,8
110,4,82040001,82220000,8
140,8,28540001,28720000,8
41,18,9800001,9980000,7
98,3,21940001,22200000,7
101,3,27020001,27240000,7
4,1,42380001,42580000,6
19,1,155580001,155720000,6
30,12,17020001,17200000,6
34,14,4540001,4700000,6
42,18,10040001,10180000,6
49,2,45280001,45480000,6
83,3,12160001,12300000,6
107,4,21420001,21660000,6
115,4,22620001,22820000,6
122,4,80720001,80920000,6
125,5,41700001,41900000,6
129,6,9400001,9540000,6
12,1,16660001,16780000,5
44,18,10540001,10680000,5
80,24,4640001,4760000,5
88,3,53460001,53620000,5
108,4,81520001,81680000,5
130,6,11380001,11500000,5
136,7,8200001,8340000,5
