CHROM,SWEEP_START,SWEEP_END,GENEID,GENE,QTL
1,10700000,10740000,"ENSGALG00000008486,ENSGALG00000058332,ENSGALT00000122927,ENSGALT00000137585,ENSGALT00000136118,ENSGALT00000135447,ENSGALT00000154838","CACNA2D1, ,",
1,11120000,11160000,"ENSGALG00000059075,ENSGALT00000129792",,
1,24200000,24260000,",ENSGALG00000059880,ENSGALT00000151030",",",
1,24760000,24820000,"ENSGALG00000032986,ENSGALG00000034574","CFTR,ASZ1",
1,45800000,45840000,"ENSGALG00000043701,ENSGALG00000011456","ELK3,CDK17",
1,46060000,46100000,"ENSGALG00000031699,ENSGALG00000062475,ENSGALT00000119903","NEDD1, ,",Feather pecking QTL (218908)
1,67940000,67980000,"ENSGALG00000047534,ENSGALG00000014083",",INTS13",
1,95740000,95780000,,,
1,95860000,95960000,,,
1,120960000,121040000,"ENSGALG00000061177,ENSGALT00000112116,ENSGALT00000111032,ENSGALT00000122361,ENSGALG00000055062,ENSGALT00000138227,ENSGALT00000117225,ENSGALT00000144495,ENSGALT00000115134,ENSGALG00000059364,ENSGALT00000135918,ENSGALT00000108999",", ",
10,18020000,18060000,"ENSGALG00000026468,ENSGALG00000058026,ENSGALG00000007170","CHSY1,SELENOS,SNRPA1",Egg number QTL (289472)
12,420000,460000,ENSGALG00000066708,,
2,87660000,87740000,",ENSGALG00000068502,ENSGALT00000135065,ENSGALG00000057578,ENSGALT00000125619,ENSGALT00000112001",",, ",
28,140000,180000,,,
3,600000,660000,"ENSGALG00000056753,ENSGALT00000112689,ENSGALG00000060869,ENSGALT00000113453,ENSGALT00000112260,ENSGALG00000056724,ENSGALT00000141972",", ",
3,60200000,60360000,"ENSGALG00000013651,ENSGALG00000055738,ENSGALT00000122923,ENSGALG00000065514,ENSGALT00000124145,ENSGALG00000066142,ENSGALT00000146441,ENSGALG00000051906,ENSGALT00000097758,ENSGALG00000039756",", ,NKAIN2,",
3,60400000,60460000,ENSGALG00000039756,NKAIN2,
4,12060000,12120000,"ENSGALG00000064581,ENSGALT00000130095,ENSGALG00000063572,ENSGALG00000007657",", ,CDX4",Feather pecking QTL (218940)
4,85640000,85720000,"ENSGALG00000038559,ENSGALG00000043848,ENSGALG00000060045,ENSGALG00000065233,ENSGALG00000058215,ENSGALG00000056932,ENSGALG00000015815","CD8A, ,,RMND5A",
4,90160000,90220000,"ENSGALG00000048407,ENSGALT00000108174,ENSGALT00000139098,ENSGALT00000149860,ENSGALT00000116340,ENSGALG00000016102,ENSGALG00000052189,ENSGALT00000102544",", ,CYP26B1",
5,36800000,36840000,ENSGALG00000037632,NKX2-1,
6,11820000,11860000,"ENSGALG00000068129,ENSGALT00000097242,ENSGALT00000152104,ENSGALT00000124564,ENSGALG00000064675,ENSGALT00000118331,ENSGALG00000058395,ENSGALT00000145265,ENSGALG00000047415,ENSGALT00000091634,ENSGALG00000049261,ENSGALT00000125351,ENSGALT00000109503,ENSGALT00000143805",", ",
6,12700000,12760000,"ENSGALG00000004794,ENSGALG00000065671,ENSGALT00000145142,ENSGALT00000135217,ENSGALT00000131689,ENSGALG00000040689,ENSGALT00000144795","H2AFY2, ,",
6,12880000,12940000,"ENSGALG00000050687,ENSGALG00000047037,ENSGALG00000058680,ENSGALT00000107978,ENSGALT00000129850,ENSGALT00000135906,ENSGALT00000114234,ENSGALT00000134252,ENSGALT00000115144,ENSGALT00000144438,ENSGALT00000148571,ENSGALT00000130264,ENSGALT00000128171,ENSGALG00000059076,ENSGALT00000111296,ENSGALT00000144553,ENSGALT00000118428,ENSGALT00000120102,ENSGALT00000137771,ENSGALG00000068373,ENSGALT00000112758,ENSGALG00000057748,ENSGALT00000118859,ENSGALT00000113397,ENSGALT00000149235,ENSGALT00000150706,ENSGALT00000110586,ENSGALG00000067705,ENSGALT00000112530,ENSGALG00000049091,ENSGALT00000113241,ENSGALT00000108663,ENSGALT00000123844,ENSGALT00000140030,ENSGALT00000101426",", ",
9,24120000,24160000,,,
