CHROM,BIN_START,BIN_END,N_VARIANTS,MEAN,EMPIRICAL_PVALUE,GENEID,GENE
1,23740001,23780000,473,0.783004,9.895153480146135e-4,ENSGALG00000009066,KCND2
1,23760001,23800000,417,0.833598,2.3158869847150765e-4,ENSGALG00000009066,KCND2
1,23780001,23820000,496,0.838214,1.894816623857487e-4,ENSGALG00000009066,KCND2
1,23800001,23840000,443,0.823109,2.9474925260009055e-4,ENSGALG00000009066,KCND2
1,31820001,31860000,270,0.835432,2.105351804286837e-4,"ENSGALG00000065027,ENSGALT00000119235,ENSGALG00000009755"," , ,LRIG3"
1,31840001,31880000,283,0.86515,4.210703608575894e-5,"ENSGALG00000065027,ENSGALT00000119235,ENSGALG00000009755"," , ,LRIG3"
1,31860001,31900000,359,0.83337,2.526422165143316e-4,ENSGALG00000009755,LRIG3
1,32820001,32860000,226,0.821634,3.1580277064302553e-4,ENSGALG00000019361,FAM19A2
1,32840001,32880000,323,0.816987,4.4212387890019134e-4,ENSGALG00000019361,FAM19A2
1,33180001,33220000,316,0.8738,2.105351804282396e-5,"ENSGALG00000009795,ENSGALG00000018237,ENSGALT00000028944,ENSGALG00000065587,ENSGALT00000121235,ENSGALG00000009805","MON2, , , , ,PPM1H"
1,33340001,33380000,496,0.789715,8.210872036716887e-4,"ENSGALG00000064504,ENSGALT00000151252,ENSGALT00000116764,ENSGALT00000122830,ENSGALT00000139767,ENSGALT00000117783,ENSGALG00000068486,ENSGALT00000137058,ENSGALT00000130700"," , , , , , , , , "
1,68140001,68180000,935,0.785251,9.474083119289656e-4,"ENSGALG00000014096,ENSGALG00000046838,ENSGALT00000116862,ENSGALT00000146605,ENSGALT00000094896,ENSGALT00000149148","ARNTL2, , , , , "
1,68220001,68260000,617,0.792895,7.579266495431058e-4,ENSGALG00000014106,PPFIBP1
1,68240001,68280000,584,0.78904,8.631942397574477e-4,ENSGALG00000014106,PPFIBP1
1,68260001,68300000,604,0.809825,5.684449871573571e-4,"ENSGALG00000014106,ENSGALG00000014128","PPFIBP1,A4GALT"
1,68280001,68320000,649,0.841455,1.4737462630010079e-4,"ENSGALG00000014106,ENSGALG00000014128,ENSGALG00000014126","PPFIBP1,A4GALT, "
1,68300001,68340000,654,0.804963,6.73712577371699e-4,"ENSGALG00000014128,ENSGALG00000014126,ENSGALG00000063330","A4GALT, , "
1,75680001,75720000,193,0.807441,6.3160554128594e-4,ENSGALG00000040184,RIMKLB
1,102240001,102280000,480,0.804036,7.158196134574579e-4,ENSGALG00000015737,NCAM2
1,120760001,120800000,383,0.856712,6.31605541285829e-5,ENSGALG00000016391, 
2,2220001,2260000,557,0.791957,8.000336856288648e-4,ENSGALG00000032534, 
2,2240001,2280000,519,0.844225,1.263211082571658e-4,ENSGALG00000032534, 
2,13960001,14000000,292,0.785062,9.684618299717895e-4,ENSGALG00000007140,NRP1
2,143380001,143420000,175,0.792695,7.789801675860408e-4, , 
2,143400001,143440000,124,0.809053,6.105520232431161e-4, , 
2,143420001,143460000,130,0.813953,4.8423091498583926e-4, , 
2,143440001,143480000,130,0.817363,4.2107036085725635e-4,"ENSGALG00000065117,ENSGALT00000116667"," , "
2,143460001,143500000,130,0.814232,4.631773969430153e-4,"ENSGALG00000065117,ENSGALT00000116667"," , "
2,143480001,143520000,169,0.813786,5.052844330287742e-4, , 
3,1000001,1040000,285,0.798481,7.368731315002819e-4,"ENSGALG00000062895,ENSGALT00000152930,ENSGALG00000062609,ENSGALT00000154368,ENSGALT00000105643,ENSGALT00000121107,ENSGALG00000066935,ENSGALT00000152902,ENSGALT00000151760,ENSGALT00000127555,ENSGALT00000131906,ENSGALT00000135276"," , , , , , , , , , , , "
3,60340001,60380000,348,0.820497,3.5790980672867345e-4,ENSGALG00000039756,NKAIN2
3,60360001,60400000,297,0.78939,8.421407217146237e-4,ENSGALG00000039756,NKAIN2
4,38740001,38780000,559,0.821575,3.368562886858495e-4,"ENSGALG00000010582,ENSGALG00000058965,ENSGALT00000154534"," , , "
4,90540001,90580000,559,0.809922,5.473914691145332e-4,"ENSGALG00000062287,ENSGALT00000119411,ENSGALT00000125430,ENSGALT00000146341"," , , , "
5,31120001,31160000,110,0.811797,5.263379510715982e-4,"ENSGALG00000057023,ENSGALT00000112216,ENSGALG00000060550,ENSGALT00000130365"," , , , "
5,31140001,31180000,215,0.847371,1.0526759021434184e-4,"ENSGALG00000057023,ENSGALT00000112216,ENSGALG00000060550,ENSGALT00000130365"," , , , "
5,31160001,31200000,312,0.833085,2.736957345572666e-4,"ENSGALG00000057023,ENSGALT00000112216"," , "
5,31180001,31220000,244,0.787246,9.053012758432066e-4,"ENSGALG00000057023,ENSGALT00000112216"," , "
5,31320001,31360000,106,0.819125,3.7896332477160843e-4, , 
6,10820001,10860000,261,0.80418,6.947660954145229e-4,ENSGALG00000003805,PRKG1
6,10840001,10880000,209,0.805985,6.52659059328764e-4,ENSGALG00000003805,PRKG1
8,12820001,12860000,102,0.817957,4.000168428144324e-4,"ENSGALG00000054920,ENSGALT00000099221"," , "
8,14620001,14660000,294,0.85619,8.421407217140686e-5,"ENSGALG00000023490,ENSGALG00000057930,ENSGALT00000114436,ENSGALT00000124427,ENSGALG00000005977","C1orf146, , , , "
8,14640001,14680000,356,0.785429,9.263547938860306e-4,"ENSGALG00000005977,ENSGALG00000006019"," ,EPHX3"
