CHROM,START,END,GENEID,GENE,N_VARIANTS,MEAN
1,23780001,23820000,ENSGALG00000009066,KCND2,649,0.713987
1,55100001,55160000,"ENSGALG00000012754,ENSGALG00000066748,ENSGALT00000139726,ENSGALG00000019300","PAH, ,",445,0.7183204999999999
1,66520001,66580000,ENSGALG00000013210,C2CD5,1407,0.708131
11,4900001,4940000,ENSGALG00000003602,,435,0.713271
18,11160001,11220000,"ENSGALG00000064295,ENSGALT00000129456,ENSGALT00000137563,ENSGALT00000097933,ENSGALG00000048586,ENSGALT00000119330,ENSGALT00000121568,ENSGALG00000066059,ENSGALG00000063301",", ",399,0.723968
24,6140001,6200000,"ENSGALG00000007868,ENSGALG00000048129,ENSGALG00000007874,ENSGALG00000007878,ENSGALG00000007882,ENSGALG00000047403,ENSGALG00000007904,ENSGALG00000007929",", ,IL18,SDHD,DIXDC1",839,0.7519955
5,31100001,31300000,"ENSGALG00000057023,ENSGALT00000112216,ENSGALG00000060550,ENSGALT00000130365,ENSGALG00000058234,ENSGALT00000131971,",", ,",1174,0.8079626666666667
5,31320001,31440000,",ENSGALG00000056816,ENSGALT00000110848,ENSGALG00000037493,ENSGALT00000136654,ENSGALT00000093440,ENSGALT00000109898,ENSGALT00000141088,ENSGALT00000131590,ENSGALG00000059566,ENSGALT00000116507,ENSGALG00000039118",",, ,MEIS2",651,0.903166
5,31480001,31600000,ENSGALG00000039118,MEIS2,1373,0.7493018
5,31820001,31880000,"ENSGALG00000053286,ENSGALT00000091804,ENSGALG00000061352,ENSGALT00000119626,ENSGALG00000059649,ENSGALT00000141365,ENSGALT00000135930",", ",539,0.748537
5,32220001,32280000,ENSGALG00000020438,DPH6,465,0.7434590000000001
5,35080001,35120000,ENSGALG00000009995,,393,0.737872
5,37500001,37560000,"ENSGALG00000064433,ENSGALT00000128553,ENSGALT00000124251,ENSGALT00000113078,ENSGALT00000140955,ENSGALT00000143263,ENSGALG00000054810,ENSGALT00000094929,ENSGALT00000152256,ENSGALT00000128859,ENSGALT00000148798",", ",979,0.7562875
5,40360001,40400000,ENSGALG00000027255,NRXN3,403,0.710463
5,40920001,40980000,"ENSGALG00000010562,ENSGALG00000010572",",,TSHR",946,0.7356045
6,10820001,10900000,ENSGALG00000003805,PRKG1,1174,0.7602823333333334
8,8820001,8920000,"ENSGALG00000033407,ENSGALG00000058161,ENSGALT00000130052,ENSGALG00000064604,ENSGALT00000108445,ENSGALG00000050751,ENSGALG00000049810","BRINP3,, ",1259,0.75156975
8,14940001,14980000,ENSGALG00000006091,HFM1,648,0.800675
