CHROM,SWEEP_START,SWEEP_END,GENEID,GENE,QTL
1,68280001,68340000,"ENSGALG00000014106,ENSGALG00000014128,ENSGALG00000014126,ENSGALG00000063330","PPFIBP1,A4GALT,, ","Age at first egg QTL (289402),Eggshell effective layer thickness QTL (159840)"
1,75700001,75760000,ENSGALG00000040184,RIMKLB,
1,94760001,94820000,ENSGALG00000043393,CADM2,
1,95660001,95740000,"ENSGALG00000050963,ENSGALT00000099024,",",",
1,95940001,95980000,,,
1,149240001,149280000,ENSGALG00000016902,,Fecal egg count QTL (126827)
11,4880001,4960000,"ENSGALG00000003602,ENSGALG00000067048,ENSGALT00000127747,ENSGALG00000063964,ENSGALT00000147531,ENSGALG00000067439,ENSGALT00000144258,ENSGALG00000059334,ENSGALT00000111841",",, ",
11,10720001,10800000,"ENSGALG00000067331,ENSGALG00000040725","KCTD15,,",
11,19280001,19320000,"ENSGALG00000064900,ENSGALT00000140853",,
2,49340001,49380000,ENSGALG00000031635,VPS41,Movement latency during open field test QTL (220103)
2,50540001,50720000,"ENSGALG00000061023,ENSGALT00000117391,ENSGALG00000066226,ENSGALT00000135566,ENSGALT00000110944,ENSGALG00000034616,ENSGALG00000059423,ENSGALT00000143874,ENSGALG00000063940,ENSGALT00000148201,ENSGALG00000050534,ENSGALT00000093257,ENSGALG00000040266",", ,INHBA,GLI3",Movement latency during open field test QTL (220103)
20,6240001,6340000,ENSGALG00000004621,,Eggshell stiffness QTL (214483)
3,43680001,43740000,"ENSGALG00000060470,ENSGALT00000126672,ENSGALT00000134321,ENSGALT00000153999,ENSGALT00000124160",", ",
4,70580001,70620000,"ENSGALG00000059639,ENSGALT00000137241,ENSGALG00000064471,ENSGALT00000111751",", ",
5,10700001,10760000,ENSGALG00000006035,PDE3B,"Antibody titer to KLH antigen QTL (37506),Antibody titer to KLH antigen QTL (37507)"
5,23560001,23600000,ENSGALG00000032181,,
5,36860001,36900000,"ENSGALG00000010114,ENSGALG00000028483","PAX9,",
5,37420001,37460000,"ENSGALG00000064433,ENSGALT00000128553,ENSGALG00000057152,ENSGALT00000110706,ENSGALG00000054810,ENSGALT00000117266",", ",
5,48460001,48500000,ENSGALG00000039735,EML1,
6,10860001,10920000,"ENSGALG00000003805,ENSGALG00000003814","PRKG1,",
6,11260001,11320000,"ENSGALG00000003935,ENSGALG00000003947,ENSGALG00000039161,ENSGALG00000004037","PBLD,HNRNPH3,RUFY2,DNA2",
8,14620001,14660000,"ENSGALG00000023490,ENSGALG00000057930,ENSGALT00000114436,ENSGALT00000124427,ENSGALG00000005977","C1orf146, ,",
8,30100001,30160000,"ENSGALG00000011379,ENSGALG00000011388,ENSGALG00000017875,ENSGALT00000028582,ENSGALG00000017876,ENSGALT00000028583,ENSGALG00000011392","SLC44A5,RABGGTB, ,SGF29",
