cluster_id,CHROM,START,END,N_WINDOWS
111,5,37460001,38120000,24
22,1,95600001,96080000,20
107,5,35760001,36160000,16
112,5,38300001,38660000,15
13,1,75180001,75460000,11
73,2,143300001,143540000,11
26,1,96860001,97140000,10
77,2,50540001,50760000,10
19,1,94320001,94520000,9
11,1,68180001,68340000,7
32,1,98120001,98280000,7
59,14,13980001,14140000,7
20,1,94720001,94880000,6
23,1,23720001,23860000,6
34,1,24160001,24320000,6
62,15,320001,500000,6
80,2,86440001,86600000,6
82,20,6160001,6360000,6
108,5,36740001,36940000,6
120,5,48420001,48600000,6
123,5,20420001,20600000,6
15,1,76440001,76580000,5
21,1,95360001,95540000,5
25,1,96600001,96760000,5
30,1,97680001,97800000,5
50,1,162480001,162600000,5
64,15,3260001,3380000,5
98,4,58940001,59080000,5
147,8,10780001,10900000,5
